0	Index      	 *	Score 	Summary	Detail	
1	36312 31344	 * 	280.00	ACR|DCR|3VULN|2TLV|3CDMG	1RPLT|28RCR|3MDPS|47TLV|57aVULN|679CDMG|7BPWR
2	36312 31324	   	273.86	ACR|DCR|3VULN|2TLV|2CDMG	1RPLT|28RCR|3MDPS|47TLV|57aVULN|67CDMG|7BPWR|9AME
3	36312 31322	 * 	271.78	ACR|DCR|2VULN|2TLV|1DMG|2CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|67CDMG|7BPWR|9AME|aDMG
4	36312 31343	   	271.51	ACR|DCR|2VULN|2TLV|3CDMG|1DUR	1RPLT|28RCR|3MDPS|47TLV|57VULN|679CDMG|7BPWR|aDUR
5	36312 31363	 * 	258.28	ACR|DCR|2VULN|3TLV|2CDMG	1RPLT|28RCR|3MDPS|479TLV|57VULN|67CDMG|7BPWR|aFEWX
6	36312 31364	   	258.28	ACR|DCR|2VULN|3TLV|2CDMG	1RPLT|28RCR|3MDPS|479TLV|57VULN|67CDMG|7BPWR|aRAT
7	36312 31321	   	258.18	ACR|DCR|2VULN|3TLV|2CDMG	1RPLT|28RCR|3MDPS|47aTLV|57VULN|67CDMG|7BPWR|9AME
8	36312 31361	   	258.18	ACR|DCR|2VULN|3TLV|2CDMG	1RPLT|28RCR|3MDPS|479TLV|57VULN|67CDMG|7BPWR|aAEFBLL
9	36312 31362	   	258.18	ACR|DCR|2VULN|3TLV|2CDMG	1RPLT|28RCR|3MDPS|479TLV|57VULN|67CDMG|7BPWR|aAEBURN
10	36312 31365	   	258.18	ACR|DCR|2VULN|3TLV|2CDMG	1RPLT|28RCR|3MDPS|479TLV|57VULN|67CDMG|7BPWR|aAEFRZ
11	36312 31366	   	258.18	ACR|DCR|2VULN|3TLV|2CDMG	1RPLT|28RCR|3MDPS|479TLV|57VULN|67CDMG|7BPWR|aERES
12	21636 16332	 * 	257.89	DCR|2VULN|2DMG|1TLV|1MLV|1DUR|1AART	18CGEN|28VULN|3MLV|4AART|5DUR|68DMG|7RCR|8BPWR|9ASPD|aTLV
13	36312 31342	   	257.86	ACR|DCR|2VULN|2TLV|3CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|679CDMG|7BPWR|aFEWX
14	36312 31345	   	257.86	ACR|DCR|2VULN|2TLV|3CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|679CDMG|7BPWR|aBELT
15	36312 31346	   	257.86	ACR|DCR|2VULN|2TLV|3CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|679CDMG|7BPWR|aBEXP
16	36312 31326	   	257.76	ACR|DCR|2VULN|2TLV|3CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|67aCDMG|7BPWR|9AME
17	36312 31341	   	257.76	ACR|DCR|2VULN|2TLV|3CDMG	1RPLT|28RCR|3MDPS|47TLV|57VULN|679CDMG|7BPWR|aBBNT
18	36124 12622	   	257.21	ACR|DCR|3VULN|1TLV|1DUR	1RPLT|28RCR|3LHND|4RMIN|5DUR|679VULN|aTLV
19	36315 12623	   	257.01	ACR|DCR|3VULN|1TLV|1CDMG	1RPLT|28RCR|3MDPS|4TLV|5AEBURN|679VULN|aCDMG
20	36316 12623	   	257.01	ACR|DCR|3VULN|1TLV|1CDMG	1RPLT|28RCR|35MDPS|4TLV|679VULN|aCDMG
21	32212 56342	 * 	256.09	DCR|DCR|2DMG|1VULN|1MLV	1RPLT|2VULN|3MLV|4MDPS|57CGEN|6aRCR|89DMG
22	21251 12436	 * 	252.19	DCR|3VULN|2TLV|1DMG|1MLV|1DUR	1CGEN|23aVULN|4DMG|5DUR|6aTLV|7MLV|8RCR|9aLHND|aBPWR
