0	Index      	 *	Score 	Summary	Detail	
1	22641 51112	 * 	260.03	DCR|3VULN|3MLV|2TLV|3ASPD	168ASPD|238MLV|4aTLV|56aVULN|68aBPWR|78aLIT|9RCR
2	22612 12366	 * 	256.06	ACR|DCR|2VULN|2MLV|1TLV	1ASPD|23MLV|4AIRBOS|56RCR|7SNITOX|8aVULN|9TLV
3	25232 64231	 * 	255.94	DCR|DCR|1VULN|1TLV|1DMG	1ASPD|2DMSP|3AEWIND|4DMG|5ERES|6TLV|7BOSS|8aRCR|9VULN
4	25332 64231	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1ASPD|2DMSP|3AEFBLL|4DMG|5ERES|6TLV|7BOSS|8aRCR|9VULN
5	25131 15235	 * 	252.09	DCR|3VULN|2TLV|1DMG|1MLV|2ASPD	17ASPD|2DMSP|3DMG|467VULN|57TLV|7BPWR|8ZMB|9MLV|aRCR
6	22631 51112	 * 	244.35	DCR|2VULN|3TLV|3MLV|3ASPD	168ASPD|238MLV|4aVULN|56aTLV|68aBPWR|78aLIT|9RCR
7	22612 12315	   	243.51	ACR|DCR|2VULN|2MLV|1DUR	1ASPD|23MLV|4AIRBOS|56RCR|7SNITOX|8aVULN|9DUR
8	22612 15315	   	243.51	ACR|DCR|2VULN|2MLV|1DUR	1ASPD|23MLV|4AIRBOS|56RCR|7BASARM|8aVULN|9DUR
9	22612 12314	   	243.51	ACR|DCR|1VULN|2MLV|1TLV|1DUR	1ASPD|23MLV|4AIRBOS|56RCR|7SNITOX|8VULN|9DUR|aTLV
10	22612 15314	   	243.51	ACR|DCR|1VULN|2MLV|1TLV|1DUR	1ASPD|23MLV|4AIRBOS|56RCR|7BASARM|8VULN|9DUR|aTLV
11	22631 15351	   	237.51	DCR|3VULN|2TLV|2MLV	1ASPD|23MLV|468VULN|5aTLV|7LWND|9RCR
12	25232 64211	   	237.50	DCR|DCR|1TLV|1DMG|1DUR	1ASPD|2DMSP|3AEWIND|4DMG|5ERES|6TLV|7BOSS|8aRCR|9DUR
13	25332 64211	   	237.50	DCR|DCR|1TLV|1DMG|1DUR	1ASPD|2DMSP|3AEFBLL|4DMG|5ERES|6TLV|7BOSS|8aRCR|9DUR
14	22621 11355	   	237.41	DCR|3VULN|2TLV|2MLV	1ASPD|23MLV|4AETHUN|57TLV|68aVULN|9RCR
15	22612 12312	 * 	236.47	ACR|DCR|1VULN|2MLV|2DUR|2ASPD	1aASPD|23MLV|4aAIRBOS|56RCR|7SNITOX|8VULN|9aDUR|aBPWR
16	22612 15312	   	236.47	ACR|DCR|1VULN|2MLV|2DUR|2ASPD	1aASPD|23MLV|4aAIRBOS|56RCR|7BASARM|8VULN|9aDUR|aBPWR
17	25131 15225	   	236.39	DCR|3VULN|2TLV|1DMG|2ASPD	17ASPD|2DMSP|3DMG|467VULN|57TLV|7BPWR|8ZMB|9AME|aRCR
18	25213 22461	   	235.88	DCR|DCR|1VULN|1TLV	1ASPD|2DMSP|3AEWIND|4AME|5ZMB|6aRCR|7TLV|8VULN|9BOSS
19	25213 22531	   	235.88	DCR|DCR|1VULN|1TLV	1ASPD|2DMSP|3AEWIND|4AME|5ZMB|6aRCR|7TLV|8LIT|9VULN
20	25213 42231	   	235.88	DCR|DCR|1VULN|1TLV	1ASPD|2DMSP|3AEWIND|4AME|5ZMB|6BOSS|7TLV|8aRCR|9VULN
21	25313 22461	   	235.88	DCR|DCR|1VULN|1TLV	1ASPD|2DMSP|3AEFBLL|4AME|5ZMB|6aRCR|7TLV|8VULN|9BOSS
22	25313 22531	   	235.88	DCR|DCR|1VULN|1TLV	1ASPD|2DMSP|3AEFBLL|4AME|5ZMB|6aRCR|7TLV|8LIT|9VULN
23	25313 42231	   	235.88	DCR|DCR|1VULN|1TLV	1ASPD|2DMSP|3AEFBLL|4AME|5ZMB|6BOSS|7TLV|8aRCR|9VULN
24	25131 12235	   	234.95	DCR|3VULN|1TLV|1DMG|1MLV	1ASPD|2DMSP|3DMG|467VULN|5TLV|8ZMB|9MLV|aRCR
25	25131 12625	   	234.95	DCR|3VULN|1TLV|1DMG|1MLV	1ASPD|2DMSP|3DMG|467VULN|5TLV|8CGEN|9MLV|aRCR
26	25141 12235	   	234.95	DCR|3VULN|1TLV|1DMG|1MLV	1ASPD|2DMSP|3DMG|4TLV|567VULN|8ZMB|9MLV|aRCR
27	33635 21741	   	232.52	DCR|DCR|1TLV|1DMG|1MLV	1LHND|2LIT|3MLV|4BEXP|5MBVNT|6DMG|7aRCR|8TLV|9AME
28	13635 21741	   	232.42	DCR|DCR|1TLV|1DMG|1MLV	1DUST|2LIT|3MLV|4BEXP|5MBVNT|6DMG|7aRCR|8TLV|9AME
29	32641 32352	   	232.38	DCR|DCR|1AAC|1DUR|1AART|1CDMG	1LHND|2DUR|3FEWX|4RAT|5CDMG|69RCR|7ASPD|8AART|aAAC
30	22631 16316	   	232.33	DCR|2VULN|2MLV|1TLV|1DUR|1CDMG|1AAC	1ASPD|23MLV|46VULN|5TLV|7AAC|8CDMG|9DUR|aRCR
31	22631 24123	   	232.33	DCR|2VULN|2MLV|1TLV|1DUR|1CDMG	1ASPD|23MLV|4aVULN|5TLV|6CDMG|7BOSS|8DUR|9RCR
32	22641 24123	   	232.33	DCR|2VULN|2MLV|1TLV|1DUR|1CDMG	1ASPD|23MLV|4TLV|5aVULN|6CDMG|7BOSS|8DUR|9RCR
33	13521 22216	   	231.99	DCR|DCR|1VULN|1MLV|1AART	1DUST|2LIT|3RAT|4AART|5VULN|6BBNT|7MLV|8aRCR|9CGEN
34	13521 23236	   	231.99	DCR|DCR|1VULN|1MLV|1AART	1DUST|2LIT|3RAT|4AART|5VULN|6BBNT|7RMIN|8aRCR|9MLV
35	32641 32351	 * 	231.19	DCR|DCR|2DUR|1AART|1CDMG	1LHND|2aDUR|3FEWX|4RAT|5CDMG|69RCR|7ASPD|8AART
36	43131 33661	   	231.09	DCR|DCR|1TLV|1AART|1CDMG	1BBNT|2AART|3AEFRZ|4FEWX|5RAT|6CDMG|7TLV|89RCR|aASPD
