0	Index      	 *	Score 	Summary	Detail	
1	14123 31352	 * 	277.56	DCR|4VULN|2DUR|1TLV|1FLTARM|1CDMG	1FEWX|2456VULN|36DUR|6BPWR|7TLV|8CDMG|9RCR|aFLTARM
2	25126 34111	 * 	271.66	ACR|DCR|3VULN|2MLV|1TLV|1AAC	1AAC|27RCR|3RPLT|45aVULN|6TLV|8aLHND|9aMLV|aBPWR
3	25336 34111	   	271.66	ACR|DCR|3VULN|2MLV|1TLV|1AAC	1AAC|27RCR|35aVULN|4RPLT|6TLV|8aLHND|9aMLV|aBPWR
4	14123 31345	 * 	268.25	DCR|5VULN|2DUR|1TLV|1CDMG	1FEWX|24569VULN|36DUR|6BPWR|7TLV|8CDMG|aRCR
5	14143 31352	   	258.40	DCR|3VULN|2DUR|1TLV|1FLTARM|1CDMG	1FEWX|256VULN|36DUR|4RCVC|6BPWR|7TLV|8CDMG|9RCR|aFLTARM
6	14123 21352	   	258.30	DCR|3VULN|2DUR|1TLV|1FLTARM|1CDMG	1FEWX|245VULN|36DUR|7TLV|8CDMG|9RCR|aFLTARM
7	14123 31354	   	258.30	DCR|4VULN|2DUR|1TLV|1CDMG	1FEWX|2456VULN|36DUR|6BPWR|7TLV|8CDMG|9RCR|aASPD
8	33241 61231	 * 	252.33	DCR|3VULN|2FLTARM|2DMG	147LIT|28DMG|3RPLT|57FLTARM|67aVULN|7BPWR|9RCR
9	14123 31315	   	251.36	DCR|4VULN|2DUR|1TLV|1CDMG	19FEWX|2456VULN|36DUR|6BPWR|7TLV|8CDMG|aRCR
10	14123 31351	   	251.36	DCR|4VULN|2DUR|1TLV|1CDMG	1FEWX|2456VULN|36DUR|6BPWR|7TLV|8CDMG|9RCR|aBEXP
11	14123 31353	   	251.36	DCR|4VULN|2DUR|1TLV|1CDMG	1FEWX|2456VULN|36DUR|6BPWR|7TLV|8CDMG|9RCR|aLWND
12	14123 31355	   	251.36	DCR|4VULN|2DUR|1TLV|1CDMG	1aFEWX|2456VULN|36DUR|6BPWR|7TLV|8CDMG|9RCR
13	14123 21345	   	251.26	DCR|4VULN|2DUR|1TLV|1CDMG	1FEWX|2459VULN|36DUR|7TLV|8CDMG|aRCR
14	14123 31356	   	251.26	DCR|4VULN|2DUR|1TLV|1CDMG	1FEWX|2456VULN|36DUR|6BPWR|7TLV|8CDMG|9RCR|aAEWIND
15	23626 22123	 * 	249.63	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1AAC|2CDMG|3MDPS|4VULN|5ASPD|6aRCR|7TLV|8LIT|9RAT
16	25123 34111	   	249.52	ACR|DCR|2VULN|2MLV|1TLV|1AAC	1AAC|27RCR|3RPLT|4aVULN|5RCVC|6TLV|8aLHND|9aMLV|aBPWR
17	25333 34111	   	249.52	ACR|DCR|2VULN|2MLV|1TLV|1AAC	1AAC|27RCR|3aVULN|4RPLT|5RCVC|6TLV|8aLHND|9aMLV|aBPWR
18	33241 61235	 * 	249.35	DCR|3FLTARM|2VULN|2DMG	147LIT|28DMG|3RPLT|57aFLTARM|67VULN|7BPWR|9RCR
19	25335 34111	   	249.32	ACR|DCR|2VULN|2MLV|1TLV|1AAC	1AAC|27RCR|3aVULN|4RPLT|5aAEFBLL|6TLV|8LHND|9aMLV|aBPWR
20	25123 34411	   	249.32	ACR|DCR|2VULN|2MLV|1TLV|1AAC	1AAC|27RCR|3RPLT|4aVULN|5RCVC|6TLV|8aDUST|9aMLV|aBPWR
21	25125 34111	   	249.32	ACR|DCR|2VULN|2MLV|1TLV|1AAC	1AAC|27RCR|3RPLT|4aVULN|5aAEFBLL|6TLV|8LHND|9aMLV|aBPWR
22	25333 34411	   	249.32	ACR|DCR|2VULN|2MLV|1TLV|1AAC	1AAC|27RCR|3aVULN|4RPLT|5RCVC|6TLV|8aDUST|9aMLV|aBPWR
23	33321 46221	 * 	248.92	DCR|3DMG|1VULN|2MSLTOX|2DUR|1AART	19LIT|249DMG|34DUR|49BPWR|5VULN|6AART|79MSLTOX|8RCR|aASPD
