0	Index      	 *	Score 	Summary	Detail	
1	12333 62516	 * 	395.58	DCR|DCR|2MDPS|2DUR|1DMG	1BEXP|2DMG|3ASPD|49DUR|5MSLTOX|67RCR|8aMDPS
2	12333 62526	   	395.58	DCR|DCR|2MDPS|1DMG|1DUR	1BEXP|2DMG|39ASPD|4DUR|5MSLTOX|67RCR|8aMDPS
3	62111 51161	 * 	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1RCVC|2LIT|36VULN|4TLV|5DMG|7RCR|8DUR|9MDPS|aTBNT
4	62111 51162	   	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1RCVC|2LIT|36VULN|4TLV|5DMG|7RCR|8DUR|9MDPS|aBEXP
5	62111 51163	   	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1RCVC|2LIT|36VULN|4TLV|5DMG|7RCR|8DUR|9MDPS|aASPD
6	16413 53231	 * 	375.03	DCR|3VULN|1MDPS|1DUR	1BEXP|238VULN|47FEWX|5RMIN|6DUR|9RCR|aMDPS
7	16431 52231	   	375.03	DCR|3VULN|1MDPS|1DUR	1BEXP|238VULN|4RCVC|5LWND|6DUR|7MLV|9RCR|aMDPS
8	16612 23231	   	375.03	DCR|3VULN|1MDPS|1DUR	1BEXP|268VULN|37FEWX|4MLV|5DUR|9RCR|aMDPS
9	16522 23231	   	374.93	DCR|3VULN|1MDPS|1DUR	1BEXP|268VULN|3AME|47FEWX|5DUR|9RCR|aMDPS
10	16164 21131	 * 	372.39	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1BEXP|25VULN|3RPLT|45MLV|5BPWR|6CDMG|7AART|8RCR|9DUR|aMDPS
11	16166 21131	   	372.29	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1BEXP|25VULN|3RPLT|4MLV|6CDMG|7AART|8RCR|9DUR|aMDPS
12	16463 21131	   	372.19	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1BEXP|23VULN|4ERES|5RPLT|6CDMG|7AART|8RCR|9DUR|aMDPS
