0	Index      	 *	Score 	Summary	Detail	
1	25221 24612	 * 	384.32	DCR|2MDPS|1VULN|1TLV|1DUR	1LHND|2MLV|3ERES|4TLV|5LWND|6DUR|7RCR|8VULN|9aMDPS
2	66133 36231	 * 	377.51	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1TLV|2RCVC|3RAT|45VULN|6BEXP|7RCR|8DMG|9DUR|aMDPS
3	61633 36231	   	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1TLV|2RAT|3AEPOI|45VULN|6BEXP|7RCR|8DMG|9DUR|aMDPS
4	33532 21321	 * 	371.10	DCR|2VULN|1MDPS|2CDMG|1DUR	1RAT|2RPLT|3DUR|47VULN|5AAC|68CDMG|9RCR|aMDPS
5	32123 23523	   	371.00	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1RAT|2AART|3DUR|4TLV|5BBNT|67VULN|8ZMB|9RCR|aMDPS
6	32123 23123	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1RAT|2AART|3DUR|4TLV|5BBNT|67VULN|8ASPD|9RCR|aMDPS
7	42313 64212	 * 	370.47	DCR|2MDPS|1VULN|2DUR	16DUR|2BEXP|3VULN|4ERES|5LHND|7RCR|8aMDPS|9AETHUN
8	32144 26333	   	364.96	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1RAT|2AART|3DUR|47VULN|5RPLT|6RCR|8DMG|9AAC|aMDPS
9	32153 23123	   	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1RAT|2AART|3DUR|4DMG|5BBNT|67VULN|8ASPD|9RCR|aMDPS
10	32153 23623	   	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1RAT|2AART|3DUR|4DMG|5BBNT|67VULN|8ERES|9RCR|aMDPS
11	32415 41123	   	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1RAT|2AART|3DMG|4TBNT|56VULN|7DUR|8ASPD|9RCR|aMDPS
12	33351 12461	 * 	360.63	DCR|1MDPS|1VULN|2TLV|1CDMG|2DUR	14RAT|2RPLT|34TLV|4BPWR|5CDMG|6RCR|78DUR|9VULN|aMDPS
13	43516 31211	 * 	359.14	DCR|2MDPS|2VULN|1CDMG|1DMG|1DUR	1DUR|2DMG|35VULN|48MDPS|6CDMG|7RCR|9AME|aRAT
14	43516 31212	 * 	359.14	DCR|2MDPS|2VULN|1CDMG|1TLV|1DMG|1DUR	1DUR|2DMG|35VULN|48MDPS|6CDMG|7RCR|9AME|aTLV
15	43516 31213	   	359.14	DCR|2MDPS|2VULN|1CDMG|1DMG|1DUR	1DUR|2DMG|35VULN|48MDPS|6CDMG|7RCR|9AME|aLHND
16	43516 31221	   	359.14	DCR|2MDPS|2VULN|1CDMG|1DMG|1DUR	1DUR|2DMG|35VULN|48MDPS|6CDMG|7RCR|9BASICY|aERES
17	43516 31222	   	359.14	DCR|2MDPS|2VULN|1CDMG|1DMG|1DUR	1DUR|2DMG|35VULN|48MDPS|6CDMG|7RCR|9BASICY|aDUST
18	43516 31223	   	359.14	DCR|2MDPS|2VULN|1CDMG|1DMG|1DUR	1DUR|2DMG|35VULN|48MDPS|6CDMG|7RCR|9BASICY|aDMSP
19	43516 31231	   	359.14	DCR|2MDPS|2VULN|1CDMG|1DMG|1DUR	1DUR|2DMG|35VULN|48MDPS|6CDMG|7RCR|9VENICY|aERES
20	43516 31232	   	359.14	DCR|2MDPS|2VULN|1CDMG|1DMG|1DUR	1DUR|2DMG|35VULN|48MDPS|6CDMG|7RCR|9VENICY|aDUST
21	43516 31233	   	359.14	DCR|2MDPS|2VULN|1CDMG|1DMG|1DUR	1DUR|2DMG|35VULN|48MDPS|6CDMG|7RCR|9VENICY|aDMSP
22	33532 21521	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1RAT|2RPLT|3DUR|47VULN|5AAC|6CDMG|8RCVC|9RCR|aMDPS
23	12311 24412	   	358.11	DCR|2MDPS|1VULN|1DUR	1FEWX|2BEXP|3VULN|4ERES|5LWND|6DMSP|7RCR|8DUR|9aMDPS
24	12311 54412	   	358.11	DCR|2MDPS|1VULN|1DUR	1FEWX|2BEXP|3VULN|4ERES|56LWND|7RCR|8DUR|9aMDPS
25	12313 24412	   	358.11	DCR|2MDPS|1VULN|1DUR	1FEWX|2BEXP|3VULN|4ERES|5LHND|6DMSP|7RCR|8DUR|9aMDPS
26	12353 34412	   	358.11	DCR|2MDPS|1VULN|1DUR	1FEWX|2BEXP|3VULN|4RCVC|5LHND|6ERES|7RCR|8DUR|9aMDPS
27	12353 62412	   	358.11	DCR|2MDPS|1VULN|1DUR	1FEWX|2BEXP|3VULN|4RCVC|5LHND|6RCR|7ERES|8DUR|9aMDPS
28	22311 54412	   	358.11	DCR|2MDPS|1VULN|1DUR	1LHND|2BEXP|3VULN|4ERES|56LWND|7RCR|8DUR|9aMDPS
29	22315 24412	   	358.11	DCR|2MDPS|1VULN|1DUR	1LHND|2BEXP|3VULN|4ERES|5FEWX|6DMSP|7RCR|8DUR|9aMDPS
30	33532 11134	   	358.11	DCR|2MDPS|1VULN|1DUR	1RAT|28RPLT|3DUR|4VULN|5AAC|6TBNT|7RCR|9aMDPS
31	33532 11434	   	358.11	DCR|2MDPS|1VULN|1DUR	1RAT|2RPLT|3DUR|4VULN|58AAC|6TBNT|7RCR|9aMDPS
32	12315 34212	   	358.01	DCR|2MDPS|1VULN|1DUR	15FEWX|2BEXP|3VULN|4ERES|6DUR|7RCR|8aMDPS|9AETHUN
33	12315 34242	   	358.01	DCR|2MDPS|1VULN|1DUR|1MSE	15FEWX|2BEXP|3VULN|4ERES|6DUR|7RCR|8aMDPS|9MSE
34	22313 24212	   	358.01	DCR|2MDPS|1VULN|1DUR	15LHND|2BEXP|3VULN|4ERES|6DUR|7RCR|8aMDPS|9AETHUN
35	22313 24242	   	358.01	DCR|2MDPS|1VULN|1DUR|1MSE	15LHND|2BEXP|3VULN|4ERES|6DUR|7RCR|8aMDPS|9MSE
36	22316 24212	   	358.01	DCR|2MDPS|1VULN|1DUR	1LHND|2BEXP|3VULN|4ERES|5RCVC|6DUR|7RCR|8aMDPS|9AETHUN
37	22316 24242	   	358.01	DCR|2MDPS|1VULN|1DUR|1MSE	1LHND|2BEXP|3VULN|4ERES|5RCVC|6DUR|7RCR|8aMDPS|9MSE
38	24313 24212	   	358.01	DCR|2MDPS|1VULN|1DUR	15LHND|2FEWX|3VULN|4ERES|6DUR|7RCR|8aMDPS|9AETHUN
39	24313 24242	   	358.01	DCR|2MDPS|1VULN|1DUR|1MSE	15LHND|2FEWX|3VULN|4ERES|6DUR|7RCR|8aMDPS|9MSE
40	24315 24212	   	358.01	DCR|2MDPS|1VULN|1DUR	1LHND|25FEWX|3VULN|4ERES|6DUR|7RCR|8aMDPS|9AETHUN
41	33532 11334	   	358.01	DCR|2MDPS|1VULN|1DUR	1RAT|2RPLT|3DUR|4VULN|5AAC|6TBNT|7RCR|8AEWIND|9aMDPS
42	42311 24212	   	358.01	DCR|2MDPS|1VULN|1DUR	1DUR|2BEXP|3VULN|4ERES|5LWND|6DMSP|7RCR|8aMDPS|9AETHUN
43	42311 24242	   	358.01	DCR|2MDPS|1VULN|1DUR|1MSE	1DUR|2BEXP|3VULN|4ERES|5LWND|6DMSP|7RCR|8aMDPS|9MSE
44	42311 54212	   	358.01	DCR|2MDPS|1VULN|1DUR	1DUR|2BEXP|3VULN|4ERES|56LWND|7RCR|8aMDPS|9AETHUN
45	42313 24212	   	358.01	DCR|2MDPS|1VULN|1DUR	1DUR|2BEXP|3VULN|4ERES|5LHND|6DMSP|7RCR|8aMDPS|9AETHUN
46	42313 24242	   	358.01	DCR|2MDPS|1VULN|1DUR|1MSE	1DUR|2BEXP|3VULN|4ERES|5LHND|6DMSP|7RCR|8aMDPS|9MSE
47	42353 62212	   	358.01	DCR|2MDPS|1VULN|1DUR	1DUR|2BEXP|3VULN|4RCVC|5LHND|6RCR|7ERES|8aMDPS|9AETHUN
48	44311 24212	   	358.01	DCR|2MDPS|1VULN|1DUR	1DUR|2FEWX|3VULN|4ERES|5LWND|6DMSP|7RCR|8aMDPS|9AETHUN
49	44313 24212	   	358.01	DCR|2MDPS|1VULN|1DUR	1DUR|2FEWX|3VULN|4ERES|5LHND|6DMSP|7RCR|8aMDPS|9AETHUN
50	16261 24212	   	357.91	DCR|2MDPS|1VULN|1DUR	1FEWX|23ERES|4VULN|5LWND|6DUR|7RCR|8aMDPS|9AETHUN
51	32133 24652	 * 	357.55	DCR|2VULN|1MDPS|2AART|1DUR	17RAT|24AART|3DUR|57VULN|678LIT|7BPWR|9RCR|aMDPS
