0	Index      	 *	Score 	Summary	Detail	
1	13266 35113	 * 	384.32	DCR|2MDPS|1VULN|1TLV|1DUR	1BASHEA|2DUR|3VULN|4TLV|5RAT|6RCR|7ZMB|8CGEN|9aMDPS
2	42332 55221	 * 	374.69	DCR|3VULN|1MDPS|1DUR|1SELL	157VULN|2SELL|3aLHND|4MGNSTR|6RCR|8DUR|9MDPS
3	42332 55222	 * 	374.69	DCR|3VULN|1MDPS|1DUR|1SELL	157VULN|2SELL|3LHND|4MGNSTR|6RCR|8DUR|9MDPS|aAEFBLL
4	42332 55223	 * 	374.69	DCR|3VULN|1MDPS|1DUR|1SELL	157VULN|2SELL|3LHND|4MGNSTR|6RCR|8DUR|9MDPS|aBEXP
5	13216 51321	 * 	374.49	DCR|3VULN|1MDPS|1DUR|1SELL	19BASHEA|2DUR|389VULN|479AEPOI|5SELL|6RCR|9BPWR|aMDPS
6	53216 51321	 * 	374.49	DCR|3VULN|1MDPS|1DUR|1SELL	19SPLARM|2DUR|389VULN|479AEPOI|5SELL|6RCR|9BPWR|aMDPS
7	13266 33134	 * 	374.14	DCR|2VULN|1MDPS|2TLV|1DUR	1BASHEA|2DUR|39VULN|47TLV|5RAT|6RCR|8AME|aMDPS
8	13221 61532	 * 	366.56	4VULN|1MDPS|2CDMG|2DUR	18BASHEA|25DUR|3578VULN|4RPLT|58BPWR|68CDMG|9DMSP|aMDPS
9	53221 61532	   	366.56	4VULN|1MDPS|2CDMG|2DUR	18SPLARM|25DUR|3578VULN|4RPLT|58BPWR|68CDMG|9DMSP|aMDPS
10	13221 61525	   	366.46	4VULN|1MDPS|2CDMG|2DUR	18BASHEA|25DUR|3578VULN|4RPLT|58BPWR|68CDMG|9CANTOX|aMDPS
11	43214 43331	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	12VULN|3RMIN|4BELT|5ERES|6CDMG|7BOSS|8RCR|9DUR|aMDPS
12	13436 35113	   	358.11	DCR|2MDPS|1VULN|1DUR	1BASHEA|2DUR|3MLV|4VULN|5RAT|6RCR|7ZMB|8CGEN|9aMDPS
13	13266 31511	 * 	357.15	DCR|2VULN|1MDPS|2DUR|1TLV	1BASHEA|2aDUR|38VULN|4TLV|5RAT|6RCR|7DUST|9MDPS
14	13266 31512	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1BASHEA|2DUR|38VULN|4TLV|5RAT|6RCR|7DUST|9MDPS|aAME
15	13266 31513	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1BASHEA|2DUR|38VULN|4TLV|5RAT|6RCR|7DUST|9MDPS|aAAC
