0	Index      	 *	Score 	Summary	Detail	
1	15132 51232	 * 	351.80	DCR|4VULN|2DMG|1DUR	1TBNT|28RAT|3AEBURN|4789VULN|58DMG|6RCR|8BPWR|aDUR
2	25133 11423	 * 	343.50	DCR|2VULN|1MDPS|2DUR	1MGNBOS|2DMSP|3VENFST|45DUR|69VULN|7AAC|8RCR|aMDPS
3	32323 12224	   	343.50	DCR|2VULN|1MDPS|2DUR	1ERES|2CGEN|3AME|45DUR|67VULN|8BEXP|9RCR|aMDPS
4	32323 12422	   	343.50	DCR|2VULN|1MDPS|2DUR	1ERES|2CGEN|3AME|45DUR|67VULN|8LWND|9RCR|aMDPS
5	32323 12524	   	343.50	DCR|2VULN|1MDPS|2DUR	1ERES|2CGEN|3AME|45DUR|67VULN|8FEWX|9RCR|aMDPS
6	22133 11423	   	343.40	DCR|2VULN|1MDPS|2DUR	1MGNBOS|2AEFRZ|3VENFST|45DUR|69VULN|7AAC|8RCR|aMDPS
7	32323 12124	   	343.40	DCR|2VULN|1MDPS|2DUR	1ERES|2CGEN|3AME|45DUR|67VULN|8DUST|9RCR|aMDPS
8	34323 12424	   	343.40	DCR|2VULN|1MDPS|2DUR	1ERES|23DUST|45DUR|67VULN|8LWND|9RCR|aMDPS
9	34323 12524	   	343.40	DCR|2VULN|1MDPS|2DUR	1ERES|23DUST|45DUR|67VULN|8FEWX|9RCR|aMDPS
10	15132 51262	 * 	338.99	DCR|3VULN|2DMG|1TLV|1DUR	1TBNT|28RAT|3AEBURN|478VULN|58DMG|6RCR|8BPWR|9DUR|aTLV
11	32326 12224	   	331.04	DCR|2VULN|1MDPS|1DUR	1ERES|25CGEN|3AME|4DUR|67VULN|8BEXP|9RCR|aMDPS
12	32326 12422	   	331.04	DCR|2VULN|1MDPS|1DUR	1ERES|25CGEN|3AME|4DUR|67VULN|8LWND|9RCR|aMDPS
13	32326 12524	   	331.04	DCR|2VULN|1MDPS|1DUR	1ERES|25CGEN|3AME|4DUR|67VULN|8FEWX|9RCR|aMDPS
14	32335 15224	   	331.04	DCR|2VULN|1MDPS|1DUR	1ERES|24CGEN|34AME|4BPWR|56VULN|7DUR|8BEXP|9RCR|aMDPS
15	32335 15422	   	331.04	DCR|2VULN|1MDPS|1DUR	1ERES|24CGEN|34AME|4BPWR|56VULN|7DUR|8LWND|9RCR|aMDPS
16	32363 12224	   	330.94	DCR|2VULN|1MDPS|1DUR	16ERES|2CGEN|3AME|47VULN|5DUR|8BEXP|9RCR|aMDPS
17	32363 12422	   	330.94	DCR|2VULN|1MDPS|1DUR	16ERES|2CGEN|3AME|47VULN|5DUR|8LWND|9RCR|aMDPS
18	32363 12524	   	330.94	DCR|2VULN|1MDPS|1DUR	16ERES|2CGEN|3AME|47VULN|5DUR|8FEWX|9RCR|aMDPS
19	32363 32224	   	330.94	DCR|2VULN|1MDPS|1DUR	1ERES|2CGEN|3AME|47VULN|5DUR|6AEFRZ|8BEXP|9RCR|aMDPS
20	32363 32422	   	330.94	DCR|2VULN|1MDPS|1DUR	1ERES|2CGEN|3AME|47VULN|5DUR|6AEFRZ|8LWND|9RCR|aMDPS
21	32363 32524	   	330.94	DCR|2VULN|1MDPS|1DUR	1ERES|2CGEN|3AME|47VULN|5DUR|6AEFRZ|8FEWX|9RCR|aMDPS
22	32363 62224	   	330.94	DCR|2VULN|1MDPS|1DUR	1ERES|2CGEN|36AME|47VULN|5DUR|8BEXP|9RCR|aMDPS
23	32363 62422	   	330.94	DCR|2VULN|1MDPS|1DUR	1ERES|2CGEN|36AME|47VULN|5DUR|8LWND|9RCR|aMDPS
24	32326 12124	   	330.94	DCR|2VULN|1MDPS|1DUR	1ERES|25CGEN|3AME|4DUR|67VULN|8DUST|9RCR|aMDPS
25	32335 15124	   	330.94	DCR|2VULN|1MDPS|1DUR	1ERES|24CGEN|34AME|4BPWR|56VULN|7DUR|8DUST|9RCR|aMDPS
26	32363 12124	   	330.84	DCR|2VULN|1MDPS|1DUR	16ERES|2CGEN|3AME|47VULN|5DUR|8DUST|9RCR|aMDPS
27	32363 32124	   	330.84	DCR|2VULN|1MDPS|1DUR	1ERES|2CGEN|3AME|47VULN|5DUR|6AEFRZ|8DUST|9RCR|aMDPS
28	32363 62124	   	330.84	DCR|2VULN|1MDPS|1DUR	1ERES|2CGEN|36AME|47VULN|5DUR|8DUST|9RCR|aMDPS
29	33216 52612	 * 	329.68	DCR|1MDPS|1VULN|2DUR|1TLV|1AART	1ERES|2MSLREG|3LHND|4AART|59DUR|6TLV|7RCR|8VULN|aMDPS
30	22524 62111	 * 	328.69	ACR|2VULN|1MDPS|2DMG|1DUR	1MGNBOS|2AEFRZ|3DUR|4RCR|56VULN|79DMG|8FEWX|aMDPS
31	22524 62311	   	328.69	ACR|2VULN|1MDPS|2DMG|1DUR	1MGNBOS|2AEFRZ|3DUR|4RCR|56VULN|79DMG|8LWND|aMDPS
32	23224 62511	   	328.69	ACR|2VULN|1MDPS|2DMG|1DUR	1MGNBOS|2DUST|3RCVC|4RCR|56VULN|79DMG|8DUR|aMDPS
33	33324 62611	   	328.69	ACR|2VULN|1MDPS|2DMG|1DUR	1ERES|2MSLREG|3CGEN|4RCR|56VULN|79DMG|8DUR|aMDPS
34	15132 51263	 * 	325.24	DCR|3VULN|2DMG|2DUR	1TBNT|28RAT|3AEBURN|478VULN|58DMG|6RCR|8BPWR|9aDUR
35	21621 22415	 * 	324.74	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR	1MGNBOS|2BOSS|3VULN|4DMG|5CDMG|6ERES|7AME|8RCR|9DUR|aMDPS
36	64214 22324	   	323.54	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1ASPD|2DUST|3TLV|4BEXP|5VULN|6DUR|7MBVNT|8RCR|9DMG|aMDPS
