0	Index      	 *	Score 	Summary	Detail	
1	65241 53124	 * 	250.58	ACR|DCR|2VULN|2DUR|1MLV|2ASPD	1RCVC|2MBVNT|39RCR|4aDUR|5aVULN|6LWND|7MLV|8aASPD|aBPWR
2	33342 62531	 * 	246.27	DCR|DCR|1TLV|1DMG|1MLV|1AART	12CGEN|3AART|4RCVC|5AEPOI|68RCR|7DMG|9MLV|aTLV
3	33352 62531	   	246.17	DCR|DCR|1TLV|1DMG|1MLV|1AART	12CGEN|3AART|4AEFBLL|5AEPOI|68RCR|7DMG|9MLV|aTLV
4	36211 12615	 * 	242.59	DCR|DCR|2VULN|1DUR	1CGEN|2LIT|3DUR|4TBNT|5MDPS|6LWND|78VULN|9aRCR
5	43132 65123	   	239.03	DCR|DCR|1VULN|1MLV|1DUR	1DUR|2FEWX|3ZMB|4BOSS|5ERES|69RCR|7MLV|8VULN|aASPD
6	33342 62522	 * 	236.45	DCR|DCR|1VULN|1DMG|1AART	12CGEN|3AART|4RCVC|5AEPOI|68RCR|7DMG|9AEWIND|aVULN
7	33352 62522	   	236.35	DCR|DCR|1VULN|1DMG|1AART	12CGEN|3AART|4AEFBLL|5AEPOI|68RCR|7DMG|9AEWIND|aVULN
8	13342 66123	 * 	235.98	DCR|DCR|1VULN|1TLV	1BEXP|2FEWX|3LIT|4TLV|5ERES|69RCR|7ZMB|8VULN|aASPD
9	65241 18124	   	234.97	ACR|DCR|2VULN|2DUR|2ASPD	1RCVC|2MBVNT|39RCR|4aDUR|5aVULN|6CGEN|7FEWX|8aASPD|aBPWR
10	42311 16324	   	234.87	ACR|DCR|2VULN|2DUR|1AAC	19DUR|28RCR|3FEWX|4LHND|5BASICY|67VULN|aAAC
11	42313 16324	   	234.87	ACR|DCR|2VULN|2DUR|1AAC	19DUR|28RCR|3FEWX|4LHND|5BASHEA|67VULN|aAAC
12	36131 36353	 * 	234.78	DCR|DCR|2TLV|1AART|1CDMG	1CGEN|25LIT|3AART|45TLV|5BPWR|6aRCR|7CDMG|8RAT|9FEWX
