0	Index      	 *	Score 	Summary	Detail	
1	11326 36324	 * 	285.70	DCR|3VULN|3DMG|3CDMG|1TLV|1AART	1AART|2RCVC|378VULN|478DMG|578CDMG|6BOSS|78BPWR|9TLV|aRCR
2	11326 36314	   	275.10	DCR|3VULN|3DMG|3CDMG|1MLV|1AART	1AART|2RCVC|378VULN|478DMG|578CDMG|6BOSS|78BPWR|9MLV|aRCR
3	31244 22523	 * 	270.86	ACR|DCR|3VULN|1TLV|1DUR|1AART	18RCR|2FEWX|3AART|4DUR|5LIT|69aVULN|7TLV
4	31245 22523	   	270.86	ACR|DCR|3VULN|1TLV|1DUR|1AART	18RCR|2FEWX|3AART|4DUR|5BOSS|69aVULN|7TLV
5	32244 22523	   	270.86	ACR|DCR|3VULN|1TLV|1DUR|1AART	18RCR|2LHND|3AART|4DUR|5LIT|69aVULN|7TLV
6	32245 22523	   	270.86	ACR|DCR|3VULN|1TLV|1DUR|1AART	18RCR|2LHND|3AART|4DUR|5BOSS|69aVULN|7TLV
7	33236 23563	 * 	261.08	ACR|DCR|2VULN|2AART|1TLV|1DUR	18RCR|2aVULN|39AART|4DUST|5TLV|6DUR|7LIT
8	33236 23523	 * 	258.96	ACR|DCR|2VULN|2TLV|1DUR|1AART	18RCR|2aVULN|3AART|4DUST|59TLV|6DUR|7LIT
9	33234 42523	   	258.96	ACR|DCR|2VULN|2TLV|1DUR|1AART	18RCR|2aVULN|3AART|4DUST|5LIT|6DUR|79TLV
10	33235 42523	   	258.96	ACR|DCR|2VULN|2TLV|1DUR|1AART	18RCR|2aVULN|3AART|4DUST|5BOSS|6DUR|79TLV
11	31264 22523	   	257.21	ACR|DCR|3VULN|1TLV|1AART	18RCR|2FEWX|3AART|4LHND|5LIT|69aVULN|7TLV
12	31265 22523	   	257.21	ACR|DCR|3VULN|1TLV|1AART	18RCR|2FEWX|3AART|4LHND|5BOSS|69aVULN|7TLV
13	15126 22235	 * 	257.14	DCR|DCR|1VULN|1DMG|1AART|1CDMG	1AART|2ASPD|3ZMB|4DMG|5CDMG|6MDPS|7RAT|8VULN|9aRCR
14	33344 66641	   	257.01	ACR|DCR|3VULN|1TLV|1CDMG	16RCR|29aVULN|3MBVNT|4CDMG|5BBNT|7RCVC|8TLV
15	33344 61641	   	256.91	ACR|DCR|3VULN|1TLV|1CDMG	16RCR|29aVULN|3MBVNT|4CDMG|5BBNT|7AEBURN|8TLV
16	33344 68137	   	256.91	ACR|DCR|3VULN|1TLV|1CDMG	16RCR|29aVULN|3MBVNT|4CDMG|5BBNT|7TBNT|8TLV
17	33352 56134	 * 	256.89	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1aRCR|26VULN|3MBVNT|4FEWX|5DMG|7MLV|8TLV|9CANARM
18	23123 25433	 * 	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1ERES|2DUR|3AEFBLL|4TLV|5BELT|6aRCR|7VULN|8CDMG|9CGEN
19	41231 43115	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1CDMG|2LHND|3DUR|4DUST|5VENTOX|6aRCR|7TLV|8VULN|9ERES
