0	Index      	 *	Score 	Summary	Detail	
1	14322 26226	 * 	281.45	DCR|DCR|2VULN|2DUR|1TLV	1LHND|2BOSS|3TLV|48DUR|5FEWX|6aVULN|79RCR
2	14322 26222	 * 	275.31	DCR|DCR|1VULN|2DUR|1TLV|1DMG	1LHND|2BOSS|3TLV|48DUR|5FEWX|6VULN|79RCR|aDMG
3	14324 26222	   	275.31	DCR|DCR|1VULN|2DUR|1TLV|1DMG	1LHND|2BOSS|3TLV|48DUR|5BEXP|6VULN|79RCR|aDMG
4	14322 26126	   	268.99	DCR|DCR|2VULN|1TLV|1DUR	1LHND|2BOSS|3TLV|4DUR|5FEWX|6aVULN|79RCR|8RCVC
5	14322 26122	   	262.85	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1LHND|2BOSS|3TLV|4DUR|5FEWX|6VULN|79RCR|8RCVC|aDMG
6	14324 26122	   	262.85	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1LHND|2BOSS|3TLV|4DUR|5BEXP|6VULN|79RCR|8RCVC|aDMG
7	14332 51522	   	262.85	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1LHND|2BOSS|3TLV|4VULN|5FEWX|69RCR|7RCVC|8DUR|aDMG
8	42233 23762	 * 	261.08	ACR|DCR|1VULN|2DUR|1FLTARM|1TLV|1AART	1AART|2VULN|36DUR|49RCR|5MBVNT|7TLV|8BEXP|aFLTARM
9	42233 22862	   	261.08	ACR|DCR|1VULN|2DUR|1FLTARM|1TLV|1AART	1AART|2VULN|36DUR|49RCR|5MBVNT|7BEXP|8TLV|aFLTARM
10	15232 12543	   	258.19	DCR|DCR|2VULN|1MLV|1AART	1LHND|2MLV|39VULN|4TBNT|5LWND|6AART|7aRCR|8MULHEA
11	14332 52126	   	255.34	DCR|DCR|2VULN|1TLV	1LHND|2BOSS|3TLV|4aVULN|5FEWX|69RCR|7BEXP|8RCVC
12	14312 26126	   	255.24	DCR|DCR|2VULN|1TLV	1LHND|2BOSS|3TLV|4DUST|5FEWX|6aVULN|79RCR|8RCVC
13	14322 26221	   	255.24	DCR|DCR|1VULN|2DUR|1TLV	1LHND|2aBOSS|3TLV|48DUR|5FEWX|6VULN|79RCR
14	14322 26223	   	255.24	DCR|DCR|1VULN|2DUR|1TLV	1aLHND|2BOSS|3TLV|48DUR|5FEWX|6VULN|79RCR
15	14322 26224	   	255.24	DCR|DCR|1VULN|2DUR|1TLV	1LHND|2BOSS|3TLV|48DUR|5FEWX|6VULN|79RCR|aMGNSTR
16	14322 26225	   	255.24	DCR|DCR|1VULN|2DUR|1TLV	1LHND|2BOSS|3TLV|48DUR|5FEWX|6VULN|79RCR|aRPLT
17	14324 26221	   	255.24	DCR|DCR|1VULN|2DUR|1TLV	1LHND|2aBOSS|3TLV|48DUR|5BEXP|6VULN|79RCR
18	14324 26223	   	255.24	DCR|DCR|1VULN|2DUR|1TLV	1aLHND|2BOSS|3TLV|48DUR|5BEXP|6VULN|79RCR
19	12523 26226	   	255.14	DCR|DCR|2VULN|2DUR	1LHND|28DUR|3DUST|4BOSS|5CGEN|6aVULN|79RCR
20	14222 26226	   	255.14	DCR|DCR|2VULN|2DUR	1LHND|2BOSS|3ERES|48DUR|5FEWX|6aVULN|79RCR
21	43233 21267	 * 	254.94	ACR|DCR|1VULN|2DUR|1TLV|1DMG|1AART	1AART|2LWND|36DUR|49RCR|5MBVNT|7DMG|8TLV|aVULN
22	21212 55612	 * 	252.31	DCR|4VULN|2DMG|1MLV|2ASPD	19ASPD|2LWND|3469VULN|5MLV|7LIT|89DMG|9BPWR|aRCR
