0	Index      	 *	Score 	Summary	Detail	
1	26122 13536	 * 	279.86	ACR|DCR|2VULN|3TLV|2MLV|1CDMG	17VULN|29RCR|3AEFRZ|4RMIN|57MLV|678TLV|7BPWR|aCDMG
2	25153 24332	 * 	277.58	DCR|DCR|3VULN|2DUR	19aVULN|29DUR|3LWND|4RPLT|5LIT|67RCR|89LHND|9BPWR
3	26122 13535	 * 	275.31	ACR|DCR|2VULN|3TLV|3MLV	17VULN|29RCR|3AEFRZ|4RMIN|57aMLV|678TLV|7BPWR
4	63511 23335	 * 	274.73	ACR|DCR|2VULN|3DMG|1TLV	137DMG|2aRCR|4TLV|57VULN|67CGEN|7BPWR|8BBNT|9TBNT
5	26122 13531	   	273.15	ACR|DCR|2VULN|3TLV|2MLV	17VULN|29RCR|3AEFRZ|4RMIN|57MLV|678TLV|7BPWR|aASPD
6	26422 13531	   	273.15	ACR|DCR|2VULN|3TLV|2MLV	17VULN|29RCR|3AEWIND|4RMIN|57MLV|678TLV|7BPWR|aASPD
7	31222 14155	 * 	270.75	DCR|DCR|2VULN|1TLV|1MLV|1AAC|1NUKE	1AAC|2AETHUN|39VULN|4NUKE|5RCVC|68RCR|7MLV|aTLV
8	26132 13535	 * 	267.33	ACR|DCR|2VULN|2TLV|1DMG|1MLV	17VULN|29RCR|37AEFRZ|4CGEN|5MLV|67TLV|7BPWR|8AETHUN|aDMG
9	25153 24333	 * 	266.89	DCR|DCR|2VULN|3DUR	19VULN|29aDUR|3LWND|4RPLT|5LIT|67RCR|89LHND|9BPWR
10	26122 13532	   	266.21	ACR|DCR|2VULN|3TLV|2MLV	17VULN|29RCR|3AEFRZ|4RMIN|57MLV|678TLV|7BPWR|aFEWX
11	26122 13533	   	266.21	ACR|DCR|2VULN|3TLV|2MLV	17VULN|29RCR|3AEFRZ|4RMIN|57MLV|678TLV|7BPWR|aLHND
12	26122 13534	   	266.21	ACR|DCR|2VULN|3TLV|2MLV	17VULN|29RCR|3AEFRZ|4RMIN|57MLV|678TLV|7BPWR|aCGEN
13	26422 13532	   	266.21	ACR|DCR|2VULN|3TLV|2MLV	17VULN|29RCR|3AEWIND|4RMIN|57MLV|678TLV|7BPWR|aFEWX
14	26422 13533	   	266.21	ACR|DCR|2VULN|3TLV|2MLV	17VULN|29RCR|3AEWIND|4RMIN|57MLV|678TLV|7BPWR|aLHND
15	25153 24322	   	264.93	DCR|DCR|3VULN|1DUR	19aVULN|2DUR|3LWND|4RPLT|5LIT|67RCR|8LHND
16	41332 14162	 * 	264.81	DCR|DCR|2VULN|1DMG|1MLV|1AAC	12LWND|2BPWR|3DMG|49VULN|5AAC|68RCR|7MLV|aDMSP
17	41332 14163	   	264.81	DCR|DCR|2VULN|1DMG|1MLV|1AAC	12LWND|2BPWR|3DMG|49VULN|5AAC|68RCR|7MLV|aRMIN
18	51332 14152	   	264.81	DCR|DCR|2VULN|1DMG|1MLV|1AAC	12BEXP|2BPWR|3DMG|49VULN|5AAC|68RCR|7MLV|aDMSP
19	51332 14153	   	264.81	DCR|DCR|2VULN|1DMG|1MLV|1AAC	12BEXP|2BPWR|3DMG|49VULN|5AAC|68RCR|7MLV|aRMIN
20	41332 14114	 * 	264.81	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AAC	12LWND|2BPWR|3DMG|4VULN|5AAC|68RCR|7MLV|9RCVC|aTLV
21	51332 14123	   	264.81	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AAC	12BEXP|2BPWR|3DMG|4VULN|5AAC|68RCR|7MLV|9CGEN|aTLV
22	22145 15213	   	264.73	DCR|DCR|3VULN|1AART	15aVULN|2CGEN|3AART|4DMSP|6AME|78RCR|9VENICY
23	24312 14152	   	264.71	DCR|DCR|2VULN|1DMG|1MLV|1AAC	19VULN|2AEPOI|3DMG|4LHND|5AAC|68RCR|7MLV|aDMSP
24	24312 14153	   	264.71	DCR|DCR|2VULN|1DMG|1MLV|1AAC	19VULN|2AEPOI|3DMG|4LHND|5AAC|68RCR|7MLV|aRMIN
25	41332 14161	   	264.71	DCR|DCR|2VULN|1DMG|1MLV|1AAC|1SELL	12LWND|2BPWR|3DMG|49VULN|5AAC|68RCR|7MLV|aSELL
26	51332 14151	   	264.71	DCR|DCR|2VULN|1DMG|1MLV|1AAC|1SELL	12BEXP|2BPWR|3DMG|49VULN|5AAC|68RCR|7MLV|aSELL
27	24312 14114	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AAC	1VULN|2AEPOI|3DMG|4LHND|5AAC|68RCR|7MLV|9RCVC|aTLV
28	34135 14123	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AAC	1AAC|2DUST|3DMSP|4VULN|5DMG|68RCR|7MLV|9CGEN|aTLV
29	51332 14133	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AAC	12BEXP|2BPWR|3DMG|4VULN|5AAC|68RCR|7MLV|9AME|aTLV
30	65132 14123	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AAC	1DMG|2DUST|3DMSP|4VULN|5AAC|68RCR|7MLV|9CGEN|aTLV
31	24312 14151	   	264.61	DCR|DCR|2VULN|1DMG|1MLV|1AAC|1SELL	19VULN|2AEPOI|3DMG|4LHND|5AAC|68RCR|7MLV|aSELL
32	24342 14123	   	264.61	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AAC	1VULN|2AEPOI|3DMG|4DUST|5AAC|68RCR|7MLV|9CGEN|aTLV
33	34135 14133	   	264.61	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AAC	1AAC|2DUST|3DMSP|4VULN|5DMG|68RCR|7MLV|9AME|aTLV
34	65132 14133	   	264.61	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AAC	1DMG|2DUST|3DMSP|4VULN|5AAC|68RCR|7MLV|9AME|aTLV
35	24342 14133	   	264.51	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AAC	1VULN|2AEPOI|3DMG|4DUST|5AAC|68RCR|7MLV|9AME|aTLV
36	22145 15231	   	262.75	DCR|DCR|2VULN|1DMG|1AART	15VULN|2CGEN|3AART|4DMSP|6AME|78RCR|9DMG|aRPLT
37	22145 15232	   	262.75	DCR|DCR|2VULN|1DMG|1AART	15VULN|2aCGEN|3AART|4DMSP|6AME|78RCR|9DMG
38	22145 15233	   	262.75	DCR|DCR|2VULN|1DMG|1AART	15VULN|2CGEN|3AART|4DMSP|6AME|78RCR|9DMG|aVENTOX
39	33151 24611	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1AAC	1AAC|2DUR|3DMSP|4SPLREG|5TLV|6DMG|7MBVNT|8aRCR|9VULN
40	26251 33251	 * 	261.28	ACR|DCR|2VULN|2DUR|1TLV|1AART	17VULN|29RCR|378RAT|4AART|5BBNT|67DUR|7BPWR|aTLV
41	25132 63253	 * 	259.39	DCR|3VULN|3DMG|1TLV|1DUR	179VULN|2DUR|37LWND|4MDPS|578DMG|6RCR|7BPWR|aTLV
