0	Index      	 *	Score 	Summary	Detail	
1	41613 12613	 * 	242.59	DCR|DCR|2VULN|1CDMG	1MDPS|2BEXP|37VULN|4CDMG|5FEWX|6aRCR|8LHND|9AME
2	12613 61133	   	242.49	DCR|DCR|2VULN|1DUR	1DUR|2AEFBLL|3RPLT|4DUST|57VULN|6aRCR|8FEWX|9MDPS
3	43351 32532	 * 	241.29	ACR|DCR|1VULN|1FLTARM|1TLV|1DMG	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8DMG|9BELT|aTLV
4	14242 13213	 * 	238.13	ACR|DCR|2VULN|1MLV|1DUR|1CDMG	1DUR|2RAT|3aRCR|4LIT|58VULN|6MLV|7CDMG|9RPLT
5	43351 32432	   	236.83	ACR|DCR|1VULN|1FLTARM|1TLV|1MLV	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8MLV|9BELT|aTLV
6	21212 11263	 * 	236.70	DCR|DCR|2DUR|1TLV|1AAC|1CDMG	1CGEN|2AAC|3BBNT|4CDMG|59DUR|6aRCR|7TLV|8ZMB
7	41613 13233	 * 	236.55	DCR|DCR|1VULN|1DMG|1CDMG	1MDPS|2BEXP|3VULN|4CDMG|5FEWX|6aRCR|7CGEN|8ZMB|9DMG
8	12513 87242	 * 	235.04	DCR|3VULN|1TLV|1MLV|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|589VULN|6RCR|7TLV|aMLV
9	43351 32325	 * 	234.87	ACR|DCR|2VULN|1FLTARM|1DUR	1MDPS|2AEFRZ|3RAT|4aVULN|56RCR|7FLTARM|8DUR|9LWND
10	43351 32216	   	234.77	ACR|DCR|2VULN|1FLTARM|1CDMG	1MDPS|2AEFRZ|3RAT|4aVULN|56RCR|7FLTARM|8TBNT|9CDMG
11	43351 32335	 * 	234.77	ACR|DCR|1VULN|2DUR|1FLTARM|1CDMG	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|89DUR|aCDMG
12	43351 32236	   	232.13	ACR|DCR|2VULN|1FLTARM|1NUKE	1MDPS|2AEFRZ|3RAT|49VULN|56RCR|7FLTARM|8TBNT|aNUKE
13	35164 22113	 * 	231.93	DCR|3VULN|2TLV|1MLV|1AART	18AEBURN|27LWND|38TLV|468VULN|5AART|8BPWR|9RCR|aMLV
14	31125 32543	   	231.89	DCR|DCR|1VULN|1MLV|1AART	1AEBURN|2AME|3VULN|4BOSS|5ERES|6AART|7aRCR|8LIT|9MLV
15	43351 34123	 * 	231.86	ACR|DCR|1VULN|1TLV|1MSLTOX|1DUR	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7ASPD|8DUR|9TLV|aMSLTOX
16	13633 43723	   	231.75	DCR|DCR|1VULN|1MLV|1DUR|1SELL	1DUR|2MLV|3VULN|4SELL|5MBVNT|6LHND|7aRCR|8ERES|9LWND
17	13642 22151	 * 	231.68	DCR|3VULN|3DUR|2MLV	179DUR|29MLV|389VULN|4BBNT|5BOSS|6RCR|9BPWR|aCGEN
18	13642 22152	   	231.68	DCR|3VULN|3DUR|2MLV	179DUR|29MLV|389VULN|4BBNT|5BOSS|6RCR|9BPWR|aLWND
19	13642 22153	   	231.58	DCR|3VULN|3DUR|2MLV	179DUR|29MLV|389VULN|4BBNT|5BOSS|6RCR|9BPWR|aERES
20	14114 11235	   	231.09	DCR|DCR|1TLV|1DUR|1AART	1DUR|25RAT|3AEFBLL|4AART|69RCR|7LEGI|8ASPD|aTLV
21	14115 11235	   	231.09	DCR|DCR|1TLV|1DUR|1AART	1DUR|2RAT|3AEFBLL|4AART|5RCVC|69RCR|7LEGI|8ASPD|aTLV
22	14351 31213	 * 	231.01	ACR|DCR|3VULN|1DUR	1DUR|2RAT|37LWND|48aVULN|56RCR|9RPLT
