0	Index      	 *	Score 	Summary	Detail	
1	52331 41422	 * 	257.87	DCR|3VULN|2TLV|2MLV|1AAC|1CDMG	17TLV|2TBNT|3CDMG|4AETHUN|57MLV|679VULN|7BPWR|8RCR|aAAC
2	41233 41242	 * 	256.14	DCR|DCR|2VULN|1DUR|1AART	1MDPS|2LWND|3AART|4AEWIND|59VULN|6TSLARM|7aRCR|8DUR
3	53235 23252	 * 	249.00	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2RMIN|3CGEN|4MDPS|5MBVNT|6BEXP|7DMG|89RCR|aVULN
4	53235 33252	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2RMIN|3CGEN|4MDPS|5MBVNT|6FEWX|7DMG|89RCR|aVULN
5	51335 23252	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2AME|3RMIN|4MDPS|5MBVNT|6BEXP|7DMG|89RCR|aVULN
6	51335 33252	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2AME|3RMIN|4MDPS|5MBVNT|6FEWX|7DMG|89RCR|aVULN
7	13633 36344	 * 	246.21	DCR|DCR|2TLV|1VULN	1AEBURN|27TLV|3ASPD|4LHND|5LIT|6VULN|8aRCR|9MBVNT
8	23633 36344	   	246.21	DCR|DCR|2TLV|1VULN	1AEFBLL|27TLV|3ASPD|4LHND|5LIT|6VULN|8aRCR|9MBVNT
9	13213 44342	 * 	245.49	DCR|2VULN|2DMG|2TLV|1DUR|1AART	17AEBURN|27TLV|3AART|4LIT|5aVULN|67DMG|7BPWR|8RCR|9DUR
10	42233 41612	   	245.44	DCR|DCR|1VULN|1MLV|1DUR|1AART	1MDPS|2DUR|3AART|4AEWIND|5VULN|6TSLARM|7aRCR|8MLV|9ERES
11	52331 41423	   	244.22	DCR|3VULN|2TLV|2MLV|1CDMG	17TLV|2TBNT|3CDMG|4AETHUN|57MLV|679VULN|7BPWR|8RCR|aZMB
12	52331 41421	   	244.12	DCR|3VULN|2TLV|2MLV|1CDMG	17TLV|2TBNT|3CDMG|4AETHUN|57MLV|679VULN|7BPWR|8RCR|aSPLREG
13	32336 32242	   	242.69	DCR|DCR|2VULN|1CDMG	12BEXP|3RMIN|4MDPS|5aVULN|6RPLT|7CDMG|89RCR
14	43126 32242	   	242.69	DCR|DCR|2VULN|1CDMG	1MDPS|24BEXP|3RMIN|5aVULN|6RPLT|7CDMG|89RCR
15	43111 12242	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1MDPS|2BEXP|3RMIN|4RPLT|5TLV|6CGEN|7CDMG|89RCR|aVULN
16	45311 12242	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1MDPS|2RMIN|3FEWX|4RPLT|5TLV|6CGEN|7CDMG|89RCR|aVULN
17	35336 32242	   	242.59	DCR|DCR|2VULN|1CDMG	1BEXP|2AEFRZ|3RMIN|4MDPS|5aVULN|6RPLT|7CDMG|89RCR
18	43111 62242	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1MDPS|2BEXP|3RMIN|4RPLT|5TLV|6ERES|7CDMG|89RCR|aVULN
19	41233 41342	   	242.49	DCR|DCR|2VULN|1AART	1MDPS|2LWND|3AART|4AEWIND|59VULN|6TSLARM|7aRCR|8FEWX
20	13633 31344	   	242.49	DCR|DCR|1VULN|1TLV|2ASPD	1AEBURN|2TLV|37ASPD|4LHND|5LIT|6VULN|8aRCR|9MBVNT
21	23633 31344	   	242.49	DCR|DCR|1VULN|1TLV|2ASPD	1AEFBLL|2TLV|37ASPD|4LHND|5LIT|6VULN|8aRCR|9MBVNT
22	42233 41222	 * 	242.39	DCR|DCR|1VULN|2DUR|1AART	1MDPS|28DUR|3AART|4AEWIND|5VULN|6TSLARM|7aRCR|9LHND
23	42233 41262	   	242.39	DCR|DCR|1VULN|2DUR|1AART	1MDPS|28DUR|3AART|4AEWIND|5VULN|6TSLARM|7aRCR|9BEXP
24	42253 41122	   	242.39	DCR|DCR|1VULN|2DUR|1AART	1MDPS|24DUR|3AART|5VULN|6TSLARM|7aRCR|8AEFRZ|9LHND
25	42263 41222	   	242.39	DCR|DCR|1VULN|2DUR|1AART	1MDPS|28DUR|3AART|4AEBURN|5VULN|6TSLARM|7aRCR|9LHND
26	54232 35111	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1TLV|2MULARM|34AME|5LWND|6aRCR|7VULN|8DUST|9DUR
27	42111 12643	 * 	236.70	DCR|DCR|2DUR|1TLV|1CDMG	1MDPS|2aDUR|3RMIN|4RPLT|5TLV|6CGEN|7CDMG|89RCR
28	13633 16344	   	235.88	DCR|DCR|1VULN|1TLV	1AEBURN|2TLV|3ASPD|46LHND|5LIT|7VULN|8aRCR|9MBVNT
29	23633 16344	   	235.88	DCR|DCR|1VULN|1TLV	1AEFBLL|2TLV|3ASPD|46LHND|5LIT|7VULN|8aRCR|9MBVNT
30	53235 22252	   	235.88	DCR|DCR|1VULN|1TLV	1TLV|2RMIN|3CGEN|4MDPS|5MBVNT|6BEXP|7ASPD|89RCR|aVULN
31	53235 32252	   	235.88	DCR|DCR|1VULN|1TLV	1TLV|2RMIN|3CGEN|4MDPS|5MBVNT|6FEWX|7ASPD|89RCR|aVULN
32	13633 33344	   	235.78	DCR|DCR|1VULN|1TLV	1AEBURN|2TLV|3ASPD|4LHND|5LIT|6VULN|7AEFRZ|8aRCR|9MBVNT
33	23633 33344	   	235.78	DCR|DCR|1VULN|1TLV	1AEFBLL|2TLV|3ASPD|4LHND|5LIT|6VULN|7AEFRZ|8aRCR|9MBVNT
34	51335 22252	   	235.78	DCR|DCR|1VULN|1TLV	1TLV|2AME|3RMIN|4MDPS|5MBVNT|6BEXP|7ASPD|89RCR|aVULN
35	51335 32252	   	235.78	DCR|DCR|1VULN|1TLV	1TLV|2AME|3RMIN|4MDPS|5MBVNT|6FEWX|7ASPD|89RCR|aVULN
36	52331 41433	   	235.73	DCR|2VULN|2TLV|2MLV|1DUR|1CDMG	17TLV|2TBNT|3CDMG|4AETHUN|57MLV|67VULN|7BPWR|8RCR|9RPLT|aDUR
37	52331 41412	   	235.63	DCR|2VULN|2TLV|2MLV|1DUR|1CDMG	17TLV|2TBNT|3CDMG|4AETHUN|57MLV|67VULN|7BPWR|8RCR|9ERES|aDUR
38	13213 44322	   	231.83	DCR|2VULN|2DMG|2TLV|1AART	17AEBURN|27TLV|3AART|4LIT|5aVULN|67DMG|7BPWR|8RCR|9LHND
39	41233 41612	   	231.79	DCR|DCR|1VULN|1MLV|1AART	1MDPS|2LWND|3AART|4AEWIND|5VULN|6TSLARM|7aRCR|8MLV|9ERES
40	54353 31121	   	231.19	DCR|DCR|1TLV|1DUR|1CDMG|1AAC	1TLV|2MULARM|3RCVC|4CDMG|5DUR|68RCR|7AAC|9BEXP|aASPD
41	54353 31131	   	231.19	DCR|DCR|1TLV|1DUR|1CDMG|1AAC	1TLV|2MULARM|3RCVC|4CDMG|5DUR|68RCR|7AAC|9LHND|aASPD
42	53235 23251	   	230.56	DCR|DCR|1TLV|1DMG|1DUR	1TLV|2RMIN|3CGEN|4MDPS|5MBVNT|6BEXP|7DMG|89RCR|aDUR
43	53235 33251	   	230.56	DCR|DCR|1TLV|1DMG|1DUR	1TLV|2RMIN|3CGEN|4MDPS|5MBVNT|6FEWX|7DMG|89RCR|aDUR
44	51335 23251	   	230.46	DCR|DCR|1TLV|1DMG|1DUR	1TLV|2AME|3RMIN|4MDPS|5MBVNT|6BEXP|7DMG|89RCR|aDUR
45	51335 33251	   	230.46	DCR|DCR|1TLV|1DMG|1DUR	1TLV|2AME|3RMIN|4MDPS|5MBVNT|6FEWX|7DMG|89RCR|aDUR
46	44212 43253	   	230.36	DCR|DCR|1TLV|1DMG|1DUR	15MDPS|2MBVNT|3DUST|4DUR|6RMIN|7DMG|89RCR|aTLV
47	44213 43253	   	230.36	DCR|DCR|1TLV|1DMG|1DUR	1MDPS|2MBVNT|3DUST|4DUR|5AEBURN|6RMIN|7DMG|89RCR|aTLV
48	32236 32643	   	230.14	DCR|DCR|1VULN|1DUR|1CDMG	12BEXP|3CGEN|4MDPS|5VULN|6RPLT|7CDMG|89RCR|aDUR
49	32336 32241	   	230.14	DCR|DCR|1VULN|1DUR|1CDMG	12BEXP|3RMIN|4MDPS|5VULN|6RPLT|7CDMG|89RCR|aDUR
50	43126 32241	   	230.14	DCR|DCR|1VULN|1DUR|1CDMG	1MDPS|24BEXP|3RMIN|5VULN|6RPLT|7CDMG|89RCR|aDUR
51	11236 32643	   	230.04	DCR|DCR|1VULN|1DUR|1CDMG	1AEBURN|2LHND|3CGEN|4MDPS|5VULN|6RPLT|7CDMG|89RCR|aDUR
52	11336 32643	   	230.04	DCR|DCR|1VULN|1DUR|1CDMG	1AEBURN|2LHND|3RMIN|4MDPS|5VULN|6RPLT|7CDMG|89RCR|aDUR
53	21236 32643	   	230.04	DCR|DCR|1VULN|1DUR|1CDMG	1AEFBLL|2LHND|3CGEN|4MDPS|5VULN|6RPLT|7CDMG|89RCR|aDUR
54	21336 32643	   	230.04	DCR|DCR|1VULN|1DUR|1CDMG	1AEFBLL|2LHND|3RMIN|4MDPS|5VULN|6RPLT|7CDMG|89RCR|aDUR
55	35336 32241	   	230.04	DCR|DCR|1VULN|1DUR|1CDMG	1BEXP|2AEFRZ|3RMIN|4MDPS|5VULN|6RPLT|7CDMG|89RCR|aDUR
56	13213 41612	 * 	229.92	DCR|2VULN|2AART|1TLV|1DMG|1DUR	1AEBURN|2TLV|39AART|4LIT|5aVULN|6DMG|7RCR|8DUR
57	13213 43342	   	229.92	DCR|2VULN|2AART|1TLV|1DMG|1DUR	1AEBURN|2TLV|37AART|4LIT|5aVULN|6DMG|8RCR|9DUR
58	23213 41612	   	229.92	DCR|2VULN|2AART|1TLV|1DMG|1DUR	1AEFBLL|2TLV|39AART|4LIT|5aVULN|6DMG|7RCR|8DUR
59	23213 43342	   	229.92	DCR|2VULN|2AART|1TLV|1DMG|1DUR	1AEFBLL|2TLV|37AART|4LIT|5aVULN|6DMG|8RCR|9DUR
60	41233 41152	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1MDPS|2LWND|3AART|4AEWIND|5VULN|6TSLARM|7aRCR|8AEFRZ|9DUR
61	42233 41122	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1MDPS|2DUR|3AART|4AEWIND|5VULN|6TSLARM|7aRCR|8AEFRZ|9LHND
62	42233 41162	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1MDPS|2DUR|3AART|4AEWIND|5VULN|6TSLARM|7aRCR|8AEFRZ|9BEXP
63	42263 41122	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1MDPS|2DUR|3AART|4AEBURN|5VULN|6TSLARM|7aRCR|8AEFRZ|9LHND
64	53321 13163	   	229.04	DCR|DCR|1VULN|1TLV|1AAC	1TLV|2RMIN|3RAT|4AAC|5FEWX|6LHND|7aRCR|8DUST|9VULN
65	53322 13263	   	229.04	DCR|DCR|1VULN|1TLV|1AAC	1TLV|2RMIN|3RAT|4AAC|5DUST|6LHND|7aRCR|8BEXP|9VULN
66	53324 13163	   	229.04	DCR|DCR|1VULN|1TLV|1AAC	1TLV|2RMIN|3RAT|4AAC|5LWND|6LHND|7aRCR|8DUST|9VULN
67	53351 13163	   	229.04	DCR|DCR|1VULN|1TLV	1TLV|2RMIN|3RAT|4ZMB|5FEWX|6LHND|7aRCR|8DUST|9VULN
68	53352 13263	   	229.04	DCR|DCR|1VULN|1TLV	1TLV|2RMIN|3RAT|4ZMB|5DUST|6LHND|7aRCR|8BEXP|9VULN
