0	Index      	 *	Score 	Summary	Detail	
1	14225 33523	 * 	268.89	DCR|DCR|2VULN|2DUR|1AART	17LWND|2RMIN|37VULN|47DUST|5AART|68RCR|7BPWR|9aDUR
2	14225 33533	 * 	264.93	DCR|DCR|3VULN|1AART	17LWND|2RMIN|37aVULN|47DUST|5AART|68RCR|7BPWR|9ZMB
3	61111 61116	 * 	263.03	DCR|DCR|2DMG|1VULN|1MLV	1BEXP|2BBNT|3aDMG|4VULN|5ASPD|69RCR|7RMIN|8MLV
4	61111 61112	   	259.09	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1BEXP|2BBNT|3DMG|4VULN|5ASPD|69RCR|7RMIN|8MLV|aDUR
5	61111 64112	   	259.09	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1BEXP|2BBNT|3DMG|4VULN|5ASPD|69RCR|7CGEN|8MLV|aDUR
6	14225 33521	   	256.44	DCR|DCR|2VULN|1DUR|1AART	17aLWND|2RMIN|37VULN|47DUST|5AART|68RCR|7BPWR|9DUR
7	14225 33522	   	256.34	DCR|DCR|2VULN|1DUR|1AART|1MSE	17LWND|2RMIN|37VULN|47DUST|5AART|68RCR|7BPWR|9DUR|aMSE
8	33223 44513	 * 	255.24	DCR|DCR|2VULN|1TLV	17MGNSTR|2LHND|3TBNT|47AEFBLL|57VULN|6BOSS|7BPWR|8TLV|9aRCR
9	33233 44513	   	255.24	DCR|DCR|2VULN|1TLV	17MGNSTR|2LHND|3TBNT|47AEFRZ|57VULN|6BOSS|7BPWR|8TLV|9aRCR
10	11141 61113	 * 	253.20	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1LWND|2BBNT|3DMG|4DUR|5ASPD|69RCR|7RMIN|8MLV|aTLV
11	11141 64113	   	253.20	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1LWND|2BBNT|3DMG|4DUR|5ASPD|69RCR|7CGEN|8MLV|aTLV
12	61141 61113	   	253.20	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1BEXP|2BBNT|3DMG|4DUR|5ASPD|69RCR|7RMIN|8MLV|aTLV
13	14225 33513	   	249.73	DCR|DCR|2VULN|1AART	17LWND|2RMIN|37VULN|47DUST|5AART|68RCR|7BPWR|9RAT|aASPD
14	11114 12436	 * 	249.00	DCR|DCR|1VULN|1TLV|1DMG	178LWND|2BBNT|3DMG|4VULN|5TBNT|6aRCR|9TLV
15	11132 61113	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1LWND|2BBNT|3DMG|4ZMB|5DUR|69RCR|7RMIN|8MLV|aTLV
16	11132 64113	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1LWND|2BBNT|3DMG|4ZMB|5DUR|69RCR|7CGEN|8MLV|aTLV
17	61132 61113	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1BEXP|2BBNT|3DMG|4ZMB|5DUR|69RCR|7RMIN|8MLV|aTLV
18	61132 64113	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1BEXP|2BBNT|3DMG|4ZMB|5DUR|69RCR|7CGEN|8MLV|aTLV
19	61111 61113	   	245.44	DCR|DCR|1VULN|1DMG|1MLV	1BEXP|2BBNT|3DMG|4VULN|5ASPD|69RCR|7RMIN|8MLV|aZMB
20	61111 61115	   	245.44	DCR|DCR|1VULN|1DMG|1MLV	1BEXP|2BBNT|3DMG|4VULN|5ASPD|69RCR|7RMIN|8MLV|aLIT
21	61111 64113	   	245.44	DCR|DCR|1VULN|1DMG|1MLV	1BEXP|2BBNT|3DMG|4VULN|5ASPD|69RCR|7CGEN|8MLV|aZMB
22	61111 61111	   	245.34	DCR|DCR|1VULN|1DMG|1MLV	1BEXP|2BBNT|3DMG|4VULN|5ASPD|69RCR|7RMIN|8MLV|aDUST
23	61111 61114	   	245.34	DCR|DCR|1VULN|1DMG|1MLV	1BEXP|2BBNT|3DMG|4VULN|5ASPD|69RCR|7RMIN|8MLV|aERES
24	61111 64111	   	245.34	DCR|DCR|1VULN|1DMG|1MLV	1BEXP|2BBNT|3DMG|4VULN|5ASPD|69RCR|7CGEN|8MLV|aDUST
25	11141 61116	   	244.59	DCR|DCR|2DMG|1MLV|1DUR	1LWND|2BBNT|3aDMG|4DUR|5ASPD|69RCR|7RMIN|8MLV
26	13544 13133	 * 	243.21	DCR|DCR|1FLTARM|1TLV|1DMG	1LWND|2DMSP|3RAT|4DMG|5TLV|6FLTARM|79RCR|8AME|aBEXP
27	12544 13133	   	243.11	DCR|DCR|1FLTARM|1TLV|1DMG	1LWND|2AEFRZ|3RAT|4DMG|5TLV|6FLTARM|79RCR|8AME|aBEXP
28	13544 13131	   	243.11	DCR|DCR|1FLTARM|1TLV|1DMG	1LWND|2DMSP|3RAT|4DMG|5TLV|6FLTARM|79RCR|8AME|aDUST
29	13544 13132	   	243.11	DCR|DCR|1FLTARM|1TLV|1DMG	1LWND|2DMSP|3RAT|4DMG|5TLV|6FLTARM|79RCR|8AME|aAEWIND
30	12544 13131	   	243.01	DCR|DCR|1FLTARM|1TLV|1DMG	1LWND|2AEFRZ|3RAT|4DMG|5TLV|6FLTARM|79RCR|8AME|aDUST
31	12544 13132	   	243.01	DCR|DCR|1FLTARM|1TLV|1DMG	1LWND|2AEFRZ|3RAT|4DMG|5TLV|6FLTARM|79RCR|8AME|aAEWIND
32	14225 33511	   	242.79	DCR|DCR|2VULN|1AART	17LWND|2RMIN|37VULN|47DUST|5AART|68RCR|7BPWR|9RAT|aBELT
33	14225 33512	   	242.79	DCR|DCR|2VULN|1AART	17LWND|2RMIN|37VULN|47DUST|5AART|68RCR|7BPWR|9RAT|aBEXP
34	14225 33531	   	242.79	DCR|DCR|2VULN|1AART	17LWND|2RMIN|37VULN|47DUST|5AART|68RCR|7BPWR|9ZMB|aLHND
35	14225 33532	   	242.79	DCR|DCR|2VULN|1AART	17LWND|2RMIN|37VULN|47DUST|5AART|68RCR|7BPWR|9ZMB|aBOSS
36	11141 61112	 * 	239.45	DCR|DCR|2DUR|1DMG|1MLV	1LWND|2BBNT|3DMG|4aDUR|5ASPD|69RCR|7RMIN|8MLV
37	11141 64112	   	239.45	DCR|DCR|2DUR|1DMG|1MLV	1LWND|2BBNT|3DMG|4aDUR|5ASPD|69RCR|7CGEN|8MLV
38	61141 61112	   	239.45	DCR|DCR|2DUR|1DMG|1MLV	1BEXP|2BBNT|3DMG|4aDUR|5ASPD|69RCR|7RMIN|8MLV
