0	Index      	 *	Score 	Summary	Detail	
1	62331 12628	 * 	308.76	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	18RCR|2MBVNT|3BASHEA|4DMG|5TLV|6CDMG|7AEWIND|9aVULN
2	36125 33246	 * 	305.91	DCR|DCR|2TLV|2DMG|2FLTHEA|1AART	1AART|28FLTHEA|3RPLT|48TLV|5MBVNT|6aRCR|78DMG|8BPWR|9DUR
3	63313 25644	   	304.97	ACR|DCR|2VULN|1TLV|1DMG	18RCR|2RCVC|35VULN|4DUR|6DMG|7MBVNT|9MLV|aTLV
4	62311 52336	 * 	302.56	ACR|DCR|2TLV|1VULN|1DMG|1AART	1aRCR|2MBVNT|3BASHEA|45TLV|6DMG|7VULN|8AART|9RPLT
5	11423 25624	   	302.25	ACR|DCR|2VULN|1TLV|1DMG	1MLV|2AME|35VULN|48RCR|6DMG|7MBVNT|9ZMB|aTLV
6	63333 25624	   	302.25	ACR|DCR|2VULN|1TLV|1DMG	18RCR|2RCVC|35VULN|4LHND|6DMG|7MBVNT|9ZMB|aTLV
7	63313 63413	 * 	301.72	ACR|3VULN|2TLV|3DUR|1DMG	1RCR|2RCVC|357VULN|478DUR|67TLV|7BPWR|9AETHUN|aDMG
8	63313 63433	   	301.72	ACR|3VULN|2TLV|3DUR|1AEPOI	1RCR|2RCVC|357VULN|478DUR|67TLV|7BPWR|9MDPS|aAEPOI
9	63313 63316	   	300.26	ACR|3VULN|2TLV|1DMG|2DUR	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8FEWX|9ZMB|aDMG
10	62331 18622	   	299.07	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1CDMG	18RCR|2MBVNT|3BASHEA|4DMG|5TLV|6CDMG|7RCVC|9VULN|aAEFBLL
11	62331 12622	   	298.97	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1CDMG	18RCR|2MBVNT|3BASHEA|4DMG|5TLV|6CDMG|7AEWIND|9VULN|aAEFBLL
12	62831 12622	   	298.97	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1CDMG	18RCR|2MBVNT|3BLASTR|4DMG|5TLV|6CDMG|7AEWIND|9VULN|aAEFBLL
13	63313 63223	   	295.40	ACR|3VULN|2TLV|3DUR|1CDMG	1RCR|2RCVC|357VULN|47aDUR|67TLV|7BPWR|8CGEN|9CDMG
14	15364 22121	   	295.18	ACR|DCR|1TLV|1VULN|2CDMG|1AEPOI	1MLV|2LIT|38CDMG|4VULN|59RCR|6TLV|7AEPOI|aDUR
15	24423 42211	 * 	294.34	DCR|2TLV|2VULN|1AEPOI|3ZMB|2RAT|1AART	16aZMB|2aTLV|34VULN|5AART|7AEPOI|8RCR|9aRAT|aBPWR
16	63313 63351	   	293.92	ACR|3VULN|2TLV|2DUR|1AART	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8FEWX|9AART|aNUKE
17	63313 63216	   	293.32	ACR|3VULN|2TLV|1DMG|2DUR	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8CGEN|9LHND|aDMG
18	63313 63326	   	293.32	ACR|3VULN|2TLV|1DMG|2DUR	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8FEWX|9MLV|aDMG
19	63313 63221	   	293.22	ACR|3VULN|2TLV|2CDMG|2DUR	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8CGEN|9aCDMG
20	34125 33246	   	292.16	DCR|DCR|2TLV|2DMG|1AART	1AART|28AIRHEA|3RPLT|48TLV|5MBVNT|6aRCR|78DMG|8BPWR|9DUR
21	63313 63432	   	291.31	ACR|3VULN|2TLV|3DUR	1RCR|2RCVC|357VULN|478DUR|67TLV|7BPWR|9MDPS|aNUKE
22	62314 33134	   	290.28	ACR|2TLV|2VULN|1DMG|2AEPOI|1CDMG	1RCR|2MBVNT|3BASHEA|4aTLV|5BLAICY|6CDMG|7aVULN|8DMG|9aAEPOI|aBPWR
23	62814 33134	   	290.28	ACR|2TLV|2VULN|1DMG|2AEPOI|1CDMG	1RCR|2MBVNT|3BLASTR|4aTLV|5BLAICY|6CDMG|7aVULN|8DMG|9aAEPOI|aBPWR
24	62433 25624	 * 	289.88	ACR|DCR|1TLV|1VULN|2DMG	18RCR|2MBVNT|3AEWIND|4LHND|5VULN|67DMG|9ZMB|aTLV
25	62331 12625	   	288.57	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	18RCR|2MBVNT|3BASHEA|4DMG|5TLV|6CDMG|7AEWIND|9VULN|aNUKE
26	66332 26313	 * 	288.07	ACR|3VULN|1TLV|3CDMG|1DMG|2FLTHEA	1RCR|27FLTHEA|357CDMG|457VULN|57BPWR|6BELT|8TLV|9DMSP|aDMG
27	66332 26323	   	287.97	ACR|3VULN|1TLV|3CDMG|1DMG|2FLTHEA	1RCR|27FLTHEA|357CDMG|457VULN|57BPWR|6BELT|8TLV|9MGNSTR|aDMG
28	63313 63251	   	287.13	ACR|3VULN|2TLV|2DUR	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8CGEN|9ZMB|aFRZICY
29	63313 63315	   	287.13	ACR|3VULN|2TLV|2DUR	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8FEWX|9ZMB|aRAT
30	63313 63222	   	286.91	ACR|3VULN|2TLV|2DUR|1CDMG	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8CGEN|9CDMG|aMLV
31	63313 63224	   	286.91	ACR|3VULN|2TLV|2DUR|1CDMG	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8CGEN|9CDMG|aVENTOX
32	63313 63225	   	286.91	ACR|3VULN|2TLV|2DUR|1CDMG	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8CGEN|9CDMG|aLIT
33	63313 63233	   	286.91	ACR|3VULN|2TLV|2DUR|1ASPD	1RCR|29RCVC|357VULN|47DUR|67TLV|7BPWR|8CGEN|aASPD
34	63313 63336	   	286.91	ACR|3VULN|2TLV|2DUR|1CDMG	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8FEWX|9RPLT|aCDMG
35	63313 63226	   	286.81	ACR|3VULN|2TLV|2DUR|1CDMG	1RCR|2RCVC|357VULN|47DUR|67TLV|7BPWR|8CGEN|9CDMG|aERES
36	63313 63423	   	286.52	ACR|3VULN|2TLV|3DUR|1DMG|1MSE	1RCR|2RCVC|357VULN|478DUR|67TLV|7BPWR|9MSE|aDMG
37	62331 18623	   	285.94	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	18RCR|2MBVNT|3BASHEA|4DMG|5TLV|6CDMG|7RCVC|9VULN|aFLTHEA
