0	Index      	 *	Score 	Summary	Detail	
1	36812 24731	 * 	333.22	DCR|4VULN|2TLV|3ASPD|1DMG	1MBVNT|249aVULN|34aASPD|4aBPWR|5FEWX|6DMG|7RCR|8aTLV
2	34442 15333	 * 	329.66	ACR|DCR|3VULN|1TLV|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|469VULN|5FEWX|7TLV|8DUR
3	34445 15333	   	329.66	ACR|DCR|3VULN|1TLV|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|469VULN|5LWND|7TLV|8DUR
4	34442 15413	 * 	321.51	ACR|DCR|2TLV|2VULN|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|46VULN|5FEWX|78TLV|9LHND
5	34445 15453	   	321.51	ACR|DCR|2TLV|2VULN|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|46VULN|5LWND|78TLV|9FEWX
6	34445 15413	   	321.41	ACR|DCR|2TLV|2VULN|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|46VULN|5LWND|78TLV|9LEGI
7	34442 15233	   	320.00	ACR|DCR|3VULN|1TLV|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|469VULN|5FEWX|7TLV|8BEXP
8	34442 18733	   	320.00	ACR|DCR|3VULN|1TLV|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|469VULN|5FEWX|7LWND|8TLV
9	34445 15233	   	320.00	ACR|DCR|3VULN|1TLV|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|469VULN|5LWND|7TLV|8BEXP
10	34445 16733	   	320.00	ACR|DCR|3VULN|1TLV|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|469VULN|5LWND|7FEWX|8TLV
11	34446 16733	   	320.00	ACR|DCR|3VULN|1TLV|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|469VULN|5BEXP|7FEWX|8TLV
12	34442 11433	   	319.90	ACR|DCR|3VULN|1TLV|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|469VULN|5FEWX|7DUST|8TLV
13	34445 11433	   	319.90	ACR|DCR|3VULN|1TLV|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|469VULN|5LWND|7DUST|8TLV
14	34446 11433	   	319.90	ACR|DCR|3VULN|1TLV|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|469VULN|5BEXP|7DUST|8TLV
15	34446 11743	   	319.90	ACR|DCR|3VULN|1TLV|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|468VULN|5BEXP|7DUST|9TLV
16	31612 24731	   	315.53	DCR|4VULN|2TLV|1DMG|3ZMB	1MBVNT|24aZMB|349aVULN|4aBPWR|5FEWX|6DMG|7RCR|8aTLV
17	31616 74431	   	315.43	DCR|4VULN|2TLV|1DMG|3ZMB	1MBVNT|24aZMB|349aVULN|4aBPWR|5DMG|6DUST|7RCR|8aTLV
18	34444 15333	   	314.36	ACR|DCR|3VULN|1TLV|1AEFBLL|1MSE	1MBVNT|2AEFBLL|3aRCR|469VULN|5MSE|7TLV|8DUR
19	31474 35721	 * 	310.07	DCR|DCR|3VULN|1TLV	1MBVNT|29ZMB|3SPLREG|456VULN|7aRCR|8TLV
20	31644 35721	   	310.07	DCR|DCR|3VULN|1TLV	1MBVNT|29ZMB|356VULN|4MGNSTR|7aRCR|8TLV
21	32148 62462	   	308.86	DCR|DCR|2VULN|1TLV|2CDMG|1ASPD	1MBVNT|28CDMG|37VULN|4TLV|5ASPD|6AAC|9aRCR
22	34444 15413	   	306.21	ACR|DCR|2TLV|2VULN|1AEFBLL|1MSE	1MBVNT|2AEFBLL|3aRCR|46VULN|5MSE|78TLV|9LHND
23	34444 15443	   	306.21	ACR|DCR|2TLV|2VULN|1AEFBLL|1MSE	1MBVNT|2AEFBLL|3aRCR|46VULN|5MSE|78TLV|9FEWX
24	34445 15423	   	306.21	ACR|DCR|2TLV|2VULN|1AEFBLL|1MSE	1MBVNT|2AEFBLL|3aRCR|46VULN|5LWND|78TLV|9MSE
25	36382 24731	   	305.80	DCR|4VULN|2TLV|1DMG	1MBVNT|239aVULN|3aBPWR|4aZMB|5FEWX|6DMG|7RCR|8aTLV
26	31664 24431	   	305.70	DCR|4VULN|2TLV|1DMG	1MBVNT|2aZMB|359aVULN|4DUST|6DMG|7RCR|8aTLV|aBPWR
27	34445 55333	   	304.97	ACR|DCR|2VULN|1TLV|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|49VULN|56LWND|7TLV|8DUR
28	43313 13326	   	304.97	ACR|DCR|2VULN|1TLV|1AEFBLL	1RPLT|2aRCR|35VULN|4MDPS|6CGEN|7AEFBLL|8TLV|9DUR
29	34442 15313	   	304.87	ACR|DCR|2VULN|1TLV|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|46VULN|5FEWX|7TLV|8DUR|9AEWIND
30	34445 15313	   	304.87	ACR|DCR|2VULN|1TLV|1AEFBLL	1MBVNT|2AEFBLL|3aRCR|46VULN|5LWND|7TLV|8DUR|9AEWIND
31	34444 15233	   	304.70	ACR|DCR|3VULN|1TLV|1AEFBLL|1MSE	1MBVNT|2AEFBLL|3aRCR|469VULN|5MSE|7TLV|8BEXP
32	34444 16733	   	304.70	ACR|DCR|3VULN|1TLV|1AEFBLL|1MSE	1MBVNT|2AEFBLL|3aRCR|469VULN|5MSE|7FEWX|8TLV
33	34444 11433	   	304.60	ACR|DCR|3VULN|1TLV|1AEFBLL|1MSE	1MBVNT|2AEFBLL|3aRCR|469VULN|5MSE|7DUST|8TLV
