0	Index      	 *	Score 	Summary	Detail	
1	33336 23525	 * 	282.19	DCR|DCR|2VULN|1TLV	1BELT|2ERES|3FEWX|4aVULN|5TLV|6BEXP|7RAT|89RCR
2	31131 33461	 * 	281.16	DCR|2TLV|2VULN|2DMG|1CDMG	1BELT|2aDMG|3CDMG|4aTLV|59VULN|6LHND|7RCR|8aAME|aBPWR
3	31131 23461	   	281.06	DCR|2TLV|2VULN|2DMG|1CDMG	1BELT|2aDMG|3CDMG|4aTLV|59VULN|6DUST|7RCR|8aAME|aBPWR
4	61112 44223	 * 	280.53	DCR|2VULN|1TLV|1AEPOI|2DUR|1ASPD|1CDMG|1AART	12DUR|3CDMG|4aVULN|5AEPOI|6AART|7ASPD|8RCR|9TLV
5	43111 61533	 * 	280.52	ACR|3TLV|2VULN|2ASPD|1AART	1RMIN|2DLOT|369TLV|4RCR|5LIT|79VULN|89ASPD|9BPWR|aAART
6	61112 43131	 * 	278.14	DCR|2TLV|1VULN|3DUR|1AEPOI|2CDMG|1AART	129DUR|39CDMG|4VULN|5AEPOI|6AART|7MBVNT|89TLV|9BPWR|aRCR
7	43111 61532	   	276.45	ACR|3TLV|2VULN|2ASPD	1RMIN|2DLOT|369TLV|4RCR|5LIT|79VULN|89ASPD|9BPWR|aRAT
8	63472 74434	 * 	274.91	ACR|DCR|1TLV|1VULN|1DMG|1DUR	1DUR|2MBVNT|3BELT|4MDPS|58RCR|6TLV|7LSRREG|9DMG|aVULN
9	31311 54111	 * 	273.17	ACR|2TLV|3DMG|1VULN|2CDMG	1BELT|26aDMG|3FEWX|4aCDMG|5RCR|7VULN|8ERES|9aTLV|aBPWR
10	43116 33513	 * 	271.49	ACR|DCR|2TLV|1VULN	1RMIN|2DLOT|38TLV|46RCR|5MDPS|7BELT|9VENTOX|aVULN
11	43116 33533	   	271.39	ACR|DCR|2TLV|1VULN	1RMIN|2DLOT|38TLV|46RCR|5MDPS|7BELT|9ERES|aVULN
12	43116 34213	   	271.39	ACR|DCR|2TLV|1VULN	1RMIN|2DLOT|37TLV|46RCR|5MDPS|7BPWR|8AETHUN|9RPLT|aVULN
13	31131 32223	 * 	270.93	DCR|2VULN|1TLV|2DMG|2CDMG|1DUR	1BELT|27DMG|37CDMG|4TLV|59VULN|67LHND|7BPWR|8DUR|aRCR
14	43116 35113	 * 	270.85	ACR|DCR|2TLV|2ASPD|1AART	1RMIN|2DLOT|39TLV|46RCR|5MDPS|7AETHUN|89ASPD|9BPWR|aAART
15	61325 23263	 * 	270.51	DCR|2TLV|2VULN|3DUR|1ASPD	123DUR|47TLV|5BEXP|68VULN|9RCR|aASPD
16	61122 15432	 * 	270.41	DCR|2VULN|1TLV|3DUR|3CDMG|2RAT	124DUR|348CDMG|48BPWR|58RAT|68VULN|7MDPS|9TLV|aRCR
17	61321 23663	   	270.41	DCR|2TLV|2VULN|3DUR|1ASPD	123DUR|47TLV|5DUST|68VULN|9RCR|aASPD
18	26236 21311	 * 	269.69	DCR|2TLV|2VULN|1AEBURN|2CDMG	1BASICY|28VULN|3AEBURN|4LSRICY|58CDMG|6BEXP|78TLV|8BPWR|9MLV|aRCR
19	26236 21331	   	269.69	DCR|2TLV|2VULN|1AEBURN|2CDMG	1BASICY|28VULN|3AEBURN|4LSRICY|58CDMG|6BEXP|78TLV|8BPWR|9AME|aRCR
20	26236 21351	   	269.69	DCR|2TLV|2VULN|1AEBURN|2CDMG	1BASICY|28VULN|3AEBURN|4LSRICY|58CDMG|6BEXP|78TLV|8BPWR|9RMIN|aRCR
21	26333 61311	   	269.69	DCR|2TLV|2VULN|1AEBURN|2CDMG	1BASICY|28VULN|3MULARM|4LWND|58CDMG|6AEBURN|78TLV|8BPWR|9MLV|aRCR
22	26333 61331	   	269.69	DCR|2TLV|2VULN|1AEBURN|2CDMG	1BASICY|28VULN|3MULARM|4LWND|58CDMG|6AEBURN|78TLV|8BPWR|9AME|aRCR
23	26333 61351	   	269.69	DCR|2TLV|2VULN|1AEBURN|2CDMG	1BASICY|28VULN|3MULARM|4LWND|58CDMG|6AEBURN|78TLV|8BPWR|9RMIN|aRCR
24	43111 61531	   	269.51	ACR|3TLV|2VULN|2ASPD	1RMIN|2DLOT|369TLV|4RCR|5aLIT|79VULN|89ASPD|9BPWR
25	64212 32333	   	268.53	DCR|2TLV|2VULN|1DMG|2DUR	18DUR|28VULN|3AAC|4LEGI|5DMG|6BEXP|78TLV|8BPWR|9LWND|aRCR
26	64212 32353	   	268.53	DCR|2TLV|2VULN|1DMG|2DUR	18DUR|28VULN|3AAC|4LEGI|5DMG|6BEXP|78TLV|8BPWR|9LHND|aRCR
27	43116 31133	   	268.50	ACR|DCR|1TLV|1VULN|1ASPD|1DUR	1RMIN|2DLOT|3TLV|46RCR|5MDPS|7LEGI|8ASPD|9DUR|aVULN
