0	Index      	 *	Score 	Summary	Detail	
1	26316 52312	 * 	344.35	ACR|DCR|2TLV|2VULN|2ASPD	1aASPD|28RCR|3FLTARM|4aTLV|5ERES|6DUR|7DMSP|9aVULN|aBPWR
2	26252 15233	 * 	335.79	ACR|DCR|3TLV|2VULN|1ASPD	1ASPD|29RCR|347TLV|56VULN|8ZMB|aCGEN
3	26252 15231	   	335.69	ACR|DCR|3TLV|2VULN|1ASPD	1ASPD|29RCR|347TLV|56VULN|8ZMB|aERES
4	26252 15232	   	335.69	ACR|DCR|3TLV|2VULN|1ASPD	1ASPD|29RCR|347TLV|56VULN|8ZMB|aAEFRZ
5	26252 12116	 * 	335.42	ACR|4VULN|3TLV|2ASPD|1DMG	18ASPD|2RCR|348TLV|5689VULN|7RPLT|8BPWR|aDMG
6	26263 25233	   	331.37	ACR|DCR|2VULN|1TLV|2ASPD|1DMG	18ASPD|29RCR|3TLV|48VULN|5DUR|6DMG|78BEXP|8BPWR|aCGEN
7	26263 25231	   	331.27	ACR|DCR|2VULN|1TLV|2ASPD|1DMG	18ASPD|29RCR|3TLV|48VULN|5DUR|6DMG|78BEXP|8BPWR|aERES
8	26263 25232	   	331.27	ACR|DCR|2VULN|1TLV|2ASPD|1DMG	18ASPD|29RCR|3TLV|48VULN|5DUR|6DMG|78BEXP|8BPWR|aAEFRZ
9	26252 12111	   	325.02	ACR|4VULN|3TLV|2ASPD	18ASPD|2RCR|348TLV|5689VULN|7RPLT|8BPWR|aDUR
10	26252 12161	   	324.03	ACR|3TLV|3VULN|2ASPD|1AEBURN	18ASPD|2RCR|348TLV|568VULN|7RPLT|8BPWR|9AEBURN|aDUR
11	26252 12113	   	322.30	ACR|4VULN|3TLV|2ASPD	18ASPD|2RCR|348TLV|5689VULN|7RPLT|8BPWR|aRAT
12	26252 12163	   	321.31	ACR|3TLV|3VULN|2ASPD|1AEBURN	18ASPD|2RCR|348TLV|568VULN|7RPLT|8BPWR|9AEBURN|aRAT
13	26266 11223	 * 	319.21	ACR|3VULN|1TLV|3DMG|3ASPD	168ASPD|2RCR|3TLV|48aVULN|568DMG|68BPWR|7MDPS|9CGEN
14	26252 12115	   	315.36	ACR|4VULN|3TLV|2ASPD	18ASPD|2RCR|348TLV|5689VULN|7RPLT|8BPWR|aMLV
15	26252 12112	   	315.26	ACR|4VULN|3TLV|2ASPD	18ASPD|2RCR|348TLV|5689VULN|7RPLT|8BPWR|aERES
16	26252 12114	   	315.26	ACR|4VULN|3TLV|2ASPD	18ASPD|2RCR|348TLV|5689VULN|7RPLT|8BPWR|aMBVNT
17	26251 11334	   	315.07	ACR|DCR|2TLV|1VULN|1DMG|1ASPD	1ASPD|29RCR|34TLV|5LWND|6VULN|7DMG|8FEWX|aDUR
18	26252 22116	   	314.37	ACR|3TLV|3VULN|2ASPD|1DMG	18ASPD|2RCR|348TLV|589VULN|6DMSP|7RPLT|8BPWR|aDMG
