0	Index      	 *	Score 	Summary	Detail	
1	61321 36131	 * 	308.96	ACR|DCR|2VULN|1TLV|2AEBURN|2RAT	17VULN|29RCR|3AME|47RAT|57AEBURN|6DLOT|7BPWR|8LIT|aTLV
2	61265 33121	 * 	303.41	ACR|3VULN|2TLV|2DMG|1AART	179VULN|2RCR|37LHND|49TLV|5CGEN|67FEWX|79BPWR|89DMG|aAART
3	61263 33121	   	303.31	ACR|3VULN|2TLV|2DMG|1AART	179VULN|2RCR|37LHND|49TLV|5ERES|67FEWX|79BPWR|89DMG|aAART
4	63663 33121	   	303.31	ACR|3VULN|2TLV|2DMG|1AART	179VULN|27LHND|3RCR|49TLV|5ERES|67FEWX|79BPWR|89DMG|aAART
5	61263 53121	   	303.11	ACR|3VULN|2TLV|2DMG|1AART	179VULN|2RCR|37LHND|49TLV|5ERES|67DUST|79BPWR|89DMG|aAART
6	61321 32131	   	302.25	ACR|DCR|2VULN|1TLV|1AEBURN	17VULN|29RCR|3AME|4RAT|5AEBURN|6DLOT|8LIT|aTLV
7	31141 52334	 * 	301.45	ACR|DCR|2TLV|2VULN	1LWND|28RCR|37VULN|4LIT|5AEFRZ|6AAC|9aTLV
8	31223 52334	   	301.45	ACR|DCR|2TLV|2VULN	1LWND|28RCR|3AEFRZ|47VULN|5LIT|6AAC|9aTLV
9	61131 16412	   	300.93	ACR|2TLV|2VULN|2DMG|1AEFBLL|1ASPD	19VULN|2RCR|3AEFBLL|4ERES|57DMG|6aTLV|8ASPD
10	61126 31153	   	300.93	ACR|2TLV|2VULN|2DMG|2AEFBLL|2RAT	1aVULN|2RCR|34AEFBLL|59RAT|6DLOT|7aTLV|8aDMG|aBPWR
11	61131 51412	   	299.51	ACR|3VULN|1TLV|2DMG|1AEFBLL|1ASPD	169VULN|2RCR|3AEFBLL|4ERES|56DMG|6BPWR|7CGEN|8ASPD|aTLV
12	61263 33125	   	299.24	ACR|3VULN|2TLV|2DMG	179VULN|2RCR|37LHND|49TLV|5ERES|67FEWX|79BPWR|89DMG|aZMB
13	61261 52311	   	299.14	ACR|3VULN|2TLV|2DMG	189VULN|2RCR|3LHND|49TLV|5FEWX|6BEXP|79DMG|9BPWR|aZMB
14	61261 32311	   	299.04	ACR|3VULN|2TLV|2DMG	189VULN|2RCR|3LHND|49TLV|5FEWX|6DUST|79DMG|9BPWR|aZMB
15	61266 22311	   	299.04	ACR|3VULN|2TLV|2DMG	189VULN|2RCR|3LHND|49TLV|5MDPS|6RCVC|79DMG|9BPWR|aZMB
16	63661 32311	   	299.04	ACR|3VULN|2TLV|2DMG	189VULN|2LHND|3RCR|49TLV|5FEWX|6DUST|79DMG|9BPWR|aZMB
17	61131 11412	 * 	296.99	ACR|3TLV|2VULN|1AEFBLL|1DMG|1ASPD	19VULN|2RCR|3AEFBLL|4ERES|5DMG|67aTLV|8ASPD
18	61433 12316	   	295.64	ACR|DCR|2VULN|1TLV|1CDMG	1aVULN|27RCR|3BASHEA|4SPLJET|5CDMG|6ZMB|8ERES|9TLV
19	11131 55342	   	295.31	ACR|DCR|2VULN|1TLV|1AEBURN	1BEXP|28RCR|35VULN|4MDPS|6BELT|7LWND|9AEBURN|aTLV
