0	Index      	 *	Score 	Summary	Detail	
1	63526 42241	 * 	279.71	橙橙2易伤1矿等1暴击	1加一2金币生成3额外掉落4最后敌人57易伤69核8矿等a暴击
2	63526 42242	   	265.96	橙橙2易伤1矿等	1加一2金币生成3额外掉落4最后敌人57易伤69核8矿等a技能点
3	63526 42243	   	265.96	橙橙2易伤1矿等	1加一2金币生成3额外掉落4最后敌人57易伤69核8矿等a爆破对冰
4	63526 42244	   	265.96	橙橙2易伤1矿等	1加一2金币生成3额外掉落4最后敌人57易伤69核8矿等a掉矿
5	62176 33133	   	258.19	橙橙2易伤1平台	1加一2技能3赏金邻近4等级5敌人爆炸6平台7a核89易伤
6	64351 33473	 * 	258.18	橙橙1易伤1伤害1平台	1加一2掉矿3双倍秒伤4伤害5挖尘6a核7平台8时间9易伤
7	62186 33133	   	258.09	橙橙2易伤1平台	1加一2技能3赏金邻近4掉矿5敌人爆炸6平台7a核89易伤
8	23241 33355	   	257.06	橙橙1易伤1矿等1全技能1平台1策反	1平台2雷电3挖青4易伤5矿等6策反7赏金塔8a核9全技能
9	32622 16313	 * 	252.69	紫橙2易伤1攻速1全技能1平台	1敌人爆炸2a易伤3平台47核5基地爆炸6金币生成8攻速9全技能
10	64161 33473	   	251.77	橙橙1易伤1攻速1平台	1加一2掉矿3攻速4双倍秒伤5挖尘6a核7平台8时间9易伤
11	32121 26411	   	251.73	橙橙1易伤1矿等1暴击	14敌人爆炸2易伤3暴击5最后敌人68核7雷电9金币生成a矿等
12	32121 26431	   	251.73	橙橙1易伤1矿等1暴击	14敌人爆炸2易伤3暴击5最后敌人68核7雷电9等级a矿等
13	32124 26411	   	251.73	橙橙1易伤1矿等1暴击	14敌人爆炸2易伤3暴击5低血量敌人68核7雷电9金币生成a矿等
14	32124 26431	   	251.73	橙橙1易伤1矿等1暴击	14敌人爆炸2易伤3暴击5低血量敌人68核7雷电9等级a矿等
15	32235 26411	   	251.73	橙橙1易伤1矿等1暴击	13敌人爆炸2易伤4最后敌人5暴击68核7雷电9金币生成a矿等
16	32235 26431	   	251.73	橙橙1易伤1矿等1暴击	13敌人爆炸2易伤4最后敌人5暴击68核7雷电9等级a矿等
17	31132 26436	   	251.63	橙橙1易伤1矿等1暴击	1敌人爆炸2低血量敌人3暴击4矿等5掉矿68核7雷电9等级a易伤
18	11436 51131	   	251.63	橙橙1易伤1矿等1暴击	1掉矿2敌人爆炸3额外掉落4暴击5矿等6基地爆炸7最后敌人8易伤9a核
19	63523 72241	   	250.80	紫橙2易伤1矿等1暴击	1加一2金币生成3额外掉落4最后敌人59核67易伤8矿等a暴击
20	32463 22231	 * 	250.45	橙3易伤3伤害1攻速1策反	1敌人爆炸28a易伤3攻速456伤害7策反9核
21	23334 53118	   	250.17	橙橙1易伤1伤害1平台	1平台2雷电3敌人爆炸4加一5额外掉落6a核7易伤8金币生成9伤害
22	61731 21163	   	250.07	橙橙1易伤1伤害1平台	1加一2低血量敌人3平台4易伤5伤害6技能点7a核8立即金币9赏金邻近
23	64351 33273	   	249.87	橙橙1易伤1伤害1平台	1加一2掉矿3双倍秒伤4伤害5挖尘6a核7平台8敌人爆炸9易伤
