0	Index      	 *	Score 	Summary	Detail	
1	35321 35263	 * 	311.29	橙橙2易伤2矿等1伤害	13易伤2平台48矿等5激光减费6a核7伤害9技能点
2	35321 35363	   	300.88	橙橙2易伤1伤害1矿等2平台	13易伤28平台4矿等5激光减费6a核7伤害9技能点
3	33112 62365	 * 	296.94	橙5易伤3攻速2伤害	1289a易伤3赏金邻近459攻速6核79伤害9序列升级
4	34225 35233	   	295.78	橙橙2易伤1伤害1矿等	15易伤2随机矿3平台4立即金币6a核7伤害8矿等9激光减费
5	33112 63115	 * 	292.16	橙橙2易伤2攻速1矿等	12易伤3赏金邻近45攻速6a核7加一8矿等9金币生成
6	43322 36521	   	291.72	橙橙1易伤2矿等1伤害	1低血量敌人2易伤3赏金塔4时间57矿等6全技能89核a伤害
7	35321 36263	   	290.99	橙橙2易伤2矿等1策反	13易伤2平台48矿等5激光减费6a核7策反9技能点
8	31343 62382	   	290.45	橙橙2易伤1伤害1攻速	13易伤2金币生成4攻速5伤害6加一7防空对甲8a核9时间
9	33112 62154	   	288.95	橙4易伤3攻速2伤害	129a易伤3赏金邻近459攻速6核79伤害8平台9序列升级
10	33134 41521	   	286.66	橙橙2易伤1伤害	12易伤3赏金邻近4敌人爆炸5全技能6时间7金币生成89核a伤害
11	33134 53521	   	286.66	橙橙2易伤1伤害	12易伤3赏金邻近4敌人爆炸5全技能6金币生成7时间89核a伤害
12	33141 53521	   	286.46	橙橙2易伤1伤害	12易伤3赏金邻近4技能点5挖尘6全技能7时间89核a伤害
13	33322 63515	   	286.12	橙橙2易伤1伤害1矿等	12易伤3双倍矿4赏金塔5矿等6a核7加一8伤害9金币生成
14	33322 63825	   	286.02	橙橙2易伤1伤害1矿等	12易伤3双倍矿4赏金塔5矿等6a核7加一8掉矿9伤害
15	33325 63125	   	286.02	橙橙2易伤1伤害1矿等	12易伤3双倍矿4赏金塔5掉矿6a核7加一8矿等9伤害
16	31343 62342	   	282.14	橙橙2易伤1伤害1攻速	13易伤2金币生成4攻速5伤害6加一7防空对甲8a核9敌人爆炸
17	31343 62352	   	282.14	橙橙2易伤1伤害1攻速	13易伤2金币生成4攻速5伤害6加一7防空对甲8a核9低血量敌人
18	31343 62372	   	282.14	橙橙2易伤1伤害1攻速	13易伤2金币生成4攻速5伤害6加一7防空对甲8a核9最后敌人
19	31343 62742	   	282.14	橙橙2易伤1伤害1攻速	13易伤2金币生成4攻速5伤害6加一7防空对甲8敌人爆炸9a核
20	31343 62142	   	282.04	橙橙2易伤1伤害1攻速	13易伤2金币生成4攻速5伤害6加一7防空对甲8挖尘9a核
21	33134 11526	 * 	281.75	橙橙3易伤	12a易伤3赏金邻近4敌人爆炸5全技能6基地爆炸7金币生成89核
22	33322 66142	   	281.67	橙橙2易伤2矿等	12易伤3双倍矿4赏金塔58矿等6a核7挖尘9金币生成
23	32225 31363	   	281.65	橙橙3易伤	158易伤2技能3平台4立即金币6a核7随机矿9技能点
24	33322 66122	   	281.57	橙橙2易伤2矿等	12易伤3双倍矿4赏金塔58矿等6a核7挖尘9技能点
25	32225 33363	   	281.55	橙橙3易伤	158易伤2技能3平台4立即金币6a核7掉矿9技能点
26	33522 66122	   	281.47	橙橙2易伤2矿等	12易伤3激光减费4赏金塔58矿等6a核7挖尘9技能点
