0	Index      	 *	Score 	Summary	Detail	
1	26262 23163	 * 	309.57	橙橙4易伤1矿等	1矿等2掉矿3678易伤4最后敌人5双倍秒伤9a核
2	14253 11214	 * 	296.59	橙橙2易伤2攻速1暴击	15攻速2暴击3敌人爆炸49易伤6时间7a核8导弹对毒
3	14252 21214	 * 	293.45	橙橙1易伤2矿等2攻速1暴击	18攻速2暴击38敌人爆炸4易伤5掉矿68矿等7a核8序列升级9加农对甲
4	22126 53163	   	289.42	橙橙3易伤1矿等	1矿等2双倍秒伤3掉矿4等级5随机矿678易伤9a核
5	22136 53163	   	289.42	橙橙3易伤1矿等	1矿等2双倍秒伤3掉矿4金币生成5随机矿678易伤9a核
6	22114 53163	   	289.32	橙橙3易伤1矿等	1矿等2双倍秒伤34掉矿5最后敌人678易伤9a核
7	22115 43163	   	289.32	橙橙3易伤1矿等	1矿等2双倍秒伤34掉矿578易伤6低血量敌人9a核
8	22115 51163	   	289.32	橙橙3易伤1矿等	1矿等2双倍秒伤34掉矿568易伤7最后敌人9a核
9	22125 53163	   	289.32	橙橙3易伤1矿等	1矿等2双倍秒伤3掉矿4等级5技能点678易伤9a核
10	22135 53163	   	289.32	橙橙3易伤1矿等	1矿等2双倍秒伤3掉矿4金币生成5技能点678易伤9a核
11	22215 53163	   	289.32	橙橙3易伤1矿等	1矿等2双倍秒伤3随机矿4掉矿5技能点678易伤9a核
12	22111 53163	   	289.22	橙橙3易伤1矿等	1矿等2双倍秒伤34掉矿5挖青678易伤9a核
13	12114 53163	   	285.44	橙橙3易伤1攻速	1攻速2双倍秒伤34掉矿5最后敌人678易伤9a核
14	12115 43163	   	285.44	橙橙3易伤1攻速	1攻速2双倍秒伤34掉矿578易伤6低血量敌人9a核
15	12115 51163	   	285.44	橙橙3易伤1攻速	1攻速2双倍秒伤34掉矿568易伤7最后敌人9a核
16	12125 53163	   	285.44	橙橙3易伤1攻速	1攻速2双倍秒伤3掉矿4等级5技能点678易伤9a核
17	12135 53163	   	285.44	橙橙3易伤1攻速	1攻速2双倍秒伤3掉矿4金币生成5技能点678易伤9a核
18	12111 53163	   	285.34	橙橙3易伤1攻速	1攻速2双倍秒伤34掉矿5挖青678易伤9a核
19	14251 11214	   	284.13	橙橙2易伤1攻速1暴击	1攻速2暴击3敌人爆炸49易伤5双倍矿6时间7a核8导弹对毒
20	16325 31214	   	282.69	橙橙2易伤2攻速1卖塔	18攻速28掉矿3时间4金币生成5卖塔68易伤7a核8序列升级9加农对甲
