0	Index      	 *	Score 	Summary	Detail	
1	35221 21253	 * 	198.97	橙3易伤3伤害1全技能1暴击	167易伤2加农对壮347金币生成567伤害67序列升级8暴击9全技能a核
2	15114 22223	 * 	198.72	橙3易伤2伤害1全技能3时间	1立即金币2a伤害3平台45a易伤6全技能7核89a时间a序列升级
3	15334 23631	 * 	198.37	橙4易伤2伤害1全技能	1立即金币28伤害3金币生成459a易伤6核7全技能
4	15234 23631	   	198.27	橙4易伤2伤害1全技能	1立即金币28伤害3等级459a易伤6核7全技能
5	15114 22533	   	196.77	橙4易伤2伤害1全技能	1立即金币2a伤害3平台459a易伤6全技能7核8a最后敌人a序列升级
6	15114 22633	   	196.57	橙4易伤2伤害1全技能	1立即金币2a伤害3平台459a易伤6全技能7核8a挖尘a序列升级
7	15334 23633	 * 	195.72	橙3易伤2伤害2全技能	1立即金币28伤害3金币生成459易伤6核7a全技能
8	15234 23633	   	195.62	橙3易伤2伤害2全技能	1立即金币28伤害3等级459易伤6核7a全技能
9	15334 23134	 * 	194.44	橙4易伤1全技能1伤害1暴击	1立即金币2伤害3金币生成4589易伤6核7全技能a暴击
10	15234 23134	   	194.34	橙4易伤1全技能1伤害1暴击	1立即金币2伤害3等级4589易伤6核7全技能a暴击
11	33334 23623	   	194.27	橙4易伤2伤害1全技能	135a易伤2核弹3a序列升级4a掉矿6核7全技能8a伤害9平台
12	33363 23623	   	194.27	橙4易伤2伤害1全技能	134a易伤2核弹3a序列升级5a掉矿6核7全技能8a伤害9平台
13	15334 23131	 * 	193.61	橙5易伤1全技能1伤害	1立即金币2伤害3金币生成4589a易伤6核7全技能
14	15234 23131	   	193.51	橙5易伤1全技能1伤害	1立即金币2伤害3等级4589a易伤6核7全技能
15	15534 23131	   	193.51	橙5易伤1全技能1伤害	1立即金币2伤害3掉矿4589a易伤6核7全技能
16	15334 23133	 * 	192.23	橙4易伤2全技能1伤害	1立即金币2伤害3金币生成4589易伤6核7a全技能
17	15234 23133	   	192.13	橙4易伤2全技能1伤害	1立即金币2伤害3等级4589易伤6核7a全技能
18	15534 23133	   	192.13	橙4易伤2全技能1伤害	1立即金币2伤害3掉矿4589易伤6核7a全技能
19	35532 63232	 * 	190.75	橙5易伤3伤害	13568易伤2加农对壮48基地爆炸78a伤害8序列升级9核
20	14312 22523	 * 	189.25	紫2易伤2伤害1全技能2攻速1策反1卖塔	1立即金币2卖塔3a易伤4a攻速5核6全技能7策反8挖尘9a伤害a序列升级
21	35412 53113	 * 	188.10	紫4易伤1全技能1伤害1策反	158a易伤2加农对壮3全技能4核6额外掉落7伤害9策反
22	15334 23116	   	187.72	橙4易伤1全技能1伤害1时间	1立即金币2伤害3金币生成458a易伤6核7全技能9时间
23	15334 23136	   	187.72	橙4易伤1全技能1伤害1时间	1立即金币2伤害3金币生成4589易伤6核7全技能a时间
24	35412 53111	 * 	187.65	紫3易伤1全技能1伤害1暴击1策反	158易伤2加农对壮3全技能4核6额外掉落7伤害9策反a暴击
25	15234 23116	   	187.62	橙4易伤1全技能1伤害1时间	1立即金币2伤害3等级458a易伤6核7全技能9时间
26	15234 23136	   	187.62	橙4易伤1全技能1伤害1时间	1立即金币2伤害3等级4589易伤6核7全技能a时间
27	31152 63242	   	186.42	橙4易伤3伤害1策反	1478易伤28挖尘3基地爆炸5策反689伤害8序列升级a核
28	35532 63233	   	186.10	橙5易伤2伤害1策反	13568易伤2加农对壮48基地爆炸78伤害8序列升级9核a策反
29	15334 23632	   	184.27	橙3易伤2伤害1全技能	1立即金币28伤害3金币生成459易伤6核7全技能a最后敌人
30	15234 23632	   	184.17	橙3易伤2伤害1全技能	1立即金币28伤害3等级459易伤6核7全技能a最后敌人
31	15233 23631	   	184.07	橙3易伤2伤害1全技能	1立即金币28伤害35等级49a易伤6核7全技能
32	15233 23453	 * 	183.47	橙2易伤2伤害1全技能2策反	1立即金币2a伤害35等级4a易伤6核7全技能8平台9a策反a序列升级
33	35221 23253	   	183.12	橙3伤害2易伤1全技能1暴击	16易伤2加农对壮34金币生成567伤害6序列升级8暴击9全技能a核
34	15114 22343	   	182.67	橙3易伤2伤害1全技能	1立即金币2a伤害3平台45a易伤6全技能7核8双倍矿9a基地爆炸a序列升级
35	15114 22363	   	182.47	橙3易伤2伤害1全技能	1立即金币2a伤害3平台45a易伤6全技能7核8双倍矿9a挖尘a序列升级
36	15233 23634	   	182.07	橙2易伤2伤害1全技能1暴击	1立即金币28伤害35等级49易伤6核7全技能a暴击
37	35532 63231	   	182.03	橙5易伤2伤害1攻速	13568易伤2加农对壮48基地爆炸78伤害8序列升级9核a攻速
38	15334 23125	   	180.79	橙4易伤1全技能1伤害	1立即金币2伤害3金币生成458a易伤6核7全技能9平台
39	15334 23132	   	180.79	橙4易伤1全技能1伤害	1立即金币2伤害3金币生成4589易伤6核7全技能a最后敌人
40	15334 23161	   	180.79	橙4易伤1全技能1伤害	1立即金币2伤害3金币生成458a易伤6核7全技能9双倍矿
41	15234 23124	   	180.69	橙4易伤1全技能1伤害	1立即金币2伤害3等级458a易伤6核7全技能9平台
42	15234 23132	   	180.69	橙4易伤1全技能1伤害	1立即金币2伤害3等级4589易伤6核7全技能a最后敌人
43	15234 23161	   	180.69	橙4易伤1全技能1伤害	1立即金币2伤害3等级458a易伤6核7全技能9双倍矿
44	15334 23135	   	180.69	橙4易伤1全技能1伤害	1立即金币2伤害3金币生成4589易伤6核7全技能a掉矿
45	15334 23216	   	180.69	橙4易伤1全技能1伤害	1立即金币2伤害3金币生成459a易伤6核7全技能8掉矿
46	15534 23123	   	180.69	橙4易伤1全技能1伤害	1立即金币2伤害3掉矿458a易伤6核7全技能9平台
47	15534 23132	   	180.69	橙4易伤1全技能1伤害	1立即金币2伤害3掉矿4589易伤6核7全技能a最后敌人
48	15233 23131	   	180.59	橙4易伤1全技能1伤害	1立即金币2伤害35等级489a易伤6核7全技能
49	15234 23135	   	180.59	橙4易伤1全技能1伤害	1立即金币2伤害3等级4589易伤6核7全技能a掉矿
50	15534 23231	   	180.59	橙4易伤1全技能1伤害	1立即金币2伤害38掉矿459a易伤6核7全技能
51	33343 23623	   	180.17	橙3易伤2伤害1全技能	13a易伤2核弹3a序列升级4双倍矿5a掉矿6核7全技能8a伤害9平台
52	15233 23134	   	180.13	橙3易伤1全技能1伤害1暴击	1立即金币2伤害35等级489易伤6核7全技能a暴击
53	31152 63251	   	180.11	橙4易伤2伤害1策反1时间	1478易伤28挖尘3基地爆炸5策反68伤害8序列升级9核a时间
54	33334 23652	   	180.07	橙3易伤2伤害1全技能	135易伤2核弹3序列升级4掉矿6核7全技能8a伤害9雷电
55	33363 23652	   	180.07	橙3易伤2伤害1全技能	134易伤2核弹3序列升级5掉矿6核7全技能8a伤害9雷电
