0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65332 11232	9	 * 	278.61	橙5易伤2等级1伤害	1立即金币23457易伤459序列升级69等级8核a伤害
2	65332 11216	8	   	274.80	橙5易伤2等级1时间	1立即金币23457易伤45序列升级69等级8核a时间
3	65332 11121	7	   	273.25	橙5易伤1等级1伤害1暴击	1立即金币23457易伤45序列升级6等级8暴击9核a伤害
4	65332 11211	8	   	272.20	橙5易伤2等级1暴击	1立即金币23457易伤45序列升级69等级8核a暴击
5	65332 11126	7	   	269.43	橙5易伤1等级1时间1暴击	1立即金币23457易伤45序列升级6等级8暴击9核a时间
6	65332 11225	8	   	269.43	橙5易伤1等级1时间1暴击	1立即金币23457易伤45序列升级6等级8核9时间a暴击
7	65332 11213	8	   	268.21	橙5易伤2等级1全技能	1立即金币23457易伤45序列升级69等级8核a全技能
8	65332 11133	9	   	267.90	橙5易伤1等级1伤害	1立即金币23457易伤45序列升级6等级8伤害9雷电a核
9	65332 11134	10	   	267.90	橙5易伤1等级1伤害	1立即金币23457易伤45序列升级6等级8伤害9雷电a核
10	65332 11231	10	   	266.85	橙5易伤2等级	1立即金币23457易伤459序列升级69等级8核a雷电
11	65332 11235	9	   	266.85	橙5易伤2等级	1立即金币23457易伤459序列升级69等级8核a攻速
12	66331 11324	5	 * 	265.35	橙4易伤3时间1等级	1立即金币246时间3468易伤46序列升级5加一7基地爆炸9等级a核
13	66331 11534	5	   	265.35	橙4易伤3时间1等级	1立即金币246时间3469易伤46序列升级5加一7基地爆炸8等级a核
14	22324 43226	9	   	264.96	橙4易伤2等级1时间	1a低血量敌人2金币生成368a易伤4时间5雷电7a等级9核a序列升级
15	15324 31226	9	   	264.76	橙4易伤2等级1时间	1a挖尘2金币生成378a易伤4时间5雷电6a等级9核a序列升级
16	16334 31226	9	   	264.76	橙4易伤2等级1时间	1a挖尘2时间378a易伤4金币生成5雷电6a等级9核a序列升级
17	61333 12562	6	 * 	263.51	橙3易伤2等级3时间	1立即金币249基地爆炸34a易伤49序列升级59等级679时间8核
18	66332 36322	4	   	260.43	橙4易伤2时间1等级	1立即金币24时间3469易伤4序列升级5双倍矿7雷电8核a等级
19	65332 11211	9	   	259.60	橙5易伤1等级1伤害	1立即金币23457易伤45序列升级6等级8核9金币生成a伤害
20	65332 11241	9	   	259.60	橙5易伤1等级1伤害	1立即金币23457易伤45序列升级6等级8核9随机矿a伤害
21	65332 11125	7	 * 	259.50	橙5易伤1等级2暴击	1立即金币23457易伤45序列升级6等级8a暴击9核
