0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33315 33622	7	 * 	271.50	橙3易伤3伤害3时间	1平台247时间3立即金币57a易伤67a伤害7a序列升级8赏金塔9核
2	32226 12252	4	 * 	268.60	紫4易伤3伤害1等级3暴击	1平台289暴击3基地爆炸4核589伤害6789易伤89序列升级a等级
3	11122 22151	3	 * 	263.47	橙4易伤2伤害2时间	19掉矿279a易伤38伤害4基地爆炸59时间6核9序列升级
4	11142 22151	4	   	263.37	橙4易伤2伤害2时间	19掉矿279a易伤38伤害4挖尘59时间6核9序列升级
5	33324 33526	1	 * 	262.26	橙4易伤2等级1暴击	1平台2矿等35等级459a易伤5序列升级6暴击7核8雷电
6	33324 33561	1	 * 	261.27	橙3易伤2等级1伤害1暴击	1平台2矿等35等级45a易伤5序列升级6暴击7核8雷电9伤害
7	11134 23526	10	 * 	259.01	橙2易伤2等级2时间1伤害1暴击	1掉矿29易伤3伤害4暴击59时间6策反7挖青89等级9序列升级a核
8	33614 23225	9	 * 	257.68	橙2易伤2伤害2时间1等级1暴击	1平台28时间38伤害4暴击5随机矿6挖尘78易伤8序列升级9等级a核
9	11162 41122	10	 * 	257.40	橙4易伤1等级1伤害1时间	1掉矿2578易伤3伤害4金币生成6等级9核a时间
10	13232 54121	9	   	257.40	橙4易伤1等级1伤害1时间	1掉矿2金币生成3伤害4时间567a易伤8等级9核
11	43321 16621	6	 * 	257.00	橙3易伤2等级2伤害	17基地爆炸2额外掉落3立即金币457易伤67等级7序列升级89伤害a核
12	33641 31335	6	   	256.87	橙2易伤2等级2伤害1时间	1平台2时间3a伤害4金币生成5雷电6a等级7低血量敌人8核9a易伤a序列升级
13	33641 32335	7	   	256.87	橙2易伤2等级2伤害1时间	1平台2时间3a伤害4金币生成5雷电6a等级7最后敌人8核9a易伤a序列升级
14	11216 61221	9	   	256.45	橙4易伤2等级1时间	18掉矿248a易伤3基地爆炸5立即金币6时间78等级8序列升级9核
15	11616 61221	9	   	256.45	橙4易伤2等级1时间	18掉矿248a易伤3敌人爆炸5立即金币6时间78等级8序列升级9核
16	11212 61225	9	   	256.35	橙4易伤2等级1时间	158掉矿2489易伤3基地爆炸6时间78等级8序列升级a核
17	11212 61255	8	   	256.35	橙4易伤2等级1时间	158掉矿2489易伤3基地爆炸6时间78等级8序列升级a核
18	11612 61225	9	   	256.35	橙4易伤2等级1时间	158掉矿2489易伤3敌人爆炸6时间78等级8序列升级a核
19	33613 12235	5	   	256.27	橙3易伤2伤害2时间1暴击	1平台28时间38伤害4暴击5低血量敌人678易伤8序列升级9敌人爆炸a核
20	33613 62235	6	   	256.27	橙3易伤2伤害2时间1暴击	1平台28时间38伤害4暴击5低血量敌人678易伤8序列升级9敌人爆炸a核
21	33622 12235	5	   	256.27	橙3易伤2伤害2时间1暴击	1平台28时间38伤害4最后敌人5暴击678易伤8序列升级9敌人爆炸a核
