0	Index      	 *	Score 	Summary	Detail	
1	22412 11356	 * 	311.14	橙橙1易伤1矿等1伤害1技能1攻速	1矿等2时间3易伤4敌人爆炸5伤害6随机技能7技能8a核9攻速
2	22411 61621	 * 	291.33	橙橙2矿等1易伤1攻速	19矿等2时间3易伤4敌人爆炸5双倍秒伤6攻速7a核8平台
3	22411 62121	   	291.33	橙橙2矿等1易伤1攻速	19矿等2时间3易伤4敌人爆炸5双倍秒伤6攻速7平台8a核
4	22461 62121	   	291.33	橙橙2矿等1易伤1攻速	19矿等2时间3易伤4低血量敌人5双倍秒伤6攻速7平台8a核
5	26322 65121	 * 	290.73	橙橙2易伤1矿等1伤害	1矿等2低血量敌人3平台4双倍秒伤5伤害6最后敌人79易伤8a核
6	12545 22447	 * 	289.91	橙橙2易伤2技能2随机技能	18随机技能26技能3加一478掉矿58易伤8序列升级9a核
7	26322 13121	   	286.84	橙橙2矿等1易伤1伤害	19矿等2低血量敌人3平台4双倍秒伤5伤害6易伤7敌人爆炸8a核
8	26322 16121	   	286.74	橙橙2矿等1易伤1伤害	19矿等2低血量敌人3平台4双倍秒伤5伤害6易伤7基地爆炸8a核
9	26322 35121	   	286.74	橙橙2矿等1易伤1伤害	19矿等2低血量敌人3平台4双倍秒伤5伤害6基地爆炸7易伤8a核
10	32412 11356	   	284.84	橙橙1易伤1伤害1技能1攻速	1掉矿2时间3易伤4敌人爆炸5伤害6随机技能7技能8a核9攻速
11	22431 11542	 * 	283.63	橙2易伤2矿等1等级1伤害1攻速	1a矿等2时间39易伤4金币生成5伤害6等级7攻速8核
12	26411 62121	   	283.02	橙橙2矿等1易伤1攻速	19矿等2低血量敌人3易伤4敌人爆炸5双倍秒伤6攻速7平台8a核
13	66323 13121	   	283.02	橙橙2矿等1易伤1攻速	1最后敌人2攻速3平台4双倍秒伤59矿等6易伤7敌人爆炸8a核
14	66323 16121	   	282.92	橙橙2矿等1易伤1攻速	1最后敌人2攻速3平台4双倍秒伤59矿等6易伤7基地爆炸8a核
15	66323 35121	   	282.92	橙橙2矿等1易伤1攻速	1最后敌人2攻速3平台4双倍秒伤59矿等6基地爆炸7易伤8a核
16	11313 15516	   	281.20	橙橙2易伤1攻速1暴击	1随机技能2狙击对黄3攻速46易伤5平台7a核8暴击9加一
