0	Index      	 *	Score 	Summary	Detail	
1	16135 42448	 * 	196.56	DCR|2AART|2DMG|1VULN|2ASPD|2DUR|1ZMB	15AART|2MBVNT|38ASPD|48DMG|68DUR|7RCR|8BPWR|9VULN|aZMB
2	42533 22362	 * 	195.92	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1ERES|2ZMB|3RCR|4DUR|59DMG|6CDMG|7aVULN|8AART
3	16135 42417	 * 	194.80	DCR|3DMG|2AART|2ASPD|1CDMG|2DUR	15AART|2MBVNT|38ASPD|48aDMG|68DUR|7RCR|8BPWR|9CDMG
4	16746 13213	 * 	194.23	DCR|3VULN|2DMG|1AART|2FLTHEA	1AART|2MBVNT|37DMG|4DUST|57FLTHEA|679VULN|7BPWR|8MLV|aRCR
5	16746 13413	   	194.23	DCR|3VULN|2DMG|1AART|2FLTHEA	1AART|2MBVNT|37DMG|4DUST|57FLTHEA|679VULN|7BPWR|8CGEN|aRCR
6	16717 41242	 * 	192.72	DCR|3VULN|2DMG|1AART|1CDMG	1AART|2MBVNT|39DMG|49CGEN|5CDMG|6DUST|79aVULN|8RCR|9BPWR
7	42524 12221	 * 	192.09	ACR|3VULN|3ZMB|1AART|1DMG	1ERES|257ZMB|3RCR|45aVULN|5BPWR|6AART|8LWND|9DMG
8	16135 42442	 * 	191.87	DCR|2AART|2DMG|1VULN|3ASPD|2DUR	15AART|2MBVNT|38aASPD|48DMG|68DUR|7RCR|8BPWR|9VULN
9	16135 62443	 * 	190.91	DCR|2AART|2DMG|2VULN|2ASPD	15AART|2MBVNT|38ASPD|48DMG|68LWND|7RCR|8BPWR|9aVULN
10	16135 32443	   	190.71	DCR|2AART|2DMG|2VULN|2ASPD	15AART|2MBVNT|38ASPD|48DMG|6LEGI|7RCR|8BPWR|9aVULN
11	16717 12211	 * 	190.42	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1AART|2MBVNT|3aDMG|4CGEN|5aCDMG|6LHND|7DUR|8RCR|9aVULN|aBPWR
12	16717 42211	   	190.32	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1AART|2MBVNT|3aDMG|4CGEN|5aCDMG|6DUST|7DUR|8RCR|9aVULN|aBPWR
13	23223 15216	   	189.67	DCR|3VULN|2DMG|1AART|1ZMB	17FEWX|28BEXP|347VULN|57DMG|6RCR|7BPWR|9ZMB|aAART
14	16135 42441	 * 	189.37	DCR|2AART|2DMG|1VULN|3DUR|2ASPD	15AART|2MBVNT|38ASPD|48DMG|68aDUR|7RCR|8BPWR|9VULN
15	16717 41244	 * 	188.51	DCR|2AART|2DMG|2VULN|1CDMG	1aAART|2MBVNT|39DMG|49CGEN|5CDMG|6DUST|79VULN|8RCR|9BPWR
16	16734 42464	 * 	187.56	DCR|3DMG|2AART|1VULN|2DUR	19AART|2MBVNT|348DMG|5RMIN|68DUR|7RCR|8BPWR|aVULN
17	16734 42441	   	187.12	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	1AART|2MBVNT|348DMG|5RMIN|68DUR|7RCR|8BPWR|9ZMB|aVULN
18	16738 22441	   	187.12	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	1AART|2MBVNT|348DMG|58DUR|6RMIN|7RCR|8BPWR|9ZMB|aVULN
19	16135 62444	 * 	186.97	DCR|2AART|2DMG|1VULN|2ASPD|1CDMG	15AART|2MBVNT|38ASPD|48DMG|68LWND|7RCR|8BPWR|9VULN|aCDMG
20	16135 32444	   	186.77	DCR|2AART|2DMG|1VULN|2ASPD|1CDMG	15AART|2MBVNT|38ASPD|48DMG|6LEGI|7RCR|8BPWR|9VULN|aCDMG
21	52533 43233	 * 	186.75	ACR|2DMG|2AART|1VULN|3DUR|1ZMB	18CGEN|2ZMB|3RCR|489DUR|58DMG|67AART|8BPWR|aVULN
22	42533 43233	   	186.55	ACR|2DMG|2AART|1VULN|3DUR|1ZMB	18ERES|2ZMB|3RCR|489DUR|58DMG|67AART|8BPWR|aVULN
23	12416 22211	 * 	186.11	DCR|3DMG|2VULN|1AART|1DUR	1AART|2RPLT|3aLWND|46aDMG|5TLV|7DUR|8RCR|9aVULN|aBPWR
24	12243 21212	   	186.01	DCR|3VULN|2DMG|1AART|1DUR	1AART|2RPLT|3CGEN|4DUR|56DMG|79aVULN|8RCR
25	12316 22211	   	185.91	DCR|3DMG|2VULN|1AART|1DUR	1AART|2RPLT|3aDUST|46aDMG|5TLV|7DUR|8RCR|9aVULN|aBPWR
26	23223 15515	   	185.61	DCR|3VULN|2DMG|1AART|1ASPD	178FEWX|2BEXP|347VULN|57DMG|6RCR|7BPWR|9ASPD|aAART
27	16135 42424	   	185.56	DCR|2AART|2DMG|1VULN|2ASPD|2DUR	15AART|2MBVNT|38ASPD|48DMG|68DUR|7RCR|8BPWR|9BELT|aVULN
