0	Index      	 *	Score 	Summary	Detail	
1	46622 22223	 * 	214.97	DCR|3VULN|2DMG|1AART|2ASPD|1CDMG|1ZMB	16ASPD|2CDMG|358VULN|46DMG|6BPWR|7RCR|9AART|aZMB
2	42652 22223	 * 	208.57	DCR|4VULN|2DMG|1AART|1ZMB|1SELL	1ASPD|26DMG|3SELL|4568VULN|6BPWR|7RCR|9AART|aZMB
3	54622 22223	 * 	208.57	DCR|4VULN|2DMG|1AART|1ZMB|1SELL	1SELL|2ASPD|3568VULN|46DMG|6BPWR|7RCR|9AART|aZMB
4	46622 22221	   	203.87	DCR|3VULN|2DMG|1AART|1CDMG|2ASPD	16ASPD|2CDMG|358VULN|46DMG|6BPWR|7RCR|9AART|aLEGI
5	46622 22222	   	203.87	DCR|3VULN|2DMG|1AART|2ASPD|1CDMG	16ASPD|2CDMG|358VULN|46DMG|6BPWR|7RCR|9AART|aTLV
6	46622 22131	   	199.92	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG|1ZMB	16ASPD|2CDMG|35VULN|46DMG|6BPWR|7RCR|8AART|9ZMB|aLIT
7	46622 22132	   	199.92	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD|1ZMB	16ASPD|2CDMG|35VULN|46DMG|6BPWR|7RCR|8AART|9ZMB|aCGEN
8	14317 26131	 * 	199.25	DCR|3VULN|3DMG|1AART|2DUR	18DUR|2RMIN|3MBVNT|478DMG|589VULN|6AART|8BPWR|aRCR
9	42652 22221	 * 	197.46	DCR|4VULN|2DMG|1AART|1SELL	1ASPD|26DMG|3SELL|4568VULN|6BPWR|7RCR|9AART|aLEGI
10	42652 22222	 * 	197.46	DCR|4VULN|2DMG|1AART|1SELL	1ASPD|26DMG|3SELL|4568VULN|6BPWR|7RCR|9AART|aTLV
11	54622 22221	 * 	197.46	DCR|4VULN|2DMG|1AART|1SELL	1SELL|2ASPD|3568VULN|46DMG|6BPWR|7RCR|9AART|aLEGI
12	54622 22222	 * 	197.46	DCR|4VULN|2DMG|1AART|1SELL	1SELL|2ASPD|3568VULN|46DMG|6BPWR|7RCR|9AART|aTLV
13	42652 22131	   	195.06	DCR|3VULN|2DMG|1AART|1ZMB|1SELL	1ASPD|26DMG|3SELL|456VULN|6BPWR|7RCR|8AART|9ZMB|aLIT
14	42652 22132	   	195.06	DCR|3VULN|2DMG|1AART|1ZMB|1SELL	1ASPD|26DMG|3SELL|456VULN|6BPWR|7RCR|8AART|9ZMB|aCGEN
15	54622 22131	   	195.06	DCR|3VULN|2DMG|1AART|1ZMB|1SELL	1SELL|2ASPD|356VULN|46DMG|6BPWR|7RCR|8AART|9ZMB|aLIT
16	54622 22132	   	195.06	DCR|3VULN|2DMG|1AART|1ZMB|1SELL	1SELL|2ASPD|356VULN|46DMG|6BPWR|7RCR|8AART|9ZMB|aCGEN
17	12243 24161	   	192.06	DCR|3VULN|3DMG|1AART	1DUR|246VULN|367DMG|5RMIN|6BPWR|8MBVNT|9AART|aRCR
18	12216 24161	   	191.96	DCR|3VULN|3DMG|1AART	1DUR|256VULN|367DMG|4NUKE|6BPWR|8MBVNT|9AART|aRCR
19	12243 25361	   	191.11	DCR|3VULN|2DMG|1AART|1ZMB	1DUR|246VULN|36DMG|5RMIN|6BPWR|7AART|8MLV|9RCR|aZMB
20	46622 22212	   	191.07	DCR|3VULN|2DMG|2ASPD|1CDMG|1ZMB	16ASPD|2CDMG|358VULN|46DMG|6BPWR|7RCR|9TLV|aZMB
21	12243 25261	   	191.01	DCR|3VULN|2DMG|1AART|1ZMB	1DUR|246VULN|36DMG|5RMIN|6BPWR|7AART|8ERES|9RCR|aZMB
22	53252 22226	 * 	190.36	DCR|5VULN|1AART|2ASPD|1ZMB|1SELL	1SELL|2ZMB|36ASPD|4568aVULN|6BPWR|7RCR|9AART
23	53622 22226	 * 	190.36	DCR|5VULN|1AART|2ASPD|1ZMB|1SELL	1SELL|2ZMB|3568aVULN|46ASPD|6BPWR|7RCR|9AART
24	56311 24331	 * 	190.16	DCR|3VULN|2DMG|3ZMB|1CDMG|1SELL	1SELL|2RPLT|3DMSP|468VULN|568ZMB|68BPWR|78DMG|9RCR|aCDMG
25	14317 23148	 * 	189.82	DCR|3VULN|2DMG|1AART|3DUR	178DUR|2RMIN|3MBVNT|48DMG|58aVULN|6AART|8BPWR|9RCR
26	46622 22112	   	188.91	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	16ASPD|2CDMG|35VULN|46DMG|6BPWR|7RCR|8AART|9LWND|aMLV
27	46622 22113	   	188.91	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	16ASPD|2CDMG|35VULN|46DMG|6BPWR|7RCR|8AART|9aLWND
28	46622 22121	   	188.91	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	16ASPD|2CDMG|35VULN|46DMG|6BPWR|7RCR|8AART|9RMIN|aLIT
29	46622 22122	   	188.91	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	16ASPD|2CDMG|35VULN|46DMG|6BPWR|7RCR|8AART|9RMIN|aCGEN
30	46622 22111	   	188.67	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD|1SELL	16ASPD|2CDMG|35VULN|46DMG|6BPWR|7RCR|8AART|9LWND|aSELL
31	14317 23143	   	187.81	DCR|2VULN|2DMG|1AART|3DUR|1CDMG	178DUR|2RMIN|3MBVNT|48DMG|58VULN|6AART|8BPWR|9RCR|aCDMG
32	34313 76131	   	187.62	DCR|3VULN|3DMG|1AART	18BEXP|2RMIN|3MBVNT|478DMG|5AART|689VULN|8BPWR|aRCR
33	34317 26131	   	187.02	DCR|3VULN|3DMG|1AART	18BEXP|2RMIN|3MBVNT|478DMG|589VULN|6AART|8BPWR|aRCR
34	34318 28131	   	187.02	DCR|3VULN|3DMG|1AART	18BEXP|2RMIN|3MBVNT|458DMG|6AART|789VULN|8BPWR|aRCR
35	24317 26131	   	186.82	DCR|3VULN|3DMG|1AART	18DUST|2RMIN|3MBVNT|478DMG|589VULN|6AART|8BPWR|aRCR
36	24318 28131	   	186.82	DCR|3VULN|3DMG|1AART	18DUST|2RMIN|3MBVNT|458DMG|6AART|789VULN|8BPWR|aRCR
37	32243 24161	   	185.12	DCR|3VULN|3DMG|1AART	1BEXP|246VULN|367DMG|5RMIN|6BPWR|8MBVNT|9AART|aRCR
38	22243 24161	   	185.02	DCR|3VULN|3DMG|1AART	1DUST|246VULN|367DMG|5RMIN|6BPWR|8MBVNT|9AART|aRCR
39	32216 24161	   	185.02	DCR|3VULN|3DMG|1AART	1BEXP|256VULN|367DMG|4NUKE|6BPWR|8MBVNT|9AART|aRCR
