0	Index      	 *	Score 	Summary	Detail	
1	22355 22152	 * 	207.49	DCR|3DMG|2VULN|1AART|2CDMG|2ZMB	18ZMB|25VULN|358DMG|4AART|58BPWR|68CDMG|7DMSP|9DUST|aRCR
2	22355 16132	   	201.00	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	1ZMB|25VULN|35DMG|4AART|5BPWR|6MLV|7RCR|89DUR|aCDMG
3	22355 31418	   	199.76	DCR|3DMG|2VULN|1AART|2ZMB|2DUR	18ZMB|25VULN|358DMG|4AART|58BPWR|68DUR|7MBVNT|9FEWX|aRCR
4	52356 33332	 * 	196.55	DCR|2VULN|2DMG|2AART|1CDMG|1DUR	13DMG|25VULN|4DUR|6RCR|79AART|8DUST|aCDMG
5	22355 16222	   	194.62	DCR|3DMG|2VULN|1AART|2ZMB	1aZMB|25VULN|35aDMG|4AART|5aBPWR|6MLV|7RCR|8LIT|9aERES
6	52141 53332	 * 	194.57	ACR|2VULN|2DMG|2AART|1CDMG|1DUR	16DMG|25VULN|3DUR|4RCR|79AART|8DUST|aCDMG
7	22355 32241	   	190.51	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1ZMB|25VULN|359DMG|4AART|5BPWR|6DUR|7LIT|8FEWX|aRCR
8	52356 33232	   	190.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	13DMG|25VULN|49DUR|6RCR|7AART|8LHND|aCDMG
9	22355 31146	   	190.31	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1ZMB|25VULN|35DMG|4AART|5BPWR|6DUR|7MBVNT|8RCVC|9CDMG|aRCR
10	52642 23122	   	189.99	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|27VULN|37LHND|4RCR|5RMIN|6AART|7BPWR|8RCVC|9ZMB|aCDMG
11	22141 34635	 * 	189.99	ACR|3VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|258VULN|3DUR|4RCR|6MBVNT|79AART|aDMG
12	22355 22121	 * 	189.31	3VULN|3DMG|3ZMB|1AART|3CDMG	189ZMB|259VULN|358DMG|4AART|589BPWR|689CDMG|7DMSP|aFEWX
13	22355 22122	   	189.31	3VULN|3DMG|3ZMB|1AART|3CDMG	189ZMB|259VULN|358DMG|4AART|589BPWR|689CDMG|7DMSP|aCGEN
14	22355 22124	   	189.31	3VULN|3DMG|3ZMB|1AART|3CDMG	189ZMB|259VULN|358DMG|4AART|589BPWR|689CDMG|7DMSP|aLHND
15	22355 22126	   	189.31	3VULN|3DMG|3ZMB|1AART|3CDMG	189ZMB|259VULN|358DMG|4AART|589BPWR|689CDMG|7DMSP|aBELT
16	22355 22123	   	189.21	3VULN|3DMG|3ZMB|1AART|3CDMG	189ZMB|259VULN|358DMG|4AART|589BPWR|689CDMG|7DMSP|aCANSTR
17	22355 16121	   	188.99	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD|1DUR	1ZMB|25VULN|35DMG|4AART|5BPWR|6MLV|7RCR|8DUR|9BEXP|aASPD
18	22355 16331	   	188.99	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD|1DUR	1ZMB|25VULN|35DMG|4AART|5BPWR|6MLV|7RCR|8FEWX|9DUR|aASPD
19	52356 32223	 * 	188.86	DCR|3VULN|3DMG|1ZMB|1DUR	137DMG|25aVULN|4DUR|6RCR|8LIT|9ZMB
20	22355 16131	   	188.65	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1ZMB|25VULN|35DMG|4AART|5BPWR|6MLV|7RCR|89DUR|aRCVC
21	52141 53232	   	188.52	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	16DMG|25VULN|39DUR|4RCR|7AART|8LHND|aCDMG
22	22115 31221	 * 	188.47	DCR|3VULN|2DMG|2CDMG|1ZMB|1DUR	1ZMB|26aVULN|3DUR|4BEXP|5aDMG|7AIRHEL|8RCR|9aCDMG|aBPWR
23	22121 51621	   	188.37	DCR|3VULN|2DMG|2CDMG|1ZMB|1DUR	1ZMB|25aVULN|3DUR|4DUST|6aDMG|7AIRHEL|8RCR|9aCDMG|aBPWR
24	52356 33123	   	187.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	13DMG|25VULN|48DUR|6RCR|7AART|9LIT|aZMB
25	22355 21612	   	187.72	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	1aZMB|25VULN|35DMG|4AART|5BPWR|6CDMG|7DUST|8LWND|9RCR
26	22355 16133	   	187.35	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1ZMB|25VULN|35DMG|4AART|5BPWR|6MLV|7RCR|89DUR|aCGEN
27	22353 31534	   	187.25	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1ZMB|28VULN|3aDMG|4AART|5CGEN|69DUR|7RCR
28	52632 23418	 * 	187.22	DCR|3VULN|3DMG|1AART	178DMG|278VULN|378LHND|4MBVNT|5RMIN|6AART|78BPWR|9FEWX|aRCR
29	22352 31534	   	187.15	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1ZMB|28VULN|3aDMG|4AART|5ERES|69DUR|7RCR
30	52141 52223	 * 	186.88	ACR|3VULN|3DMG|1ZMB|1DUR	167DMG|25aVULN|3DUR|4RCR|8LIT|9ZMB
31	52141 53123	   	185.87	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	16DMG|25VULN|38DUR|4RCR|7AART|9LIT|aZMB
32	52356 33331	   	184.20	DCR|2VULN|2DMG|2AART|1DUR	13DMG|25VULN|4DUR|6RCR|79AART|8DUST|aRCVC
33	52642 23331	   	183.92	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	17DMG|27VULN|37LHND|4RCR|5RMIN|6AART|7BPWR|8aASPD|9DUR
34	22355 21611	   	183.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|25VULN|35DMG|4AART|5BPWR|6CDMG|7DUST|8LWND|9RCR|aMLV
35	22355 21613	   	183.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|25VULN|35DMG|4AART|5BPWR|6CDMG|7DUST|8LWND|9RCR|aBEXP
36	22141 34123	   	183.58	ACR|3VULN|2AART|1CDMG|1ZMB|1DUR	1ZMB|259VULN|3DUR|4RCR|6MBVNT|7aAART|8CDMG
37	22141 34632	   	183.58	ACR|3VULN|2AART|1CDMG|1ZMB|1DUR	1ZMB|258VULN|3DUR|4RCR|6MBVNT|79AART|aCDMG
38	22324 35242	   	183.41	DCR|3VULN|1DMG|1CDMG|1FLTHEA|2DUR|1ZMB	1ZMB|269VULN|3DMG|45DUR|7FLTHEA|8RCR|aCDMG
39	22353 31123	   	183.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1ZMB|29VULN|3DMG|4AART|5CGEN|6aDUR|7RCR|8CDMG
40	22353 31532	   	183.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1ZMB|28VULN|3DMG|4AART|5CGEN|69DUR|7RCR|aCDMG
41	22356 31532	   	183.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1ZMB|28VULN|3DMG|4AART|5MLV|69DUR|7RCR|aCDMG
42	22352 31123	   	183.21	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1ZMB|29VULN|3DMG|4AART|5ERES|6aDUR|7RCR|8CDMG
43	22352 31532	   	183.21	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1ZMB|28VULN|3DMG|4AART|5ERES|69DUR|7RCR|aCDMG
44	22352 56132	   	183.21	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1ZMB|26VULN|3DMG|4AART|5ERES|7RCR|89DUR|aCDMG
