0	Index      	 *	Score 	Summary	Detail	
1	31542 53112	 * 	187.22	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	17DUR|2ZMB|379DMG|4RCVC|57TLV|6RCR|7BPWR|8VULN|aAART
2	22251 21563	 * 	184.52	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	18MLV|28CDMG|3AART|4ASPD|57VULN|68DMG|8BPWR|9BEXP|aRCR
3	22251 21553	   	184.42	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	18MLV|28CDMG|3AART|4ASPD|57VULN|68DMG|8BPWR|9DUST|aRCR
4	26513 24542	 * 	183.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	18MLV|2RCR|38DMG|4BEXP|5MBVNT|6DUR|78VULN|8BPWR|9ZMB|aAART
5	31361 26432	 * 	181.47	ACR|2VULN|3ZMB|1AART|1DMG|2DUR	18DUR|237ZMB|48VULN|5RCR|68TLV|8BPWR|9DMG|aAART
6	22242 32521	 * 	180.04	DCR|3DMG|1AART|2CDMG|2ZMB	1aMLV|25CDMG|3AART|4aZMB|6RCR|7DMSP|89aDMG|aBPWR
7	42242 32521	   	179.84	DCR|3DMG|1AART|2CDMG|2ZMB	1aTLV|25CDMG|3AART|4aZMB|6RCR|7DMSP|89aDMG|aBPWR
8	26513 24522	   	179.61	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	18MLV|2RCR|38DMG|4BEXP|5MBVNT|6DUR|78VULN|8BPWR|9ASPD|aAART
9	22251 22563	 * 	178.38	DCR|2AART|2DMG|1VULN|2CDMG|1ASPD	18MLV|28CDMG|37AART|4ASPD|5VULN|68DMG|8BPWR|9BEXP|aRCR
10	46341 32331	 * 	178.31	ACR|3VULN|1AART|1DMG|1ZMB	1TLV|2RCR|3ZMB|4RCVC|5LIT|67aVULN|8DMG|9AART
11	22251 22553	   	178.28	DCR|2AART|2DMG|1VULN|2CDMG|1ASPD	18MLV|28CDMG|37AART|4ASPD|5VULN|68DMG|8BPWR|9DUST|aRCR
12	46333 32331	   	177.71	ACR|3VULN|1AART|1DMG|1ZMB	1TLV|2RCR|3ZMB|4LIT|57aVULN|6RCVC|8DMG|9AART
13	46631 32331	 * 	177.60	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	1TLV|2RCR|3SELL|4CDMG|5LIT|67aVULN|8DMG|9AART
14	26513 14542	   	176.64	ACR|2VULN|2DMG|1AART|1ZMB	18MLV|2RCR|38DMG|4BEXP|5MBVNT|6DUST|78VULN|8BPWR|9ZMB|aAART
15	42225 32521	   	176.63	DCR|3DMG|1AART|2ZMB|1CDMG	1aTLV|2CDMG|3AART|4RCVC|5aZMB|6RCR|7DMSP|89aDMG|aBPWR
16	22252 32535	   	176.33	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1MLV|25CDMG|3AART|4ASPD|6RCR|7DMSP|8aDMG|9VULN
17	22435 21531	 * 	176.25	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1MLV|24CDMG|3RCR|5aVULN|6RCVC|7DMG|8AART|9DUR
18	31361 26232	   	176.07	ACR|2VULN|3ZMB|1AART|1DMG|1DUR	1DUR|237ZMB|48VULN|5RCR|6TLV|9DMG|aAART
19	22242 32525	   	175.98	DCR|3DMG|1AART|2CDMG|1ZMB	1MLV|25CDMG|3AART|4ZMB|6RCR|7DMSP|89aDMG
