0	Index      	 *	Score 	Summary	Detail	
1	26122 44633	 * 	205.85	DCR|3VULN|2AART|2DMG|2DUR	1RMIN|29DMG|3MBVNT|45AART|6RCR|79aVULN|89DUR|9BPWR
2	42144 84843	 * 	194.55	ACR|3VULN|2DMG|1AART|2CDMG	18ERES|24DMG|3MBVNT|5RCR|68CDMG|78aVULN|8BPWR|9AART
3	26122 44333	   	193.61	DCR|3VULN|2AART|2DMG	1RMIN|29DMG|3MBVNT|45AART|6RCR|79aVULN|89FEWX|9BPWR
4	26122 44338	 * 	193.61	DCR|3DMG|2AART|2VULN	1RMIN|29aDMG|3MBVNT|45AART|6RCR|79VULN|89FEWX|9BPWR
5	26122 44433	   	193.61	DCR|3VULN|2AART|2DMG	1RMIN|29DMG|3MBVNT|45AART|6RCR|79aVULN|89LHND|9BPWR
6	26122 46733	   	193.61	DCR|3VULN|2AART|2DMG	1RMIN|29DMG|3MBVNT|45AART|6RCR|79FEWX|89aVULN|9BPWR
7	26122 45327	   	193.41	DCR|3DMG|2AART|2VULN	1RMIN|279DMG|3MBVNT|45AART|6RCR|7BPWR|8aVULN
8	21124 88484	   	192.30	DCR|2VULN|2DMG|1AART|2ASPD|2DUR	1RMIN|28ASPD|3MBVNT|4AART|58DUR|6RCR|78DMG|8BPWR|9aVULN
9	42134 54623	 * 	190.84	ACR|3VULN|3DMG|1AART	149ERES|29aDMG|3MBVNT|5RCR|6RPLT|79aVULN|8AART|9aBPWR
10	26122 44631	   	190.19	DCR|2AART|2VULN|2DMG|2DUR	1aRMIN|29DMG|3MBVNT|45AART|6RCR|79VULN|89DUR|9BPWR
11	26122 44634	   	190.19	DCR|2AART|2VULN|2DMG|2DUR	1RMIN|29DMG|3MBVNT|45AART|6RCR|79VULN|89DUR|9BPWR|aCGEN
12	26122 44636	   	190.19	DCR|2AART|2VULN|2DMG|2DUR	1RMIN|29DMG|3MBVNT|45AART|6RCR|79VULN|89DUR|9BPWR|aBELT
13	26122 44638	   	190.19	DCR|2AART|2VULN|2DMG|2DUR	1RMIN|29DMG|3MBVNT|45AART|6RCR|79VULN|89DUR|9BPWR|aBEXP
14	26122 44632	   	190.09	DCR|2AART|2VULN|2DMG|2DUR	1RMIN|29DMG|3MBVNT|45AART|6RCR|79VULN|89DUR|9BPWR|aDUST
15	34213 11443	   	190.01	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	16aVULN|2CDMG|3RCVC|4ASPD|5DMG|7RCR|8DUR|9AART
16	42144 54621	   	188.84	ACR|3DMG|2VULN|1AART|1CDMG	19ERES|249DMG|3MBVNT|5RCR|6RPLT|79VULN|8AART|9BPWR|aCDMG
17	34253 11142	   	188.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	16VULN|2CDMG|3RCVC|4ZMB|59DMG|7RCR|8MLV|aAART
18	34253 11243	   	187.14	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	16aVULN|2CDMG|3RCVC|4ZMB|5DMG|7RCR|8LHND|9AART
19	34213 14343	   	186.41	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	16aVULN|2CDMG|3RCVC|4ASPD|5DMG|7AART|8DUR|9RCR
20	34322 41132	 * 	186.41	ACR|4VULN|1AART|1DMG|1CDMG|1SELL	1568VULN|2CDMG|3SELL|4RCR|7DMG|9LIT|aAART
21	34322 44232	 * 	186.41	ACR|4VULN|1AART|1DMG|1CDMG|1SELL	1567VULN|2CDMG|3SELL|4RCR|8DMG|9LIT|aAART
22	21124 88482	   	186.16	DCR|2AART|2DMG|1VULN|2ASPD|2DUR	1RMIN|28ASPD|3MBVNT|4aAART|58DUR|6RCR|78DMG|8BPWR|9VULN
23	36422 34222	   	186.05	ACR|3VULN|3DMG|1CDMG|1SELL	157VULN|2RCVC|368DMG|4RCR|9SELL|aCDMG
24	36422 41222	   	186.05	ACR|3VULN|3DMG|1CDMG|1SELL	156VULN|2RCVC|378DMG|4RCR|9SELL|aCDMG
25	42144 84844	   	185.83	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	18ERES|24DMG|3MBVNT|5RCR|68CDMG|78VULN|8BPWR|9AART|aASPD
26	42144 84834	 * 	184.85	ACR|4VULN|2DMG|2CDMG	18ERES|24DMG|3MBVNT|5RCR|68CDMG|789aVULN|8BPWR
27	36422 22532	   	184.74	ACR|4VULN|2DMG|1CDMG	158aVULN|2RCVC|3aDMG|4RCR|6LIT|7CDMG|9aDUST|aBPWR
28	22421 36115	   	184.73	ACR|3DMG|2VULN|1AART|1DUR	1RMIN|2aCGEN|39aDMG|4RCR|5BASHEA|6DUR|7aVULN|8AART|aBPWR
29	26321 36115	   	184.53	ACR|3DMG|2VULN|1AART|1DUR	1RMIN|29aDMG|3aERES|4RCR|5BASHEA|6DUR|7aVULN|8AART|aBPWR
30	26122 83823	   	184.31	DCR|2AART|2VULN|2DMG|1CDMG	1RMIN|28DMG|3MBVNT|45AART|68VULN|7RPLT|8BPWR|9RCR|aCDMG
31	34222 22551	   	184.23	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	16VULN|2CDMG|3RCVC|4MLV|5RCR|7AART|8ASPD|9aDMG
32	36422 31432	   	183.64	ACR|3VULN|3DMG|1ZMB	15aVULN|2RCVC|367DMG|4RCR|8ZMB|9LIT
33	36422 34231	   	183.64	ACR|3VULN|3DMG|1ZMB	157VULN|2RCVC|368DMG|4RCR|9ZMB|aCGEN
34	36422 34233	   	183.64	ACR|3VULN|3DMG|1ZMB	157VULN|2RCVC|368DMG|4RCR|9ZMB|aLHND
35	36422 41231	   	183.64	ACR|3VULN|3DMG|1ZMB	156VULN|2RCVC|378DMG|4RCR|9ZMB|aCGEN
36	36422 41233	   	183.64	ACR|3VULN|3DMG|1ZMB	156VULN|2RCVC|378DMG|4RCR|9ZMB|aLHND
37	36422 34232	   	183.54	ACR|3VULN|3DMG|1ZMB	157VULN|2RCVC|368DMG|4RCR|9ZMB|aDUST
38	36422 41232	   	183.54	ACR|3VULN|3DMG|1ZMB	156VULN|2RCVC|378DMG|4RCR|9ZMB|aDUST
39	34213 11243	   	183.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	16aVULN|2CDMG|3RCVC|4ASPD|5DMG|7RCR|8LHND|9AART
40	34332 33135	   	182.87	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	158VULN|2CDMG|3SELL|4BEXP|67DMG|9AART|aRCR
41	34213 35112	 * 	182.78	DCR|3DMG|2VULN|3ASPD|1CDMG	19VULN|2CDMG|3RCVC|469ASPD|579DMG|8BELT|9BPWR|aRCR
42	21122 44323	   	182.77	DCR|3VULN|2AART|1DMG|1ASPD	1RMIN|2ASPD|3MBVNT|45AART|6RCR|78aVULN|9DMG
43	34213 11334	   	182.37	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	168VULN|2CDMG|3RCVC|4ASPD|5DMG|7RCR|9NUKE|aAART
44	21454 13332	   	182.21	DCR|2DMG|1AART|1VULN|2ASPD|2DUR|1ZMB	1RMIN|29ASPD|39DMG|4BELT|5ZMB|6RCR|7VULN|89DUR|9BPWR|aAART
45	26523 21233	   	182.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1RMIN|25DMG|3CDMG|4MLV|6ASPD|7RCR|8AART|9aVULN
46	42144 54623	   	182.13	ACR|3DMG|2VULN|1AART|1DUR	19ERES|249DMG|3MBVNT|5RCR|6RPLT|79VULN|8AART|9BPWR|aDUR
47	42121 83481	   	181.97	DCR|3VULN|2DMG|1AART	1aERES|2aDMG|3MBVNT|4AART|5FEWX|6RCR|7LIT|89aVULN|aBPWR
48	34322 36221	   	181.78	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	15VULN|2CDMG|3SELL|4RCR|68DMG|7DUR|9AART|aBEXP
49	34322 36222	   	181.78	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	15VULN|2CDMG|3SELL|4RCR|68DMG|7DUR|9AART|aCGEN
50	34322 36223	   	181.78	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	15VULN|2CDMG|3SELL|4RCR|68DMG|7DUR|9AART|aRPLT
51	34322 36224	   	181.78	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	15VULN|2CDMG|3SELL|4RCR|68DMG|7DUR|9AART|aLIT
52	42144 84822	 * 	181.75	ACR|3DMG|2VULN|2CDMG|1ZMB	18ERES|24aDMG|3MBVNT|5RCR|68CDMG|78VULN|8BPWR|9ZMB
53	21122 44633	   	181.75	DCR|3VULN|2AART|2ASPD|2DUR	1RMIN|29ASPD|3MBVNT|45AART|6RCR|79aVULN|89DUR|9BPWR
54	34322 36225	   	181.68	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	15VULN|2CDMG|3SELL|4RCR|68DMG|7DUR|9AART|aERES
55	34322 36226	   	181.68	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	15VULN|2CDMG|3SELL|4RCR|68DMG|7DUR|9AART|aDUST
56	36422 31412	   	181.64	ACR|3DMG|2VULN|1CDMG|1ZMB	15VULN|2RCVC|367DMG|4RCR|8ZMB|9BEXP|aCDMG
57	36422 31422	   	181.54	ACR|3DMG|2VULN|1CDMG|1ZMB	15VULN|2RCVC|367DMG|4RCR|8ZMB|9MBVNT|aCDMG
58	26512 21343	   	181.50	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1RMIN|26DMG|3CDMG|4ASPD|5ERES|7RCR|8aVULN|9AART
59	34362 31221	   	181.36	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	15VULN|2CDMG|3SELL|4DUR|68DMG|7RCR|9AART|aBEXP
60	34362 31222	   	181.36	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	15VULN|2CDMG|3SELL|4DUR|68DMG|7RCR|9AART|aCGEN
61	34362 31223	   	181.36	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	15VULN|2CDMG|3SELL|4DUR|68DMG|7RCR|9AART|aRPLT
62	34362 31224	   	181.36	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	15VULN|2CDMG|3SELL|4DUR|68DMG|7RCR|9AART|aLIT
63	34362 31225	   	181.26	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	15VULN|2CDMG|3SELL|4DUR|68DMG|7RCR|9AART|aERES
64	34362 31226	   	181.26	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	15VULN|2CDMG|3SELL|4DUR|68DMG|7RCR|9AART|aDUST
65	34213 31443	   	180.97	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1aVULN|2CDMG|3RCVC|46ASPD|5DMG|7RCR|8DUR|9AART
66	34253 11332	   	180.92	DCR|3VULN|2DMG|1CDMG|1ZMB	168VULN|2CDMG|3RCVC|4ZMB|59DMG|7RCR|aLHND
67	34253 11333	   	180.92	DCR|3VULN|2DMG|1CDMG|1ZMB	168VULN|2CDMG|3RCVC|4ZMB|59DMG|7RCR|aFEWX
68	34253 11335	   	180.92	DCR|3VULN|2DMG|1CDMG|1ZMB	168VULN|2CDMG|3RCVC|4ZMB|59DMG|7RCR|aMLV
69	34253 11336	   	180.92	DCR|3VULN|2DMG|1CDMG|1ZMB	168VULN|2CDMG|3RCVC|4ZMB|59DMG|7RCR|aLIT
70	34253 11331	   	180.82	DCR|3VULN|2DMG|1CDMG|1ZMB	168VULN|2CDMG|3RCVC|4ZMB|59DMG|7RCR|aTLV
71	26122 44613	   	180.76	DCR|2AART|2VULN|1DMG|1FLTHEA|1DUR	1RMIN|2DMG|3MBVNT|45AART|6RCR|7aVULN|8DUR|9FLTHEA
72	26122 74631	   	180.59	DCR|2AART|2VULN|2DMG|2DUR	1RMIN|29DMG|3MBVNT|45AART|6FEWX|79VULN|89DUR|9BPWR|aRCR
73	34322 36216	   	180.57	ACR|3VULN|2DMG|1CDMG|1ASPD|1DUR|1SELL	15aVULN|2CDMG|3SELL|4RCR|68DMG|7DUR|9ASPD
74	36421 22631	   	180.45	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	189VULN|2RCVC|3DMG|4RCR|5VENICY|6ASPD|7ZMB|aAART
75	34322 66223	   	180.44	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	15aVULN|2CDMG|3SELL|4RCR|6MLV|7DUR|8AART|9DMG
76	25222 41136	 * 	180.41	ACR|5VULN|2DMG	13RMIN|2568aVULN|4RCR|7aDMG|9aLIT|aBPWR
77	32365 14233	 * 	180.34	DCR|4VULN|1AART|1DMG|1CDMG|2SELL	1456VULN|23SELL|7AART|8CDMG|9DMG|aRCR
78	26322 11226	   	180.29	ACR|3DMG|2VULN|1AART	1RMIN|29aDMG|3ERES|4RCR|5aVULN|6RCVC|7aMLV|8AART|aBPWR
79	36422 34132	   	180.19	ACR|3VULN|2DMG|1AART	157VULN|2RCVC|36DMG|4RCR|8RMIN|9LIT|aAART
80	36422 41132	   	180.19	ACR|3VULN|2DMG|1AART	156VULN|2RCVC|37DMG|4RCR|8RMIN|9LIT|aAART
81	32253 11443	   	180.18	DCR|3VULN|1AART|1DMG|1ZMB|1DUR|1SELL	16aVULN|2SELL|3RCVC|4ZMB|5DMG|7RCR|8DUR|9AART
82	34362 31216	   	180.15	DCR|3VULN|2DMG|1CDMG|1ASPD|1DUR|1SELL	15aVULN|2CDMG|3SELL|4DUR|68DMG|7RCR|9ASPD
83	34362 61223	   	180.02	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	15aVULN|2CDMG|3SELL|4DUR|6MLV|7RCR|8AART|9DMG
84	42144 87133	   	180.00	ACR|2VULN|2DMG|1AART|2CDMG	1ERES|24DMG|3MBVNT|5RCR|68CDMG|7AART|9aVULN
85	34322 41421	   	179.84	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	156VULN|2CDMG|3SELL|4RCR|7DMG|8DUR|9AART|aBEXP
86	34322 41422	   	179.84	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	156VULN|2CDMG|3SELL|4RCR|7DMG|8DUR|9AART|aCGEN
87	34322 41423	   	179.84	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	156VULN|2CDMG|3SELL|4RCR|7DMG|8DUR|9AART|aRPLT
88	36422 34211	   	179.58	ACR|3VULN|3DMG|1DUR	157VULN|2RCVC|368DMG|4RCR|9DUR|aLHND
89	36422 34212	   	179.58	ACR|3VULN|3DMG|1DUR	157VULN|2RCVC|368DMG|4RCR|9DUR|aBEXP
90	36422 34213	   	179.58	ACR|3VULN|3DMG|1DUR	157VULN|2RCVC|368DMG|4RCR|9DUR|aFEWX
91	36422 41211	   	179.58	ACR|3VULN|3DMG|1DUR	156VULN|2RCVC|378DMG|4RCR|9DUR|aLHND
92	36422 41212	   	179.58	ACR|3VULN|3DMG|1DUR	156VULN|2RCVC|378DMG|4RCR|9DUR|aBEXP
93	36422 41213	   	179.58	ACR|3VULN|3DMG|1DUR	156VULN|2RCVC|378DMG|4RCR|9DUR|aFEWX
94	34332 41135	 * 	179.39	DCR|4VULN|1AART|1DMG|1CDMG|1SELL	1568VULN|2CDMG|3SELL|4BEXP|7DMG|9AART|aRCR
95	36422 34221	   	179.34	ACR|3VULN|3DMG|1ASPD|1SELL	157VULN|2RCVC|368DMG|4RCR|9SELL|aASPD
96	36422 41221	   	179.34	ACR|3VULN|3DMG|1ASPD|1SELL	156VULN|2RCVC|378DMG|4RCR|9SELL|aASPD
97	26122 44336	   	179.27	DCR|2AART|2VULN|2DMG	1RMIN|29DMG|3MBVNT|45AART|6RCR|79VULN|89FEWX|9BPWR|aRCVC
98	34322 32326	   	179.12	ACR|3VULN|1AART|2CDMG|1DMG|1SELL	15aVULN|2aCDMG|3SELL|4RCR|6DMG|7TLV|8aERES|9AART|aBPWR
99	42144 84841	   	178.90	ACR|2VULN|2DMG|1AART|2CDMG	18ERES|24DMG|3MBVNT|5RCR|68CDMG|78VULN|8BPWR|9AART|aDMSP
100	42144 84842	   	178.90	ACR|2VULN|2DMG|1AART|2CDMG	18ERES|24DMG|3MBVNT|5RCR|68CDMG|78VULN|8BPWR|9AART|aFEWX
101	34325 23113	   	178.44	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR|1SELL	1aVULN|2CDMG|3SELL|4RCR|5LWND|6DUR|7FLTHEA|8AART|9DMG
102	21122 44322	   	178.12	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1RMIN|2ASPD|3MBVNT|45AART|6RCR|78VULN|9DMG|aZMB
103	26122 43244	   	177.96	DCR|2AART|2VULN|2DMG	1RMIN|2aDMG|3MBVNT|45AART|6RCR|7RPLT|8aLIT|9aVULN|aBPWR
104	26122 44331	   	177.96	DCR|2AART|2VULN|2DMG	1aRMIN|29DMG|3MBVNT|45AART|6RCR|79VULN|89FEWX|9BPWR
105	26122 44334	   	177.96	DCR|2AART|2VULN|2DMG	1RMIN|29DMG|3MBVNT|45AART|6RCR|79VULN|89FEWX|9BPWR|aCGEN
106	26122 44431	   	177.96	DCR|2AART|2VULN|2DMG	1aRMIN|29DMG|3MBVNT|45AART|6RCR|79VULN|89LHND|9BPWR
107	26122 44434	   	177.96	DCR|2AART|2VULN|2DMG	1RMIN|29DMG|3MBVNT|45AART|6RCR|79VULN|89LHND|9BPWR|aCGEN
108	26122 44436	   	177.96	DCR|2AART|2VULN|2DMG	1RMIN|29DMG|3MBVNT|45AART|6RCR|79VULN|89LHND|9BPWR|aBELT
109	26122 44438	   	177.96	DCR|2AART|2VULN|2DMG	1RMIN|29DMG|3MBVNT|45AART|6RCR|79VULN|89LHND|9BPWR|aBEXP
110	26122 46731	   	177.96	DCR|2AART|2VULN|2DMG	1aRMIN|29DMG|3MBVNT|45AART|6RCR|79FEWX|89VULN|9BPWR
111	26122 46734	   	177.96	DCR|2AART|2VULN|2DMG	1RMIN|29DMG|3MBVNT|45AART|6RCR|79FEWX|89VULN|9BPWR|aCGEN
112	26122 44332	   	177.86	DCR|2AART|2VULN|2DMG	1RMIN|29DMG|3MBVNT|45AART|6RCR|79VULN|89FEWX|9BPWR|aDUST
113	26122 44432	   	177.86	DCR|2AART|2VULN|2DMG	1RMIN|29DMG|3MBVNT|45AART|6RCR|79VULN|89LHND|9BPWR|aDUST
114	26122 46732	   	177.86	DCR|2AART|2VULN|2DMG	1RMIN|29DMG|3MBVNT|45AART|6RCR|79FEWX|89VULN|9BPWR|aDUST
115	26122 45333	   	177.76	DCR|2AART|2VULN|2DMG	1RMIN|27DMG|3MBVNT|45AART|6RCR|7BPWR|8aVULN|9FEWX
116	26122 45353	   	177.76	DCR|2AART|2VULN|2DMG	1RMIN|27DMG|3MBVNT|45AART|6RCR|7BPWR|8aVULN|9MLV
117	26122 45373	   	177.66	DCR|2AART|2VULN|2DMG	1RMIN|27DMG|3MBVNT|45AART|6RCR|7BPWR|8aVULN|9DUST
118	34222 22541	   	177.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	16VULN|2CDMG|3RCVC|4MLV|5RCR|7AART|8ASPD|9ZMB|aDMG
119	34322 41141	   	177.64	ACR|5VULN|1DMG|1CDMG|1SELL	1568aVULN|2CDMG|3SELL|4RCR|7DMG|9RCVC
120	26322 32361	 * 	177.59	ACR|2VULN|2DMG|1AART|2ZMB	1RMIN|2aDMG|3ERES|4RCR|5aVULN|6LIT|7AART|8LWND|9aZMB|aBPWR
121	34213 34343	   	177.37	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1aVULN|2CDMG|3RCVC|46ASPD|5DMG|7AART|8DUR|9RCR
122	26326 31126	   	177.19	ACR|3DMG|2VULN|1AART	17RMIN|26aDMG|3ERES|4RCR|5aMLV|8aVULN|9AART|aBPWR
123	36125 44338	   	177.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|2RCVC|3MBVNT|4AART|5CGEN|6RCR|8ZMB|9CDMG|aDMG
124	26315 11226	   	177.07	DCR|3DMG|2VULN|1AART	1RMIN|29aDMG|36ERES|4aTLV|5aVULN|7RCR|8AART|aBPWR
125	26322 31161	   	176.99	ACR|2VULN|2DMG|1AART|2ZMB	1RMIN|2aDMG|3ERES|4RCR|5aVULN|6LIT|7LWND|8AART|9aZMB|aBPWR
126	21124 88418	 * 	176.61	DCR|3DMG|1AART|3ASPD|2DUR	1RMIN|289ASPD|3MBVNT|4AART|58DUR|6RCR|78aDMG|8BPWR
127	26315 31126	   	176.57	DCR|3DMG|2VULN|1AART	1RMIN|26aDMG|3ERES|4aTLV|5aVULN|7RCR|8DMSP|9AART|aBPWR
128	26315 31326	   	176.47	DCR|3DMG|2VULN|1AART	1RMIN|26aDMG|3ERES|48aTLV|5aVULN|7RCR|9AART|aBPWR
129	26322 32321	   	176.28	ACR|2VULN|2DMG|1AART|2ASPD	1RMIN|2aDMG|3ERES|4RCR|5aVULN|6LIT|7AART|8LWND|9aASPD|aBPWR
130	26322 32621	   	176.18	ACR|2VULN|2DMG|1AART|2ASPD	1RMIN|2aDMG|3ERES|4RCR|5aVULN|6LIT|7AART|8DUST|9aASPD|aBPWR
131	36322 42232	   	176.15	ACR|3VULN|1AART|1DMG|1CDMG	156VULN|2RCVC|3ERES|4RCR|7CGEN|8CDMG|9DMG|aAART
132	34322 34223	   	176.14	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	15VULN|2CDMG|3SELL|4RCR|68DMG|7BEXP|9AART|aRCVC
133	32213 11443	   	176.12	DCR|3VULN|1AART|1DMG|1ASPD|1DUR|1SELL	16aVULN|2SELL|3RCVC|4ASPD|5DMG|7RCR|8DUR|9AART
134	33122 23366	   	176.05	DCR|3VULN|2DMG|1CDMG|1DUR	19aVULN|2LHND|3BELT|49LWND|5CDMG|6RCR|7DUR|89DMG|9BPWR
135	26122 47328	   	176.03	DCR|2AART|2DMG|1VULN|1CDMG	1RMIN|29DMG|3MBVNT|45AART|6RCR|7RCVC|8VULN|aCDMG
136	26122 45744	   	175.93	DCR|3DMG|2AART|1VULN	1RMIN|279DMG|3MBVNT|45AART|6RCR|79BPWR|89MLV|aVULN
