0	Index      	 *	Score 	Summary	Detail	
1	61113 35236	 * 	211.74	ACR|3DMG|2VULN|1AART|2CDMG|1DUR|1SELL	1SELL|2RCR|39CDMG|4AART|5LWND|69VULN|789DMG|9BPWR|aDUR
2	61113 35231	 * 	204.81	ACR|3DMG|2VULN|1AART|2CDMG|1SELL	1SELL|2RCR|39CDMG|4AART|5LWND|69VULN|789DMG|9BPWR|aBEXP
3	61113 35232	 * 	204.81	ACR|3DMG|2VULN|1AART|2CDMG|1SELL	1SELL|2RCR|39CDMG|4AART|5LWND|69VULN|789DMG|9BPWR|aLIT
4	61113 35234	 * 	204.81	ACR|3DMG|2VULN|1AART|2CDMG|1SELL	1SELL|2RCR|39CDMG|4AART|5LWND|69VULN|789DMG|9BPWR|aLHND
5	61113 35235	 * 	204.81	ACR|3DMG|2VULN|1AART|2CDMG|1SELL	1SELL|2RCR|39CDMG|4AART|5LWND|69VULN|789DMG|9BPWR|aRMIN
6	61113 35233	 * 	204.71	ACR|3DMG|2VULN|1AART|2CDMG|1SELL	1SELL|2RCR|39CDMG|4AART|5LWND|69VULN|789DMG|9BPWR|aBASICY
7	24321 23144	 * 	189.12	DCR|3DMG|2VULN|1AART|1CDMG	17TLV|24aDMG|3AART|57VULN|67LWND|7BPWR|8CDMG|9RCR
8	24321 31144	   	189.02	DCR|3DMG|2VULN|1AART|1CDMG	1TLV|24aDMG|3AART|56VULN|7BEXP|8CDMG|9RCR
9	24321 33144	   	188.92	DCR|3DMG|2VULN|1AART|1CDMG	1TLV|24aDMG|3AART|56VULN|7LEGI|8CDMG|9RCR
10	24321 32112	 * 	188.62	DCR|3VULN|3DMG|1AART	1TLV|249DMG|3AART|567VULN|8LWND|aRCR
11	24321 32212	   	188.62	DCR|3VULN|3DMG|1AART	1TLV|249DMG|3AART|567VULN|8LHND|aRCR
12	24321 32412	   	188.62	DCR|3VULN|3DMG|1AART	1TLV|249DMG|3AART|567VULN|8BEXP|aRCR
13	24321 32612	   	188.62	DCR|3VULN|3DMG|1AART	1TLV|249DMG|3AART|567VULN|8FEWX|aRCR
14	61113 32143	 * 	187.22	ACR|3VULN|1AART|1DMG|2CDMG|1SELL	1SELL|2RCR|37CDMG|4AART|57LWND|679VULN|7BPWR|8FEWX|aDMG
15	61113 32263	 * 	187.22	ACR|3VULN|1AART|1DMG|2CDMG|1SELL	1SELL|2RCR|37CDMG|4AART|57LWND|678VULN|7BPWR|9FEWX|aDMG
16	61113 32223	 * 	187.12	ACR|3VULN|1AART|1DMG|2CDMG|1SELL	1SELL|2RCR|37CDMG|4AART|57LWND|678VULN|7BPWR|9DUST|aDMG
17	61113 32553	 * 	187.12	ACR|3VULN|1AART|1DMG|2CDMG|1SELL	1SELL|2RCR|37CDMG|4AART|57LWND|679VULN|7BPWR|8MBVNT|aDMG
18	61124 62333	 * 	183.94	ACR|2VULN|1AART|3CDMG|1DMG|1DUR|1SELL	1SELL|2RCR|349CDMG|5AART|6DMG|79VULN|89LWND|9BPWR|aDUR
19	61113 32133	 * 	183.01	ACR|2AART|2VULN|1DMG|2CDMG|1SELL	1SELL|2RCR|37CDMG|49AART|57LWND|67VULN|7BPWR|8FEWX|aDMG
20	61112 62335	 * 	182.91	ACR|2AART|2VULN|1DMG|2CDMG|1SELL	1SELL|2RCR|3aCDMG|46AART|5aLHND|7DMG|8LSRHEA|9aVULN|aBPWR
21	61113 32533	 * 	182.91	ACR|2AART|2VULN|1DMG|2CDMG|1SELL	1SELL|2RCR|37CDMG|49AART|57LWND|67VULN|7BPWR|8MBVNT|aDMG
22	24321 31134	 * 	182.41	DCR|2AART|2VULN|2DMG|1CDMG	1TLV|24DMG|39AART|56VULN|7BEXP|8CDMG|aRCR
