0	Index      	 *	Score 	Summary	Detail	
1	23522 31512	 * 	216.47	DCR|3VULN|3DMG|1AART|1CDMG|1ZMB	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8DUST|9ZMB|aAART
2	23522 31162	   	212.51	DCR|3VULN|3DMG|1AART|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8MLV|9DUR|aAART
3	23522 31262	   	212.51	DCR|3VULN|3DMG|1AART|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8RMIN|9DUR|aAART
4	23522 31313	   	207.48	DCR|3VULN|3DMG|1AART|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8RCVC|9MLV|aAART
5	23522 31415	 * 	207.47	DCR|4VULN|3DMG|1CDMG|1ZMB	135DMG|235aVULN|35BPWR|4RPLT|6CDMG|7RCR|8LWND|9ZMB
6	23522 31333	   	207.38	DCR|3VULN|3DMG|1AART|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8RCVC|9ERES|aAART
7	23522 31353	   	207.38	DCR|3VULN|3DMG|1AART|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8RCVC|9TLV|aAART
8	23522 31515	   	207.37	DCR|4VULN|3DMG|1CDMG|1ZMB	135DMG|235aVULN|35BPWR|4RPLT|6CDMG|7RCR|8DUST|9ZMB
9	23522 31536	   	207.37	DCR|4VULN|3DMG|1CDMG|1ZMB	135DMG|2359VULN|35BPWR|4RPLT|6CDMG|7RCR|8DUST|aZMB
10	21166 52312	 * 	207.04	ACR|3VULN|3DMG|2FLTHEA|1ZMB	157DMG|2LIT|37aVULN|4RCR|67FLTHEA|7BPWR|8DUR|9ZMB
11	22313 63256	 * 	206.79	DCR|3VULN|2DMG|3ZMB|1AART	17DMG|2DUR|347ZMB|578VULN|6AART|7BPWR|9LWND|aRCR
12	22313 63265	   	206.79	DCR|3VULN|2DMG|3ZMB|1AART	17DMG|2DUR|347ZMB|578VULN|6AART|7BPWR|9RMIN|aRCR
13	23522 31123	   	205.57	DCR|3VULN|3DMG|1AART|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8MLV|9DMSP|aAART
14	23522 31142	   	205.57	DCR|3VULN|3DMG|1AART|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8MLV|9BEXP|aAART
15	23522 31153	   	205.57	DCR|3VULN|3DMG|1AART|1CDMG	135DMG|235VULN|35BPWR|49RPLT|6CDMG|7RCR|8MLV|aAART
16	23522 31242	   	205.57	DCR|3VULN|3DMG|1AART|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|8RMIN|9BEXP|aAART
17	23522 31613	   	205.57	DCR|3VULN|3DMG|1AART|1CDMG	135DMG|235VULN|35BPWR|4RPLT|6CDMG|7RCR|89CGEN|aAART
18	23522 31623	   	205.57	DCR|3VULN|3DMG|1AART|1CDMG	135DMG|235VULN|35BPWR|49RPLT|6CDMG|7RCR|8CGEN|aAART
19	23515 34131	 * 	205.32	DCR|4VULN|3DMG|1AART	13aDMG|2356VULN|35BPWR|45LHND|7AART|8RCR|9SNIHEL
