0	Index      	 *	Score 	Summary	Detail	
1	64332 31151	 * 	213.16	DCR|3VULN|2DMG|1AART|2ASPD|1ZMB|1DUR	1AART|29aVULN|3ZMB|49DMG|5LWND|6DUR|7RCR|89ASPD|9BPWR
2	62131 21212	 * 	207.97	DCR|3DMG|2AART|2VULN|2ZMB	15AART|2aCGEN|36VULN|48aDMG|7RCR|9aZMB|aBPWR
3	66131 21212	   	207.77	DCR|3DMG|2AART|2VULN|2ZMB	15AART|2aERES|36VULN|48aDMG|7RCR|9aZMB|aBPWR
4	62131 21232	 * 	207.02	DCR|4VULN|2AART|2DMG	15AART|2CGEN|369aVULN|48DMG|7RCR
5	45531 21212	   	206.57	DCR|3DMG|2AART|2VULN|2ZMB	1aERES|26VULN|35AART|48aDMG|7RCR|9aZMB|aBPWR
6	64123 41211	 * 	203.96	DCR|3VULN|3DMG|1AART|1ASPD	1AART|236VULN|3BPWR|4ERES|5ASPD|7RCR|89aDMG
7	61531 31151	 * 	203.36	DCR|3VULN|2DMG|1AART|2ZMB|1ASPD	1AART|2LEGI|39ZMB|49aVULN|5LHND|6ASPD|7RCR|89DMG|9BPWR
8	62131 21261	   	199.85	DCR|3DMG|2AART|2VULN|1ASPD	15AART|2CGEN|36VULN|48aDMG|7RCR|9ASPD
9	66131 21261	   	199.75	DCR|3DMG|2AART|2VULN|1ASPD	15AART|2ERES|36VULN|48aDMG|7RCR|9ASPD
10	64332 31152	   	197.51	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB|1DUR	1AART|29VULN|3ZMB|49DMG|5LWND|6DUR|7RCR|89ASPD|9BPWR|aLHND
11	64332 31153	   	197.51	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB|1DUR	1AART|29VULN|3ZMB|49DMG|5LWND|6DUR|7RCR|89ASPD|9BPWR|aDMSP
12	62135 21212	   	196.52	DCR|3DMG|2VULN|1AART|2ZMB	1AART|25aCGEN|36VULN|48aDMG|7RCR|9aZMB|aBPWR
13	62135 21232	   	195.57	DCR|4VULN|2DMG|1AART	1AART|25CGEN|369aVULN|48DMG|7RCR
14	64123 41231	   	195.37	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|236VULN|3BPWR|4ERES|5ASPD|7RCR|8DMG|9CDMG|aZMB
15	62131 21211	   	195.20	DCR|2AART|2VULN|2DMG|1ZMB|1ASPD	15AART|2CGEN|36VULN|48DMG|7RCR|9ZMB|aASPD
16	62131 21256	   	195.20	DCR|2AART|2VULN|2DMG|1ZMB|1DUR	15AART|2CGEN|36VULN|48DMG|7RCR|9DUR|aZMB
17	66131 21211	   	195.10	DCR|2AART|2VULN|2DMG|1ZMB|1ASPD	15AART|2ERES|36VULN|48DMG|7RCR|9ZMB|aASPD
18	64123 11211	   	194.92	DCR|3DMG|2VULN|1AART|2ASPD	1AART|23VULN|3BPWR|4ERES|56ASPD|7RCR|89aDMG
19	45531 21211	   	193.90	DCR|2AART|2VULN|2DMG|1ZMB|1ASPD	1ERES|26VULN|35AART|48DMG|7RCR|9ZMB|aASPD
20	61212 16351	   	193.80	DCR|3VULN|2DMG|1AART|2DUR	1AART|2LEGI|39aVULN|46DUR|59LWND|7RCR|89DMG|9BPWR
21	64221 26322	 * 	192.94	DCR|2VULN|1AART|1DMG|2FLTHEA|2ASPD|1ZMB	1AART|2aVULN|3BELT|4aFLTHEA|5ZMB|6DMG|7RCR|8RPLT|9aASPD|aBPWR
22	62131 21222	   	192.91	DCR|3VULN|2AART|2DMG	15AART|29CGEN|36aVULN|48DMG|7RCR
23	62131 21233	   	192.91	DCR|3VULN|2AART|2DMG	15AART|2aCGEN|369VULN|48DMG|7RCR
24	62131 21234	   	192.91	DCR|3VULN|2AART|2DMG	15AART|2CGEN|369VULN|48DMG|7RCR|aBEXP
25	62131 21231	   	192.81	DCR|3VULN|2AART|2DMG	15AART|2CGEN|369VULN|48DMG|7RCR|aDUST
26	62131 21235	   	192.81	DCR|3VULN|2AART|2DMG	15AART|2CGEN|369VULN|48DMG|7RCR|aTLV
27	62131 21236	   	192.81	DCR|3VULN|2AART|2DMG	15AART|2CGEN|369VULN|48DMG|7RCR|aERES
28	13212 16351	   	192.70	DCR|3VULN|2DMG|1AART|2DUR	19LHND|29aVULN|3AART|46DUR|5LWND|7RCR|89DMG|9BPWR
29	66131 21233	   	192.57	DCR|3VULN|2AART|2DMG|1SELL	15AART|2ERES|36aVULN|48DMG|7RCR|9SELL
30	66133 63221	   	192.51	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	1AART|2ERES|3aVULN|46DMG|5CDMG|7ASPD|8ZMB|9RCR
31	62131 21412	   	192.32	DCR|2AART|2DMG|2VULN|2ZMB	15AART|2aCGEN|36VULN|4aDMG|7RCR|8RCVC|9aZMB|aBPWR
32	66131 21412	   	192.12	DCR|2AART|2VULN|2DMG|2ZMB	15AART|2aERES|36VULN|4aDMG|7RCR|8RCVC|9aZMB|aBPWR
33	45531 21233	   	191.37	DCR|3VULN|2AART|2DMG|1SELL	1ERES|26aVULN|35AART|48DMG|7RCR|9SELL
34	24161 21252	   	191.01	DCR|3VULN|2AART|2DMG	1RMIN|29aERES|36aVULN|45AART|7RCR|8aDMG|aBPWR
35	64332 31121	   	190.69	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	1AART|2aVULN|3ZMB|49DMG|5LWND|6DUR|7RCR|8ASPD
36	62133 23221	   	190.67	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2CGEN|36aVULN|4DMG|5CDMG|7ASPD|8ZMB|9RCR
37	64333 22521	   	190.67	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|26aVULN|3ZMB|4DMG|5CDMG|7ASPD|8RMIN|9RCR
38	61214 61121	   	190.59	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	1AART|2LEGI|3aVULN|4DUR|5ZMB|69DMG|7RCR|8ASPD
39	64333 21421	   	190.57	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|26aVULN|3ZMB|4DMG|5CDMG|7ERES|8ASPD|9RCR
40	66133 23221	   	190.57	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2ERES|36aVULN|4DMG|5CDMG|7ASPD|8ZMB|9RCR
41	64333 24321	 * 	190.05	DCR|3VULN|1AART|1DMG|2CDMG|1ZMB	1AART|26aVULN|3ZMB|4DMG|58CDMG|7FEWX|9RCR
42	61212 16353	   	189.59	DCR|2AART|2DMG|2VULN|2DUR	1aAART|2LEGI|39VULN|46DUR|59LWND|7RCR|89DMG|9BPWR
43	33112 36524	   	189.57	DCR|3VULN|2DMG|1AART|1ZMB	1RCVC|2aLWND|39aVULN|4ERES|5ZMB|6AART|7RCR|8aDMG|aBPWR
44	13214 61121	   	189.49	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	1LHND|2aVULN|3AART|4DUR|5ZMB|69DMG|7RCR|8ASPD
45	62131 21432	   	189.43	DCR|4VULN|2AART|1DMG	15AART|2CGEN|369aVULN|4DMG|7RCR|8RCVC
46	45533 23221	   	189.37	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ERES|26aVULN|3AART|4DMG|5CDMG|7ASPD|8ZMB|9RCR
47	64151 21231	   	188.98	DCR|3VULN|2AART|1DMG|1CDMG	15AART|236VULN|3BPWR|4LWND|7RCR|8DMG|9CDMG|aRPLT
48	64121 11233	   	188.88	DCR|3VULN|2AART|1DMG|1CDMG	1aAART|235VULN|3BPWR|4ERES|6CGEN|7RCR|8DMG|9CDMG
49	64151 21232	   	188.88	DCR|3VULN|2AART|1DMG|1CDMG	15AART|236VULN|3BPWR|4LWND|7RCR|8DMG|9CDMG|aERES
50	64151 21233	   	188.88	DCR|3VULN|2AART|1DMG|1CDMG	15AART|236VULN|3BPWR|4LWND|7RCR|8DMG|9CDMG|aLEGI
51	13212 16355	   	188.49	DCR|2AART|2DMG|2VULN|2DUR	19LHND|29VULN|3aAART|46DUR|5LWND|7RCR|89DMG|9BPWR
52	62135 21261	   	188.41	DCR|3DMG|2VULN|1AART|1ASPD	1AART|25CGEN|36VULN|48aDMG|7RCR|9ASPD
