0	Index      	 *	Score 	Summary	Detail	
1	56323 32322	 * 	218.07	DCR|3VULN|2DMG|1AART|2ASPD|1CDMG|1ZMB	19ASPD|2RMIN|3ZMB|4AART|569VULN|7RCR|89DMG|9BPWR|aCDMG
2	56322 31621	 * 	217.67	DCR|3VULN|3DMG|1AART|2ASPD|1ZMB	19ASPD|2RMIN|3ZMB|4AART|579DMG|69aVULN|8RCR|9BPWR
3	56323 21621	   	217.67	DCR|3VULN|3DMG|1AART|2ASPD|1ZMB	19ASPD|2RMIN|3ZMB|4AART|59aVULN|679DMG|8RCR|9BPWR
4	56323 32323	 * 	210.73	DCR|3VULN|2DMG|1AART|3ASPD|1ZMB	19aASPD|2RMIN|3ZMB|4AART|569VULN|7RCR|89DMG|9BPWR
5	52122 31621	   	210.08	DCR|3VULN|3DMG|1AART|2ASPD	19ASPD|2BEXP|3RCVC|4AART|579DMG|69aVULN|8RCR|9BPWR
6	52123 21621	   	210.08	DCR|3VULN|3DMG|1AART|2ASPD	19ASPD|2BEXP|3RCVC|4AART|59aVULN|679DMG|8RCR|9BPWR
7	52122 36622	   	208.07	DCR|3VULN|2DMG|1AART|2ASPD|1CDMG	19ASPD|2BEXP|3RCVC|4AART|59DMG|679VULN|8RCR|9BPWR|aCDMG
8	52123 26622	   	208.07	DCR|3VULN|2DMG|1AART|2ASPD|1CDMG	19ASPD|2BEXP|3RCVC|4AART|579VULN|69DMG|8RCR|9BPWR|aCDMG
9	56323 32324	   	204.42	DCR|3VULN|2DMG|1AART|2ASPD|1ZMB	19ASPD|2RMIN|3ZMB|4AART|569VULN|7RCR|89DMG|9BPWR|aFEWX
10	56323 32321	   	204.32	DCR|3VULN|2DMG|1AART|2ASPD|1ZMB	19ASPD|2RMIN|3ZMB|4AART|569VULN|7RCR|89DMG|9BPWR|aDUST
11	56323 32325	   	204.32	DCR|3VULN|2DMG|1AART|2ASPD|1ZMB	19ASPD|2RMIN|3ZMB|4AART|569VULN|7RCR|89DMG|9BPWR|aBASHEA
12	56323 32326	   	204.32	DCR|3VULN|2DMG|1AART|2ASPD|1ZMB	19ASPD|2RMIN|3ZMB|4AART|569VULN|7RCR|89DMG|9BPWR|aNUKE
13	56322 32622	 * 	203.87	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG|2ASPD	19ASPD|2RMIN|37ZMB|4AART|59DMG|69VULN|8RCR|9BPWR|aCDMG
14	56323 22622	   	203.87	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG|2ASPD	19ASPD|2RMIN|37ZMB|4AART|59VULN|69DMG|8RCR|9BPWR|aCDMG
15	56322 31623	   	203.33	DCR|3DMG|2VULN|1AART|2ASPD|1ZMB	19ASPD|2RMIN|3ZMB|4AART|579DMG|69VULN|8RCR|9BPWR|aRCVC
16	56323 21623	   	203.33	DCR|3DMG|2VULN|1AART|2ASPD|1ZMB	19ASPD|2RMIN|3ZMB|4AART|59VULN|679DMG|8RCR|9BPWR|aRCVC
17	56322 31622	   	202.02	DCR|3DMG|2VULN|1AART|2ASPD|1ZMB	19ASPD|2RMIN|3ZMB|4AART|579DMG|69VULN|8RCR|9BPWR|aBELT
