0	Index      	 *	Score 	Summary	Detail	
1	24216 15231	 * 	194.32	DCR|3VULN|3DMG|1AART	127LIT|279BPWR|39LSRHEA|479DMG|579VULN|6RCR|8RMIN|aAART
2	21455 23131	 * 	189.08	DCR|3DMG|1AART|1VULN|2CDMG|1ASPD	1LIT|245DMG|35CDMG|5BPWR|6RCR|7LWND|8AART|9ASPD|aVULN
3	21455 23312	   	187.88	DCR|3DMG|1AART|1VULN|2CDMG|1ASPD	1LIT|245DMG|35CDMG|5BPWR|6RCR|7LWND|8VULN|9ASPD|aAART
4	21431 52431	 * 	186.58	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1LIT|27DMG|34CDMG|58VULN|6ZMB|9RCR|aAART
5	33121 43113	 * 	184.33	DCR|2VULN|2DMG|2CDMG|2ASPD|1ZMB	1aCDMG|2BEXP|3aVULN|4RCVC|57ASPD|6RCR|8ZMB|9aDMG|aBPWR
6	33131 43113	   	184.33	DCR|2VULN|2DMG|2CDMG|2ASPD|1ZMB	1aCDMG|24BEXP|3aVULN|57ASPD|6RCR|8ZMB|9aDMG|aBPWR
7	24216 15313	 * 	183.12	DCR|4VULN|2DMG|1CDMG	127LIT|27BPWR|3LSRHEA|47DMG|578aVULN|6RCR|9CDMG
8	21455 23111	   	182.04	DCR|3DMG|1AART|1VULN|2CDMG	1LIT|245DMG|35CDMG|5BPWR|6RCR|7LWND|8AART|9TLV|aVULN
9	21455 23332	   	180.84	DCR|3DMG|1AART|1VULN|2CDMG	1LIT|245DMG|35CDMG|5BPWR|6RCR|7LWND|8VULN|9ERES|aAART
10	31121 61316	   	180.73	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	13CDMG|2MGNSTR|4ZMB|5DUR|6AART|79DMG|8RCR|aVULN
11	21455 23132	 * 	180.47	DCR|3DMG|2AART|2CDMG|1ASPD	1LIT|245DMG|35CDMG|5BPWR|6RCR|7LWND|8aAART|9ASPD
12	55433 31223	 * 	180.44	ACR|3DMG|2VULN|2ASPD|1ZMB	1aASPD|27aDMG|3RCR|4ZMB|5LHND|6DMSP|8aVULN|9RCVC|aBPWR
13	55433 31233	   	180.44	ACR|3DMG|2VULN|2ASPD|1ZMB	1aASPD|27aDMG|3RCR|4ZMB|5LHND|69DMSP|8aVULN|aBPWR
14	55242 11213	 * 	180.36	DCR|3VULN|2DMG|3ASPD|2DUR	13aASPD|27DMG|4RMIN|5aDUR|68aVULN|9RCR|aBPWR
15	21421 52431	   	180.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LIT|27DMG|3CDMG|4RCVC|58VULN|6ZMB|9RCR|aAART
16	35413 26322	 * 	180.19	ACR|3DMG|2VULN|2CDMG|1DUR	17CDMG|27DUST|3CGEN|4RCR|5DUR|679DMG|7BPWR|8aVULN
17	35513 26322	   	180.09	ACR|3DMG|2VULN|2CDMG|1DUR	17CDMG|27DUST|3ERES|4RCR|5DUR|679DMG|7BPWR|8aVULN
18	21451 14132	   	180.01	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1LIT|247DMG|3CDMG|5VULN|6DUR|8AART|9ASPD|aRCR
19	31263 61316	   	179.71	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	1CDMG|2MGNSTR|3ZMB|45DUR|6AART|79DMG|8RCR|aVULN
20	52424 24453	 * 	179.64	ACR|2VULN|1AART|3ASPD|1DMG|2DUR	189ASPD|2LHND|3RCR|4MBVNT|58DUR|68VULN|7AART|8BPWR|aDMG
21	21431 52433	 * 	179.03	DCR|3DMG|2VULN|2CDMG|1ZMB	1LIT|27aDMG|34CDMG|58VULN|6ZMB|9RCR
22	52424 24461	 * 	178.36	ACR|2VULN|2AART|2ASPD|1CDMG|2DUR	18ASPD|2LHND|3RCR|4MBVNT|58DUR|68VULN|7aAART|8BPWR|9CDMG
23	55432 22133	 * 	178.12	ACR|2DMG|1AART|1VULN|2DUR|1ZMB|1ASPD	1ASPD|29DMG|3RCR|4ZMB|58DUR|6AART|7TLV|aVULN
24	55432 23133	   	178.12	ACR|2DMG|1AART|1VULN|2DUR|1ZMB|1ASPD	1ASPD|29DMG|3RCR|4ZMB|58DUR|6AART|7ERES|aVULN
25	55432 13133	   	177.62	ACR|2DMG|1AART|1VULN|2DUR|1ZMB|1ASPD	1ASPD|29DMG|3RCR|4ZMB|58DUR|6CGEN|7AART|aVULN
26	55335 11113	 * 	176.67	DCR|3DMG|2VULN|2ZMB|2ASPD	1aASPD|27aDMG|3LHND|45ZMB|6aVULN|8DMSP|9RCR|aBPWR
27	24216 15311	   	175.95	DCR|3VULN|2DMG|1CDMG|1DUR	127LIT|27BPWR|3LSRHEA|47DMG|578VULN|6RCR|9CDMG|aDUR
28	21455 23133	 * 	175.83	DCR|3DMG|1AART|2CDMG|2ASPD	1aLIT|245DMG|35CDMG|5aBPWR|6RCR|7aLWND|8AART|9aASPD
29	52413 13153	 * 	175.75	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	16ASPD|2LHND|3RCR|4ERES|5AART|79DMG|8VULN|aCDMG
30	34313 52252	 * 	174.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2FEWX|3RMIN|4RCR|5DUR|6ZMB|7DMG|89VULN|aAART
31	55232 13112	 * 	174.54	DCR|2DMG|1AART|1VULN|3ASPD|1CDMG	134ASPD|26DMG|5AART|7CDMG|8CGEN|9RCR|aVULN
32	55135 11113	 * 	174.45	DCR|2VULN|2DMG|3ZMB|2ASPD	1aASPD|27DMG|3LEGI|45aZMB|6aVULN|8DMSP|9RCR|aBPWR
33	55232 13312	   	174.44	DCR|2DMG|1AART|1VULN|3ASPD|1CDMG	134ASPD|26DMG|5AART|7CDMG|8ERES|9RCR|aVULN
34	31261 61316	   	174.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CDMG|2MGNSTR|3ZMB|4DUR|5DMSP|6AART|79DMG|8RCR|aVULN
35	33316 23428	 * 	174.38	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2BEXP|3RMIN|4RCR|5MBVNT|69DMG|78VULN|aAART
36	12423 23323	 * 	174.25	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1TLV|2LHND|3RCR|4aCDMG|5DUR|6DMG|7AART|89VULN
37	35313 22422	   	173.77	ACR|3DMG|2VULN|1CDMG|1DUR	1CDMG|2DUST|3RMIN|4RCR|5DUR|679DMG|8aVULN
38	35413 22322	   	173.77	ACR|3DMG|2VULN|1CDMG|1DUR	1CDMG|2DUST|3CGEN|4RCR|5DUR|679DMG|8aVULN
39	43433 43221	   	173.73	ACR|2VULN|2DMG|1AART|1ASPD|1SELL	169BEXP|2CGEN|3RCR|4AART|5SELL|79VULN|89DMG|9BPWR|aASPD
40	43433 63223	   	173.73	ACR|2VULN|2DMG|1AART|1DUR|1SELL	19BEXP|26CGEN|3RCR|4AART|5SELL|79VULN|89DMG|9BPWR|aDUR
41	35513 22322	   	173.67	ACR|3DMG|2VULN|1CDMG|1DUR	1CDMG|2DUST|3ERES|4RCR|5DUR|679DMG|8aVULN
42	21455 23112	   	173.43	DCR|3DMG|2AART|2CDMG	1LIT|245DMG|35CDMG|5BPWR|6RCR|7LWND|8aAART|9TLV
43	32412 26322	   	173.35	ACR|3DMG|2VULN|2CDMG	17CDMG|27LWND|3CGEN|4RCR|5DUST|679DMG|7BPWR|8aVULN
44	33412 26422	   	173.35	ACR|3DMG|2VULN|2CDMG	17CDMG|27BEXP|3CGEN|4RCR|5DUST|679DMG|7BPWR|8aVULN
45	52424 24425	   	173.33	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	18ASPD|29LHND|3RCR|4MBVNT|58DUR|68VULN|7AART|8BPWR|aDMG
46	32512 26322	   	173.25	ACR|3DMG|2VULN|2CDMG	17CDMG|27LWND|3ERES|4RCR|5DUST|679DMG|7BPWR|8aVULN
47	33512 26422	   	173.25	ACR|3DMG|2VULN|2CDMG	17CDMG|27BEXP|3ERES|4RCR|5DUST|679DMG|7BPWR|8aVULN
48	55432 21333	   	173.12	ACR|2DMG|1AART|2ASPD|1CDMG|1ZMB|1DUR	19ASPD|28DMG|3RCR|4ZMB|5DUR|6AART|7FEWX|aCDMG
49	55333 11113	   	172.82	DCR|3DMG|2VULN|2ASPD|1ZMB	1aASPD|27aDMG|35LHND|4ZMB|6aVULN|8DMSP|9RCR|aBPWR
50	52434 23331	 * 	172.77	ACR|2VULN|2AART|1DMG|1ASPD|1DUR	1ASPD|2LHND|3RCR|46VULN|5DUR|7aAART|8DMG|9BEXP
51	21421 52433	   	172.72	DCR|3DMG|2VULN|1CDMG|1ZMB	1LIT|27aDMG|3CDMG|4RCVC|58VULN|6ZMB|9RCR
52	55433 22333	   	172.52	ACR|2DMG|1AART|2ASPD|1CDMG|1ZMB|1DUR	19ASPD|28DMG|3RCR|4ZMB|5LHND|6DUR|7AART|aCDMG
53	32316 22528	 * 	172.45	ACR|3DMG|1AART|1VULN|1CDMG	1CDMG|2LWND|3RMIN|4RCR|5MBVNT|679DMG|8VULN|aAART
54	52424 24111	   	172.23	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2LHND|3RCR|4MBVNT|5DUR|6aVULN|7AART|8DMG|9ZMB
55	55332 42333	   	172.10	DCR|2DMG|1AART|2ASPD|1CDMG|1ZMB|1DUR	19ASPD|28DMG|3LHND|4ZMB|5DUR|6RCR|7AART|aCDMG
56	55132 42333	   	172.00	DCR|2DMG|1AART|2ASPD|1CDMG|1ZMB|1DUR	19ASPD|28DMG|3LEGI|4ZMB|5DUR|6RCR|7AART|aCDMG
57	55132 22427	   	171.60	DCR|2VULN|2DMG|2ASPD|2DUR|1ZMB	1aASPD|2aDMG|3LEGI|4ZMB|56DUR|7MBVNT|8RCR|9aVULN|aBPWR
58	15432 21216	   	171.20	DCR|3VULN|2DMG|2DUR|1ZMB	1TLV|27DMG|3ZMB|48aVULN|56DUR|9RCR
59	24216 15233	   	171.12	DCR|3VULN|3DMG	127LIT|279BPWR|39LSRHEA|479DMG|579VULN|6RCR|8RMIN|aLHND
60	24216 15232	   	171.02	DCR|3VULN|3DMG	127LIT|279BPWR|39LSRHEA|479DMG|579VULN|6RCR|8RMIN|aDUST
61	52412 12163	 * 	170.94	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1DUR|1ASPD	1ASPD|2LHND|3RCR|4ERES|5FLTHEA|6DUR|7AART|8CDMG|9DMG|aVULN
62	32413 23365	   	170.93	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2LWND|3CGEN|4RCR|5aDUR|6DMG|7AART|89VULN
63	32513 23365	   	170.83	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2LWND|3ERES|4RCR|5aDUR|6DMG|7AART|89VULN
64	33313 22252	   	170.77	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CDMG|2BEXP|3RMIN|4RCR|5DUR|6DMG|7ASPD|89VULN|aAART
65	33413 22552	   	170.77	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CDMG|2BEXP|3CGEN|4RCR|5DUR|6DMG|7ASPD|89VULN|aAART
66	52424 24463	 * 	170.73	ACR|2VULN|1AART|3DUR|2ASPD|1CDMG	18ASPD|2LHND|3RCR|4MBVNT|58aDUR|68VULN|7AART|8BPWR|9CDMG
67	33513 22552	   	170.67	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1CDMG|2BEXP|3ERES|4RCR|5DUR|6DMG|7ASPD|89VULN|aAART
68	52424 24117	 * 	170.60	ACR|1AART|1DMG|1VULN|2ZMB|2ASPD|2DUR	1aASPD|2LHND|3RCR|4MBVNT|5aDUR|6VULN|7AART|8DMG|9aZMB|aBPWR
69	32416 27343	 * 	170.25	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	17CDMG|2LWND|37CGEN|4RCR|5MBVNT|67DMG|7BPWR|8VULN|9DUR|aAART
70	33513 26342	   	170.25	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	17CDMG|27BEXP|3ERES|4RCR|5DUR|67DMG|7BPWR|8VULN|9CGEN|aAART
71	32516 27343	   	170.05	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	17CDMG|2LWND|37ERES|4RCR|5MBVNT|67DMG|7BPWR|8VULN|9DUR|aAART
72	21322 52432	   	169.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1LIT|27DMG|3CGEN|4ASPD|5CDMG|6ZMB|8VULN|9RCR|aAART
73	43433 53333	   	169.59	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1SELL	1BEXP|2CGEN|3RCR|4AART|5SELL|6CDMG|79DMG|8ASPD|aVULN
74	15433 35333	   	169.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1TLV|2DMG|3ZMB|47VULN|5LHND|6AART|8CDMG|9DUR|aRCR
75	24216 15333	   	169.47	DCR|4VULN|2DMG	127LIT|27BPWR|3LSRHEA|47DMG|578aVULN|6RCR|9CGEN
