0	Index      	 *	Score 	Summary	Detail	
1	51226 33622	 * 	196.05	DCR|2VULN|2DMG|2AART|1CDMG|1DUR	1CDMG|2LHND|35VULN|4DUR|6RCR|7aDMG|89AART
2	22233 36336	 * 	187.87	DCR|4VULN|2DMG|1AART	17CGEN|257aVULN|3RCVC|47DMG|6AART|7BPWR|8ERES|9RCR
3	51226 32522	   	186.00	DCR|2VULN|2AART|1DMG|1CDMG|1ASPD|1DUR	1CDMG|2LHND|35VULN|4DUR|6RCR|79AART|8ASPD|aDMG
4	51226 33611	   	184.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2LHND|35VULN|4DUR|6RCR|7aDMG|8AART|9RPLT
5	51226 33632	   	184.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2LHND|35VULN|4DUR|6RCR|7aDMG|8AART|9RCVC
6	51226 32342	 * 	183.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LHND|358VULN|4DUR|6RCR|7AART|9MLV|aDMG
7	51226 32362	   	183.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LHND|358VULN|4DUR|6RCR|7AART|9ERES|aDMG
8	22313 13346	   	181.37	DCR|3VULN|2DMG|1AART	1CGEN|28aVULN|39DMG|4ERES|5AART|6RCR|7MLV
9	22233 36334	   	180.71	DCR|3VULN|2DMG|1AART|1DUR	17CGEN|257VULN|3RCVC|47DMG|6AART|7BPWR|8ERES|9RCR|aDUR
10	45323 62332	   	180.57	DCR|3VULN|2DMG|1AART|1ZMB	1LSRICY|2RMIN|356VULN|46DMG|6BPWR|7BEXP|8ZMB|9AART|aRCR
11	51224 23622	 * 	180.39	ACR|2DMG|2AART|1VULN|2CDMG|1DUR	16CDMG|2LHND|3VULN|4DUR|5RCR|7aDMG|89AART
12	12333 11122	   	179.59	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1ERES|2aVULN|39DMG|4MLV|5AART|6RCR|7ASPD|8DUR
13	12353 11122	   	179.49	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1ERES|2aVULN|39DMG|4TLV|5AART|6RCR|7ASPD|8DUR
14	22322 12112	   	179.41	DCR|3VULN|2DMG|1AART|1DUR	1CGEN|27aVULN|36DMG|4LHND|5DUR|8AART|9RCR
15	22331 12112	   	179.41	DCR|3VULN|2DMG|1AART|1DUR	1CGEN|27aVULN|36DMG|4DUR|5LHND|8AART|9RCR
16	51224 13622	   	179.38	ACR|2DMG|2AART|1VULN|1CDMG|2DUR	1CDMG|2LHND|3VULN|46DUR|5RCR|7aDMG|89AART
17	12333 14624	   	179.26	DCR|2VULN|2DMG|1AART|1CDMG	1ERES|28VULN|3aDMG|4MLV|5AART|6RCR|7DUST|9CDMG
18	22313 14324	   	179.26	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|28VULN|3aDMG|4ERES|5AART|6RCR|7DUST|9CDMG
19	51226 32422	   	179.06	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2LHND|35VULN|4DUR|6RCR|79AART|8RMIN|aDMG
20	12333 12555	 * 	178.49	DCR|3VULN|1AART|1DMG|2ZMB|1SELL	19ERES|29aVULN|3DMG|4MLV|5AART|6RCR|7SELL|89ZMB|9BPWR
21	51226 33623	   	178.46	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2LHND|35VULN|4DUR|6RCR|7DMG|89AART|aBELT
22	51225 33622	   	178.46	DCR|2DMG|2AART|1VULN|1CDMG|1DUR	1CDMG|2LHND|3VULN|4DUR|5DMSP|6RCR|7aDMG|89AART
23	54231 33622	   	178.46	DCR|2DMG|2AART|1VULN|1CDMG|1DUR	1CDMG|2DUR|3VULN|4CGEN|5MLV|6RCR|7aDMG|89AART
24	51226 33621	   	178.36	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2LHND|35VULN|4DUR|6RCR|7DMG|89AART|aDUST
25	51226 33613	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2LHND|35VULN|4DUR|6RCR|7DMG|8AART|9RPLT|aZMB
26	12333 13346	   	177.88	DCR|4VULN|1AART|1DMG	1ERES|289aVULN|3DMG|47MLV|5AART|6RCR
27	12333 16346	   	177.88	DCR|4VULN|1AART|1DMG	1ERES|289aVULN|3DMG|4MLV|5AART|6RCR|7RCVC
28	51226 33141	   	177.86	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2LHND|35VULN|4DUR|6RCR|7DMG|8BEXP|9aAART
29	51226 33341	   	177.86	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2LHND|35VULN|4DUR|6RCR|7DMG|8LWND|9aAART
30	51226 31342	   	177.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2LHND|35VULN|4DUR|6RCR|7BEXP|8ZMB|9AART|aDMG
31	12333 14625	   	177.33	DCR|3VULN|1AART|1DMG|1CDMG	1ERES|28aVULN|3DMG|4MLV|5AART|6RCR|7DUST|9CDMG
