0	Index      	 *	Score 	Summary	Detail	
1	61524 24132	 * 	220.50	ACR|3VULN|3DMG|1AART|2CDMG	1RCR|279VULN|3AIRHEL|49aDMG|59CDMG|6MBVNT|8AART|9BPWR
2	61521 36131	 * 	214.74	ACR|4VULN|3DMG|1AART	1RCR|2679VULN|379AIRHEL|479DMG|5RPLT|79BPWR|8AART|aLWND
3	61521 36132	   	214.64	ACR|4VULN|3DMG|1AART	1RCR|2679VULN|379AIRHEL|479DMG|5RPLT|79BPWR|8AART|aERES
4	61521 36133	   	214.64	ACR|4VULN|3DMG|1AART	1RCR|2679VULN|379AIRHEL|479DMG|5RPLT|79BPWR|8AART|aTLV
5	61524 24131	   	211.79	ACR|3VULN|2DMG|1AART|2CDMG	1RCR|279VULN|3AIRHEL|49DMG|59CDMG|6MBVNT|8AART|9BPWR|aDUR
6	61162 31122	   	207.45	ACR|3VULN|2DMG|1AART|2CDMG	1RCR|29aVULN|3LWND|4AART|59CDMG|6RPLT|79DMG|8RMIN|9BPWR
7	61162 31126	   	207.45	ACR|3DMG|2VULN|1AART|2CDMG	1RCR|29VULN|3LWND|4AART|59CDMG|6RPLT|79aDMG|8RMIN|9BPWR
8	61162 25211	 * 	207.01	ACR|3VULN|1AART|3CDMG|1DMG|1ZMB	1RCR|278VULN|367LWND|4AART|578CDMG|78BPWR|9DMG|aZMB
9	61524 24133	   	204.85	ACR|3VULN|2DMG|1AART|2CDMG	1RCR|279VULN|3AIRHEL|49DMG|59CDMG|6MBVNT|8AART|9BPWR|aRMIN
10	61524 24134	   	204.85	ACR|3VULN|2DMG|1AART|2CDMG	1RCR|279VULN|3AIRHEL|49DMG|59CDMG|6MBVNT|8AART|9BPWR|aLHND
11	61524 22132	   	204.75	ACR|3DMG|2VULN|1AART|2CDMG	1RCR|29VULN|37AIRHEL|49aDMG|59CDMG|6MBVNT|8AART|9BPWR
12	61162 22531	   	202.70	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	1RCR|28VULN|36LWND|4AART|58CDMG|78DMG|8BPWR|9NUKE|aZMB
13	65213 24427	   	202.24	ACR|3VULN|3DMG|1AART	1RCR|2DMSP|3MBVNT|469VULN|5AART|79aDMG|89DUST|9BPWR
