0	Index      	 *	Score 	Summary	Detail	
1	63235 33263	 * 	202.60	ACR|2DMG|3ZMB|1AART|2CDMG|1VULN	1RCR|23aZMB|4AART|5VULN|6aCDMG|7CGEN|8LIT|9aDMG|aBPWR
2	22334 14413	 * 	201.21	DCR|3VULN|2DMG|1AART|1ZMB|1ASPD	19aVULN|2AART|3ASPD|4FEWX|5ZMB|6RCR|78DMG
3	22252 11535	 * 	199.38	DCR|3VULN|2AART|1DMG|1CDMG|1ZMB	14aVULN|25AART|3RPLT|6CDMG|7RCR|8ZMB|9DMG
4	22334 14432	 * 	199.21	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	1aVULN|2AART|3ASPD|4FEWX|5ZMB|6RCR|78DMG|9CDMG
5	63233 43236	 * 	197.94	ACR|2AART|2VULN|2DMG|2ZMB	1RCR|23ZMB|49AART|5RPLT|6aDMG|78VULN
6	22334 14213	 * 	197.72	DCR|4VULN|1AART|1DMG|1ZMB|1ASPD	189aVULN|2AART|3ASPD|4FEWX|5ZMB|6RCR|7DMG
7	22624 14213	   	197.72	DCR|4VULN|1AART|1DMG|1ZMB|1ASPD	189aVULN|2AART|3LHND|4ASPD|5ZMB|6RCR|7DMG
8	66113 12422	 * 	197.52	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1RCR|25DUR|3BELT|4AART|6aDMG|79VULN|8CDMG
9	22334 14232	   	197.27	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	18aVULN|2AART|3ASPD|4FEWX|5ZMB|6RCR|7DMG|9CDMG
10	63235 33631	 * 	196.08	ACR|2VULN|3ZMB|1AART|1DMG|1CDMG	1RCR|23aZMB|4AART|58VULN|6CDMG|7CGEN|9DMG
11	63211 51633	 * 	196.03	ACR|3VULN|1AART|1DMG|2ZMB|1ASPD|1DUR	1RCR|23ZMB|45aVULN|6DUR|7ASPD|8AART|9DMG
12	66113 12432	 * 	195.58	ACR|3DMG|1AART|1VULN|1CDMG|2DUR	1RCR|25DUR|3BELT|4AART|69aDMG|7VULN|8CDMG
13	63215 32163	 * 	195.39	ACR|3VULN|3ZMB|1AART|1DMG	1RCR|235ZMB|458VULN|58BPWR|68LWND|78BEXP|9AART|aDMG
14	22256 11531	   	194.87	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	145VULN|2AART|3RPLT|6CDMG|7RCR|8ZMB|9DMG|aASPD
15	63233 43233	 * 	194.00	ACR|2AART|2VULN|1DMG|2ZMB|1CDMG	1RCR|23ZMB|49AART|5RPLT|6DMG|78VULN|aCDMG
16	66111 12531	 * 	193.68	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG|2DUR	1RCR|29DUR|3BELT|4AART|5VULN|69ASPD|7RPLT|89DMG|9BPWR|aCDMG
17	22334 14235	   	193.07	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1ASPD	18VULN|2aAART|3ASPD|4FEWX|5ZMB|6RCR|7DMG|9CDMG
18	22561 43213	 * 	192.71	ACR|3DMG|2AART|1VULN|2CDMG	1VULN|24AART|37CDMG|5RCR|6MGNSTR|89aDMG
19	22334 14411	 * 	192.17	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	19VULN|2AART|3aASPD|4FEWX|5ZMB|6RCR|78DMG
20	63211 52263	   	191.87	ACR|2VULN|3ZMB|1AART|1DMG|2DUR	1RCR|238ZMB|45VULN|68DUR|78LWND|8BPWR|9AART|aDMG
21	63233 43212	   	191.49	ACR|3VULN|1AART|1DMG|2ZMB|1ASPD	1RCR|23ZMB|4AART|5RPLT|6DMG|78aVULN|9ASPD
22	22252 11531	   	190.67	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1ASPD	14VULN|25AART|3RPLT|6CDMG|7RCR|8ZMB|9DMG|aASPD
23	66111 23232	 * 	190.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2DUR|3BELT|4AART|58aVULN|6MLV|7CDMG|9DMG
24	66114 33232	   	190.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2DUR|3BELT|4AART|5MLV|68aVULN|7CDMG|9DMG
25	22334 14211	 * 	190.23	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	189VULN|2AART|3aASPD|4FEWX|5ZMB|6RCR|7DMG
26	22624 14211	   	190.23	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	189VULN|2AART|3LHND|4aASPD|5ZMB|6RCR|7DMG
27	66111 43232	   	190.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2DUR|3BELT|4AART|58aVULN|6ERES|7CDMG|9DMG
28	66112 33232	   	190.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2DUR|3BELT|4AART|5TLV|68aVULN|7CDMG|9DMG
29	66116 33232	   	190.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2DUR|3BELT|4AART|5ERES|68aVULN|7CDMG|9DMG
30	66324 31211	 * 	190.07	ACR|4VULN|1AART|1CDMG|1ASPD|1DUR	1RCR|2DUR|3CDMG|4589VULN|6AART|7RPLT|aASPD
31	22324 36361	 * 	189.72	DCR|3VULN|2DMG|1AART|2ASPD	18aVULN|2AART|38ASPD|4RPLT|5LHND|6ERES|78DMG|8BPWR|9RCR
32	22336 36361	   	189.72	DCR|3VULN|2DMG|1AART|2ASPD	18aVULN|2AART|38ASPD|4FEWX|5RPLT|6ERES|78DMG|8BPWR|9RCR
33	63235 35322	   	189.49	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1RCR|23ZMB|4AART|59VULN|6CDMG|7DUR|8BELT|aDMG
34	63235 35332	   	189.49	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1RCR|23ZMB|4AART|5aVULN|6CDMG|7DUR|8BELT|9DMG
35	63235 36122	   	189.49	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	1RCR|23ZMB|4AART|5aVULN|6CDMG|7FEWX|8ASPD|9DMG
36	63233 43251	   	189.49	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	1RCR|23ZMB|4AART|5RPLT|6DMG|78VULN|9CDMG|aASPD
37	63233 43611	   	189.49	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	1RCR|23ZMB|4AART|5RPLT|6DMG|79VULN|8CDMG|aASPD
38	63235 11623	 * 	189.47	ACR|3VULN|2AART|3ZMB	1RCR|239ZMB|48AART|59aVULN|6RMIN|79TLV|9BPWR
39	63233 43214	   	189.37	ACR|2VULN|3ZMB|1AART|1DMG|1ASPD	1RCR|23aZMB|4AART|5RPLT|6DMG|78VULN|9ASPD
40	63221 61633	   	189.19	ACR|3VULN|1AART|1DMG|2ZMB|1ASPD	1RCR|23ZMB|46FEWX|56aVULN|6BPWR|7ASPD|8AART|9DMG
41	63211 61633	   	188.99	ACR|3VULN|1AART|1DMG|2ZMB|1ASPD	1RCR|23ZMB|45aVULN|6DUST|7ASPD|8AART|9DMG
42	66324 32121	   	188.99	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2DUR|3CDMG|459VULN|6AART|7LSRREG|8DMG|aLWND
43	66324 32122	   	188.99	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2DUR|3CDMG|459VULN|6AART|7LSRREG|8DMG|aMLV
44	66324 32123	   	188.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2DUR|3CDMG|459VULN|6AART|7LSRREG|8DMG|aDUST
45	63235 31135	 * 	188.86	ACR|2VULN|1AART|1DMG|2CDMG|2ZMB	1RCR|23ZMB|4AART|5aVULN|67CDMG|8RPLT|9DMG
46	63215 32115	 * 	188.83	ACR|4VULN|3ZMB|1AART	1RCR|235ZMB|4589VULN|58BPWR|68LWND|78BEXP|aAART
