0	Index      	 *	Score 	Summary	Detail	
1	16337 21227	 * 	265.96	橙橙2易伤2雷电1矿等	1赏金塔2加一37雷电4头目57易伤67敌人爆炸7序列升级8矿等9a核
2	23122 21651	 * 	265.46	橙橙1易伤1伤害1矿等1全技能1暴击1卖塔	1挖尘2全技能3赏金塔4暴击5矿等6易伤7a核8卖塔9伤害
3	16614 37411	 * 	260.53	橙橙1易伤1等级1技能1雷电	1赏金塔2加一3等级4时间5平台6雷电78核9易伤a技能
4	16614 37414	 * 	257.22	橙橙2等级1易伤1雷电	1赏金塔2加一3a等级4时间5平台6雷电78核9易伤
5	11346 23221	 * 	256.98	橙橙2伤害2矿等1全技能1技能	1赏金塔25伤害35矿等4全技能5序列升级6a核7低血量敌人8技能9时间
6	11346 21221	   	256.88	橙橙2伤害2矿等1全技能1技能	1赏金塔25伤害35矿等4全技能5序列升级6a核7挖尘8技能9时间
7	16631 37411	   	253.59	橙橙1易伤1等级1技能1雷电	1赏金塔2加一3等级4平台5基地爆炸6雷电78核9易伤a技能
8	16632 37411	   	253.59	橙橙1易伤1等级1技能1雷电	1赏金塔2加一3等级4平台5最后敌人6雷电78核9易伤a技能
9	16644 37411	   	253.59	橙橙1易伤1等级1技能1雷电	1赏金塔2加一3等级4最后敌人5平台6雷电78核9易伤a技能
10	16631 37414	   	250.28	橙橙2等级1易伤1雷电	1赏金塔2加一3a等级4平台5基地爆炸6雷电78核9易伤
11	16632 37414	   	250.28	橙橙2等级1易伤1雷电	1赏金塔2加一3a等级4平台5最后敌人6雷电78核9易伤
12	16644 37414	   	250.28	橙橙2等级1易伤1雷电	1赏金塔2加一3a等级4最后敌人5平台6雷电78核9易伤
13	11346 21211	   	249.94	橙橙2伤害2矿等1全技能1技能	1赏金塔25伤害35矿等4全技能5序列升级6a核7挖尘8技能9基地爆炸
14	11346 21231	   	249.94	橙橙2伤害2矿等1全技能1技能	1赏金塔25伤害35矿等4全技能5序列升级6a核7挖尘8技能9低血量敌人
15	11346 23251	   	249.94	橙橙2伤害2矿等1全技能1技能	1赏金塔25伤害35矿等4全技能5序列升级6a核7低血量敌人8技能9挖尘
16	16614 37412	   	246.88	橙橙1易伤1等级1雷电	1赏金塔2加一3等级4时间5平台6雷电78核9易伤a金币生成
17	16614 37413	   	246.88	橙橙1易伤1等级1雷电	1赏金塔2加一3等级4时间5平台6雷电78核9易伤a低血量敌人
18	16413 71171	 * 	242.47	橙2易伤2伤害1等级2雷电1全技能1卖塔	1赏金塔2加一39伤害4全技能5卖塔6等级79易伤89雷电9序列升级a核
19	61121 61163	 * 	240.99	橙橙1等级1喷火对甲1雷电	1金币生成2核弹3喷火对甲4赏金邻近5随机技能69核7时间8雷电a等级
20	16431 75122	 * 	240.29	橙橙2伤害1易伤	1赏金塔2加一36伤害4基地爆炸5随机技能7a核8赏金邻近9易伤
21	16631 37412	   	239.94	橙橙1易伤1等级1雷电	1赏金塔2加一3等级4平台5基地爆炸6雷电78核9易伤a金币生成
22	16631 37413	   	239.94	橙橙1易伤1等级1雷电	1赏金塔2加一3等级4平台5基地爆炸6雷电78核9易伤a低血量敌人
23	16632 37412	   	239.94	橙橙1易伤1等级1雷电	1赏金塔2加一3等级4平台5最后敌人6雷电78核9易伤a金币生成
24	16632 37413	   	239.94	橙橙1易伤1等级1雷电	1赏金塔2加一3等级4平台5最后敌人6雷电78核9易伤a低血量敌人
25	16644 37412	   	239.94	橙橙1易伤1等级1雷电	1赏金塔2加一3等级4最后敌人5平台6雷电78核9易伤a金币生成
26	16644 37413	   	239.94	橙橙1易伤1等级1雷电	1赏金塔2加一3等级4最后敌人5平台6雷电78核9易伤a低血量敌人
27	16514 37414	   	239.94	橙橙1易伤1等级1雷电	1赏金塔2加一3最后敌人4随机矿5平台6雷电78核9易伤a等级
28	16348 37414	   	239.84	橙橙1易伤1等级1雷电	1赏金塔2加一3雷电4基地爆炸5技能点6平台78核9易伤a等级
29	16337 22227	   	239.55	橙橙1易伤2雷电1矿等	1赏金塔2加一37雷电4头目5易伤6敌人爆炸8矿等9a核
30	36364 11223	 * 	239.50	橙3易伤1等级2暴击1全技能1攻速	15喷火对愈2全技能345易伤5序列升级67暴击8核9等级a攻速
31	16423 24542	 * 	239.35	橙橙1等级1伤害1矿等	1赏金塔2加一3伤害4金币生成5等级6加农对壮7a核8矿等9时间
32	16423 64542	   	239.35	橙橙1等级1伤害1矿等	1赏金塔2加一3伤害4金币生成5等级6导弹对黄7a核8矿等9时间
33	16454 13342	   	237.45	橙橙2伤害1矿等2时间	1赏金塔2加一35伤害45时间5序列升级6矿等7加农对甲8低血量敌人9a核
34	16454 13842	   	237.45	橙橙2伤害1矿等2时间	1赏金塔2加一35伤害45时间5序列升级6矿等7加农对甲8敌人爆炸9a核
35	16454 13242	   	237.35	橙橙2伤害1矿等2时间	1赏金塔2加一35伤害45时间5序列升级6矿等7加农对甲8挖尘9a核
36	14333 23226	   	236.38	橙橙1易伤1矿等1技能1雷电	1赏金塔2时间3雷电4头目5策反6易伤7技能8矿等9a核
37	16337 44227	   	236.18	橙橙1易伤1矿等1雷电	1赏金塔2加一3雷电4头目5易伤6烈焰减费7时间8矿等9a核
