0	Index      	 *	Score 	Summary	Detail	
1	36125 51332	 * 	292.89	DCR|DCR|3VULN|1TLV|1MLV|1NUKE	1MLV|2RPLT|3NUKE|4BBNT|59aVULN|68RCR|7TLV
2	34365 41133	 * 	278.36	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1MLV|2DMG|3MBVNT|4DUR|5LIT|69RCR|7aVULN|8BEXP
3	34383 41333	   	278.36	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1MLV|2DMG|3MBVNT|4BOSS|5BEXP|69RCR|7aVULN|8DUR
4	34315 41333	   	278.26	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1MLV|2DMG|3MBVNT|4DUST|5LIT|69RCR|7aVULN|8DUR
5	34386 41333	   	278.26	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1MLV|2DMG|3MBVNT|4BOSS|5DUST|69RCR|7aVULN|8DUR
6	34318 41332	 * 	272.11	DCR|DCR|2MLV|1TLV|1DMG|1DUR|1AART	15MLV|2DMG|3MBVNT|4DUST|6aRCR|7DUR|8TLV|9AART
7	36125 51331	   	270.75	DCR|DCR|2VULN|1TLV|1MLV|1NUKE	1MLV|2RPLT|3NUKE|4BBNT|59VULN|68RCR|7TLV|aBEXP
8	36125 51322	   	270.75	DCR|DCR|2VULN|1TLV|1MLV|1NUKE	1MLV|2RPLT|3NUKE|4BBNT|5aVULN|68RCR|7TLV|9LWND
9	36125 51333	   	270.65	DCR|DCR|2VULN|1TLV|1MLV|1NUKE	1MLV|2RPLT|3NUKE|4BBNT|59VULN|68RCR|7TLV|aERES
10	36125 51311	   	270.50	DCR|DCR|2VULN|1TLV|1MLV|1NUKE|1SELL	1MLV|2RPLT|3NUKE|4BBNT|5aVULN|68RCR|7TLV|9SELL
11	34365 41134	   	265.81	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1CDMG	1MLV|2DMG|3MBVNT|4DUR|5LIT|69RCR|7VULN|8BEXP|aCDMG
12	34383 41334	   	265.81	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1CDMG	1MLV|2DMG|3MBVNT|4BOSS|5BEXP|69RCR|7VULN|8DUR|aCDMG
13	34364 42732	   	265.71	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AART	1MLV|2DMG|3MBVNT|4DUR|5AEFRZ|6aRCR|7CGEN|8VULN|9AART
14	34315 41334	   	265.71	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1CDMG	1MLV|2DMG|3MBVNT|4DUST|5LIT|69RCR|7VULN|8DUR|aCDMG
15	34386 41334	   	265.71	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1CDMG	1MLV|2DMG|3MBVNT|4BOSS|5DUST|69RCR|7VULN|8DUR|aCDMG
16	34315 41833	   	264.61	DCR|DCR|2VULN|1DMG|1MLV	1MLV|2DMG|3MBVNT|4DUST|5LIT|69RCR|7aVULN|8BEXP
17	34381 41338	 * 	264.61	DCR|DCR|1VULN|2DUR|1DMG|1MLV	1MLV|2DMG|3MBVNT|4BOSS|5FEWX|69RCR|7VULN|8aDUR
18	34383 41338	   	264.61	DCR|DCR|1VULN|2DUR|1DMG|1MLV	1MLV|2DMG|3MBVNT|4BOSS|5BEXP|69RCR|7VULN|8aDUR
19	34315 41338	   	264.51	DCR|DCR|1VULN|2DUR|1DMG|1MLV	1MLV|2DMG|3MBVNT|4DUST|5LIT|69RCR|7VULN|8aDUR
