0	Index      	 *	Score 	Summary	Detail	
1	23621 27544	 * 	295.95	DCR|DCR|2VULN|2DMG|1MLV|1DUR	1MBVNT|28ERES|3RMIN|48DMG|5DUR|6MLV|78VULN|8BPWR|9aRCR
2	23628 37144	 * 	288.86	DCR|DCR|2VULN|1TLV|1DMG|1DUR	1MBVNT|2ERES|3RMIN|4DMG|5TLV|6DUR|78VULN|9aRCR
3	28621 17144	   	288.86	DCR|DCR|2VULN|1TLV|1DMG|1DUR	1MBVNT|2TLV|3RMIN|4DMG|5DUR|6ERES|78VULN|9aRCR
4	28822 37344	   	288.86	DCR|DCR|2VULN|1TLV|1DMG|1DUR	1MBVNT|2TLV|3AEFRZ|49VULN|5DMG|6DUR|7aRCR|8FEWX
5	53213 21243	   	284.60	DCR|DCR|2VULN|1TLV|1MLV|1CDMG	1LIT|2ZMB|3CDMG|4MLV|59VULN|6aRCR|7LWND|8TLV
6	53213 26233	   	284.50	DCR|DCR|2VULN|1TLV|1MLV|1CDMG	1LIT|2ZMB|3CDMG|4MLV|59VULN|6aRCR|7DUST|8TLV
7	43622 45343	   	282.44	DCR|DCR|2VULN|1TLV|1CDMG|1AAC	1AEBURN|2CDMG|3MBVNT|49VULN|5TLV|6RAT|78RCR|aAAC
8	23624 27544	   	282.30	DCR|DCR|2VULN|2DMG|1MLV	1MBVNT|28ERES|3RMIN|48DMG|5FEWX|6MLV|78VULN|8BPWR|9aRCR
9	21732 67244	 * 	281.25	DCR|DCR|2VULN|2DUR|1TLV	1MBVNT|26DUR|3ZMB|45VULN|7DUST|8TLV|9aRCR
10	23621 37544	   	280.34	DCR|DCR|2VULN|2DMG|1DUR	1MBVNT|28ERES|3RMIN|48DMG|5DUR|6CGEN|78VULN|8BPWR|9aRCR
11	23621 27144	   	278.26	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1MBVNT|2ERES|3RMIN|4DMG|5DUR|6MLV|78VULN|9aRCR
12	21272 48544	 * 	277.38	DCR|DCR|3VULN|2DUR	1MBVNT|28DUR|3AETHUN|48ZMB|568VULN|7RMIN|8BPWR|9aRCR
13	21734 48544	   	277.38	DCR|DCR|3VULN|2DUR	1MBVNT|28DUR|38ZMB|468VULN|5AETHUN|7RMIN|8BPWR|9aRCR
14	28824 11244	   	275.63	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|2TLV|38AEFRZ|45VULN|6ASPD|7DUR|9aRCR
15	28624 17144	   	275.21	DCR|DCR|2VULN|1TLV|1DMG	1MBVNT|2TLV|3RMIN|4DMG|5FEWX|6ERES|78VULN|9aRCR
16	28626 12144	   	275.21	DCR|DCR|2VULN|1TLV|1DMG	1MBVNT|2TLV|3RMIN|4DMG|58VULN|6ERES|7FEWX|9aRCR
17	28626 24144	   	275.21	DCR|DCR|2VULN|1TLV|1DMG	1MBVNT|2TLV|3RMIN|4DMG|58VULN|6DUST|7CGEN|9aRCR
18	23628 47144	   	275.11	DCR|DCR|2VULN|1TLV|1DMG	1MBVNT|2ERES|3RMIN|4DMG|5TLV|6AETHUN|78VULN|9aRCR
19	28623 17144	   	275.11	DCR|DCR|2VULN|1TLV|1DMG	1MBVNT|2TLV|3RMIN|4DMG|5AETHUN|6ERES|78VULN|9aRCR
20	28822 47344	   	275.11	DCR|DCR|2VULN|1TLV|1DMG	1MBVNT|2TLV|3AEFRZ|49VULN|5DMG|6AETHUN|7aRCR|8FEWX
21	21328 23344	 * 	271.14	DCR|DCR|2DMG|2TLV|2DUR	1MBVNT|29DUR|3RCVC|49DMG|59TLV|6LEGI|7RMIN|8aRCR|9BPWR
22	23317 78144	 * 	271.04	DCR|DCR|3VULN|1DMG	1MBVNT|25ERES|3MDPS|458VULN|5BPWR|6RCVC|7DMG|9aRCR
23	21837 21483	 * 	270.94	DCR|3VULN|3DMG|3DUR|1AAC	1MBVNT|289DUR|3LIT|489DMG|589VULN|6RCR|7RCVC|89BPWR|aAAC
24	28343 42714	   	270.55	DCR|DCR|2VULN|1TLV|1MLV|1NUKE	1MBVNT|2TLV|3MDPS|4BBNT|57VULN|6aRCR|8MLV|9NUKE
25	52232 33463	   	269.84	DCR|DCR|2DMG|1VULN|1MLV|1CDMG	15LIT|2VULN|3LHND|45DMG|5BPWR|6CDMG|7aRCR|8MLV|9AME
26	52536 23233	 * 	269.17	DCR|DCR|2VULN|1DMG|2CDMG	1LIT|26VULN|3LWND|4DMG|56CDMG|6BPWR|7aRCR|8AEFRZ|9FEWX
27	13372 41244	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	17FEWX|2MBVNT|3DUR|4ZMB|56VULN|8TLV|9aRCR
28	13732 61244	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	17FEWX|2MBVNT|3ZMB|45VULN|6DUR|8TLV|9aRCR
29	13752 41244	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	17FEWX|2MBVNT|3ZMB|4DUR|56VULN|8TLV|9aRCR
30	21735 41244	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|2DUR|3ZMB|46VULN|57FEWX|8TLV|9aRCR
31	21738 37344	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|2DUR|3ZMB|49VULN|5TLV|6RCVC|7aRCR|8FEWX
32	21742 41244	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|2DUR|3ZMB|47FEWX|56VULN|8TLV|9aRCR
