0	Index      	 *	Score 	Summary	Detail	
1	21325 24236	 * 	282.44	DCR|DCR|2VULN|1TLV|1DUR|1CDMG	1ZMB|27VULN|3TBNT|4TLV|5CDMG|6DUR|8aRCR|9DUST
2	21211 34246	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	1ZMB|24VULN|3LHND|5TLV|6CDMG|7BBNT|8aRCR|9LWND
3	21211 34236	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1ZMB|24VULN|3LHND|5TLV|6CDMG|7BBNT|8aRCR|9DUST
4	21325 14236	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1ZMB|27VULN|3TBNT|4TLV|5CDMG|6LHND|8aRCR|9DUST
5	21325 34236	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1ZMB|27VULN|3TBNT|4TLV|5CDMG|6BEXP|8aRCR|9DUST
6	21325 26226	 * 	266.67	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	19ZMB|2VULN|3TBNT|49TLV|5CDMG|6DUR|79DUST|8aRCR|9BPWR
7	21325 26236	   	266.57	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1ZMB|2VULN|3TBNT|49TLV|5CDMG|6DUR|7DUST|8aRCR
8	64222 34311	 * 	262.55	DCR|DCR|1VULN|1TLV|1DMG|1AART	1AART|2MBVNT|3LHND|4DMG|5BASHEA|6VULN|7ERES|8aRCR|9TLV
9	64222 37331	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1AART	1AART|2MBVNT|3LHND|4DMG|5BASHEA|6VULN|7TLV|8aRCR|9ERES
10	64226 34311	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1AART	1AART|2MBVNT|3LHND|4DMG|5BLASTR|6VULN|7ERES|8aRCR|9TLV
11	21233 34246	   	258.29	DCR|DCR|2VULN|1MLV|1CDMG	1ZMB|25VULN|3LHND|4MLV|6CDMG|7BBNT|8aRCR|9LWND
12	21325 63236	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1ZMB|2VULN|3TBNT|4TLV|5CDMG|6MLV|7CGEN|8aRCR|9LWND
13	21233 34236	   	258.19	DCR|DCR|2VULN|1MLV|1CDMG	1ZMB|25VULN|3LHND|4MLV|6CDMG|7BBNT|8aRCR|9DUST
14	21151 34236	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1ZMB|2VULN|3MLV|4RMIN|5TLV|6CDMG|7BBNT|8aRCR|9DUST
15	21141 34236	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1ZMB|2VULN|3MLV|4TLV|5AME|6CDMG|7BBNT|8aRCR|9DUST
16	61623 41311	   	256.44	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1AART|2VULN|3RPLT|4LHND|5CGEN|6FRZICY|7CDMG|8aRCR|9TLV
17	25133 28121	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	1ZMB|2MGNSTR|3RAT|4MBVNT|5DUR|6aRCR|7TLV|8VULN|9AART
18	61255 11311	   	256.34	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1AART|2VULN|3CANTOX|4RPLT|5LWND|6CGEN|7CDMG|8aRCR|9TLV
19	61615 11311	   	256.34	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1AART|2VULN|3RPLT|4MULHEA|5LWND|6CGEN|7CDMG|8aRCR|9TLV
20	61623 21311	   	256.34	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1AART|2VULN|3RPLT|4LHND|5CGEN|6MSLFST|7CDMG|8aRCR|9TLV
21	61254 11311	   	256.24	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1AART|2VULN|3CANTOX|4RPLT|5LEGI|6CGEN|7CDMG|8aRCR|9TLV
22	61614 11311	   	256.24	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1AART|2VULN|3RPLT|4MULHEA|5LEGI|6CGEN|7CDMG|8aRCR|9TLV
23	61652 21311	   	256.24	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1AART|2VULN|3RPLT|4ERES|5LHND|6MSLFST|7CDMG|8aRCR|9TLV
24	25151 62233	   	255.34	DCR|DCR|2VULN|1TLV	1ZMB|2MGNSTR|3RAT|4RPLT|5FEWX|6aRCR|79VULN|8TLV
25	61333 24611	 * 	253.85	DCR|3VULN|2MLV|1TLV|1DMG|1AART	1AART|237VULN|4BBNT|56MLV|8RCR|9DMG|aTLV
26	21325 16226	   	253.02	DCR|DCR|2TLV|1VULN|1CDMG	19ZMB|2VULN|3TBNT|49TLV|5CDMG|6LHND|79DUST|8aRCR|9BPWR
27	21325 36226	   	253.02	DCR|DCR|2TLV|1VULN|1CDMG	19ZMB|2VULN|3TBNT|49TLV|5CDMG|6BEXP|79DUST|8aRCR|9BPWR
28	21325 16236	   	252.92	DCR|DCR|2TLV|1VULN|1CDMG	1ZMB|2VULN|3TBNT|49TLV|5CDMG|6LHND|7DUST|8aRCR
29	21325 36236	   	252.92	DCR|DCR|2TLV|1VULN|1CDMG	1ZMB|2VULN|3TBNT|49TLV|5CDMG|6BEXP|7DUST|8aRCR
