0	Index      	 *	Score 	Summary	Detail	
1	16131 31461	 * 	270.69	DCR|DCR|2VULN|2MLV|1AART	1AART|28VULN|3FEWX|4RPLT|57MLV|6RAT|9aRCR
2	16233 63125	 * 	265.13	DCR|DCR|3VULN|1AART	1AART|268VULN|3RAT|48MGNSTR|58CGEN|7aRCR|8BPWR|9BEXP
3	16233 63325	   	264.93	DCR|DCR|3VULN|1AART	1AART|268VULN|3RAT|4MGNSTR|5CGEN|7aRCR|9BEXP
4	13352 44123	   	264.59	DCR|DCR|3VULN|1AART|1NUKE|1SELL	1AART|2SELL|37aVULN|4NUKE|5LWND|6LIT|89RCR
5	13353 44123	   	264.59	DCR|DCR|3VULN|1AART|1NUKE|1SELL	1AART|2SELL|37aVULN|4NUKE|5LHND|6LIT|89RCR
6	11611 24251	 * 	263.28	DCR|DCR|1VULN|1TLV|1AART|1CDMG|1NUKE	1AART|2FEWX|3ASPD|4RAT|5CDMG|6aRCR|7VULN|8NUKE|9TLV
7	14611 23251	   	263.18	DCR|DCR|1VULN|1TLV|1AART|1CDMG|1NUKE	1AART|2ASPD|3VULN|4RAT|5CDMG|6aRCR|7DUST|8NUKE|9TLV
8	16611 23251	   	263.18	DCR|DCR|1VULN|1TLV|1AART|1CDMG|1NUKE	1AART|2VULN|3ASPD|4RAT|5CDMG|6aRCR|7DUST|8NUKE|9TLV
9	13522 34323	 * 	261.94	DCR|DCR|2VULN|2AART|1SELL	13AART|2SELL|4aVULN|5LWND|69RCR|7LIT|8ASPD
10	13522 34324	 * 	261.94	DCR|DCR|1VULN|2AART|1TLV|1SELL	13AART|2SELL|4VULN|5LWND|69RCR|7LIT|8ASPD|aTLV
11	16142 22531	 * 	261.89	DCR|4VULN|2TLV|2DUR|1AART	1AART|245aVULN|356FEWX|5aBPWR|7aDUR|8aTLV|9RCR
12	12311 32351	 * 	261.28	ACR|DCR|2VULN|2DUR|1TLV|1AART	1AART|2aRCR|3RPLT|47VULN|5RCVC|67DUR|7BPWR|8RAT|9TLV
13	14631 16222	 * 	259.64	DCR|DCR|1VULN|1DMG|1MSLTOX|1AART	1AART|2ASPD|3VULN|4BBNT|5MDPS|6LHND|78RCR|9DMG|aMSLTOX
14	14631 36222	   	259.64	DCR|DCR|1VULN|1DMG|1MSLTOX|1AART	1AART|2ASPD|3VULN|4BBNT|5MDPS|6FEWX|78RCR|9DMG|aMSLTOX
15	16631 16222	   	259.64	DCR|DCR|1VULN|1DMG|1MSLTOX|1AART	1AART|2VULN|3ASPD|4BBNT|5MDPS|6LHND|78RCR|9DMG|aMSLTOX
16	16631 36222	   	259.64	DCR|DCR|1VULN|1DMG|1MSLTOX|1AART	1AART|2VULN|3ASPD|4BBNT|5MDPS|6FEWX|78RCR|9DMG|aMSLTOX
17	14631 16221	   	257.04	DCR|DCR|1VULN|1DMG|1DUR|1AART	1AART|2ASPD|3VULN|4BBNT|5MDPS|6LHND|78RCR|9DMG|aDUR
18	14631 16223	   	257.04	DCR|DCR|1VULN|1DMG|1AART|1AAC	1AART|2ASPD|3VULN|4BBNT|5MDPS|6LHND|78RCR|9DMG|aAAC
19	14631 36221	   	257.04	DCR|DCR|1VULN|1DMG|1DUR|1AART	1AART|2ASPD|3VULN|4BBNT|5MDPS|6FEWX|78RCR|9DMG|aDUR
20	14631 36223	   	257.04	DCR|DCR|1VULN|1DMG|1AART|1AAC	1AART|2ASPD|3VULN|4BBNT|5MDPS|6FEWX|78RCR|9DMG|aAAC
21	16631 16221	   	257.04	DCR|DCR|1VULN|1DMG|1DUR|1AART	1AART|2VULN|3ASPD|4BBNT|5MDPS|6LHND|78RCR|9DMG|aDUR
22	16631 16223	   	257.04	DCR|DCR|1VULN|1DMG|1AART|1AAC	1AART|2VULN|3ASPD|4BBNT|5MDPS|6LHND|78RCR|9DMG|aAAC
23	16631 36221	   	257.04	DCR|DCR|1VULN|1DMG|1DUR|1AART	1AART|2VULN|3ASPD|4BBNT|5MDPS|6FEWX|78RCR|9DMG|aDUR
24	16631 36223	   	257.04	DCR|DCR|1VULN|1DMG|1AART|1AAC	1AART|2VULN|3ASPD|4BBNT|5MDPS|6FEWX|78RCR|9DMG|aAAC
25	56114 23312	 * 	255.00	DCR|DCR|1VULN|2DUR|1TLV|1SELL	1BOSS|2TLV|36DUR|46RAT|5MBVNT|6BPWR|79RCR|8SELL|aVULN
26	14631 16211	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1AART	1AART|2ASPD|3VULN|4BBNT|5MDPS|6LHND|78RCR|9MLV|aDUR
27	14631 16213	   	252.58	DCR|DCR|1VULN|1MLV|1AART|1AAC	1AART|2ASPD|3VULN|4BBNT|5MDPS|6LHND|78RCR|9MLV|aAAC
28	14631 36211	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1AART	1AART|2ASPD|3VULN|4BBNT|5MDPS|6FEWX|78RCR|9MLV|aDUR
29	14631 36213	   	252.58	DCR|DCR|1VULN|1MLV|1AART|1AAC	1AART|2ASPD|3VULN|4BBNT|5MDPS|6FEWX|78RCR|9MLV|aAAC
30	16631 16211	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1AART	1AART|2VULN|3ASPD|4BBNT|5MDPS|6LHND|78RCR|9MLV|aDUR
31	16631 16213	   	252.58	DCR|DCR|1VULN|1MLV|1AART|1AAC	1AART|2VULN|3ASPD|4BBNT|5MDPS|6LHND|78RCR|9MLV|aAAC
32	16631 36211	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1AART	1AART|2VULN|3ASPD|4BBNT|5MDPS|6FEWX|78RCR|9MLV|aDUR
33	16631 36213	   	252.58	DCR|DCR|1VULN|1MLV|1AART|1AAC	1AART|2VULN|3ASPD|4BBNT|5MDPS|6FEWX|78RCR|9MLV|aAAC
34	12361 46331	   	250.68	ACR|DCR|2VULN|1TLV|1MLV|1AART	1AART|2aRCR|3RPLT|4RMIN|56VULN|7MLV|8RAT|9TLV
35	16212 44313	   	250.48	ACR|DCR|2VULN|1TLV|1MLV|1AART	1AART|27VULN|3RAT|49RCR|5MLV|6AEPOI|8AEWIND|aTLV
36	14631 16233	   	249.53	DCR|DCR|2VULN|1AART	1AART|2ASPD|3aVULN|4BBNT|5MDPS|6LHND|78RCR|9LIT
37	16631 16233	   	249.53	DCR|DCR|2VULN|1AART	1AART|2aVULN|3ASPD|4BBNT|5MDPS|6LHND|78RCR|9LIT
38	16212 62351	 * 	249.22	ACR|DCR|2VULN|2MLV|2AART	19AART|28VULN|3RAT|4aRCR|58MLV|6RPLT|78AEWIND|8BPWR
39	16131 31261	   	244.48	DCR|DCR|1VULN|2MLV|1AART	1AART|2VULN|3FEWX|4RPLT|57MLV|6RAT|8RCVC|9aRCR
40	16234 33125	   	242.99	DCR|DCR|2VULN|1AART	1AART|28VULN|35RAT|48MGNSTR|68CGEN|7aRCR|8BPWR|9BEXP
