0	Index      	 *	Score 	Summary	Detail	
1	23533 12142	 * 	438.04	紫橙2易伤1双倍秒伤1暴击2时间1等级	16核24时间34易伤4序列升级5低血量敌人7暴击8基地爆炸9等级a双倍秒伤
2	23536 12242	   	438.04	紫橙2易伤1双倍秒伤1暴击2时间1等级	16核24时间34易伤4序列升级5基地爆炸7暴击8最后敌人9等级a双倍秒伤
3	23536 16112	 * 	428.22	紫橙3易伤1双倍秒伤2时间	16核24时间348易伤4序列升级5基地爆炸7平台9金币生成a双倍秒伤
4	23114 55313	 * 	415.57	紫2双倍秒伤3易伤	1核2时间3金币生成4加农对壮578易伤6敌人爆炸9a双倍秒伤
5	23134 55313	   	415.57	紫2双倍秒伤3易伤	1核2时间3金币生成4防空对甲578易伤6敌人爆炸9a双倍秒伤
6	23533 12112	   	411.83	紫橙2易伤1双倍秒伤1暴击2时间	16核24时间34易伤4序列升级5低血量敌人7暴击8基地爆炸9金币生成a双倍秒伤
7	23533 12642	   	411.83	紫橙2易伤1双倍秒伤1暴击2时间	16核24时间34易伤4序列升级5低血量敌人7暴击8金币生成9最后敌人a双倍秒伤
8	23536 12212	   	411.83	紫橙2易伤1双倍秒伤1暴击2时间	16核24时间34易伤4序列升级5基地爆炸7暴击8最后敌人9金币生成a双倍秒伤
9	16312 64313	 * 	411.78	橙2双倍秒伤2易伤	12金币生成3时间48易伤5爆破对冰6敌人爆炸7核9a双倍秒伤
10	16313 54313	   	411.78	橙2双倍秒伤2易伤	12金币生成3时间48易伤5挖青6机枪对壮7核9a双倍秒伤
11	23533 12251	   	411.73	紫橙2易伤1双倍秒伤1暴击2时间	16核24时间34易伤4序列升级5低血量敌人7暴击8随机技能9双倍秒伤a攻速
12	23533 12252	   	411.73	紫橙2易伤1双倍秒伤1暴击2时间	16核24时间34易伤4序列升级5低血量敌人7暴击8随机技能9双倍秒伤a导弹对黄
13	23533 12253	   	411.73	紫橙2易伤1双倍秒伤1暴击2时间	16核24时间34易伤4序列升级5低血量敌人7暴击8随机技能9双倍秒伤a雷电
14	23533 12254	   	411.73	紫橙2易伤1双倍秒伤1暴击2时间	16核24时间34易伤4序列升级5a低血量敌人7暴击8随机技能9双倍秒伤
15	23533 12255	   	411.73	紫橙2易伤1双倍秒伤1暴击2时间	16核24时间34易伤4序列升级5低血量敌人7暴击8随机技能9双倍秒伤a最后敌人
16	23533 12256	   	411.73	紫橙2易伤1双倍秒伤1暴击2时间	16核24时间34易伤4序列升级5低血量敌人7暴击8随机技能9双倍秒伤a雷电减费
17	23533 12652	   	411.73	紫橙2易伤1双倍秒伤1暴击2时间1挖怪	16核24时间34易伤4序列升级5低血量敌人7暴击8金币生成9挖怪a双倍秒伤
18	23533 12662	   	411.73	紫橙2易伤1双倍秒伤1暴击2时间	16核24时间34易伤4序列升级5低血量敌人7暴击8金币生成9雷电减费a双倍秒伤
19	23532 32111	 * 	411.63	紫2双倍秒伤2易伤3时间1暴击	1核248时间34易伤4序列升级5立即金币6暴击7a双倍秒伤9火球减费
20	23532 32423	   	411.63	紫2双倍秒伤2易伤1暴击2时间	1核24时间34易伤4序列升级5立即金币6暴击7a双倍秒伤8低血量敌人9寒冰对甲
21	23532 32431	   	411.63	紫2双倍秒伤2易伤1暴击2时间	1核24时间34易伤4序列升级5立即金币6暴击7a双倍秒伤8低血量敌人9赏金邻近
22	23532 32453	   	411.63	紫2双倍秒伤2易伤1暴击2时间	1核24时间34易伤4序列升级5立即金币6暴击7a双倍秒伤8低血量敌人9加农对甲
23	23532 32531	   	411.63	紫2双倍秒伤2易伤3时间1暴击	1核249时间34易伤4序列升级58立即金币6暴击7a双倍秒伤
