0	Index      	 *	Score 	Summary	Detail	
1	63513 22143	 * 	196.64	ACR|3VULN|3DMG|1AART	19aVULN|2LWND|3RCR|49aDMG|5TLV|6LIT|7AART|89aCGEN|9aBPWR
2	61636 31211	 * 	192.43	DCR|3DMG|2VULN|1AART|2CDMG	18VULN|258DMG|357ERES|4AART|58BPWR|68CDMG|9BEXP|aRCR
3	61636 31221	   	192.43	DCR|3DMG|2VULN|1AART|2CDMG	18VULN|258DMG|357ERES|4AART|58BPWR|68CDMG|9LHND|aRCR
4	61635 13231	 * 	188.42	DCR|3VULN|3DMG|1AART	189VULN|278DMG|3ERES|4AART|59MLV|689BEXP|89BPWR|aRCR
5	61136 13215	 * 	186.12	DCR|3VULN|2DMG|1AART|2ASPD	179VULN|25DMG|35ASPD|4AART|5BPWR|6RMIN|8LIT|aRCR
6	41162 53113	 * 	185.87	DCR|2DMG|2AART|1VULN|1CDMG|1ZMB|1ASPD	1LHND|27DMG|3ASPD|4VULN|5ZMB|69AART|8RCR|aCDMG
7	61112 53113	   	185.87	DCR|2DMG|2AART|1VULN|1CDMG|1ZMB|1ASPD	1VULN|27DMG|3ASPD|4LHND|5ZMB|69AART|8RCR|aCDMG
8	61152 52113	   	185.87	DCR|2DMG|2AART|1VULN|1CDMG|1ZMB|1ASPD	1VULN|27DMG|3ASPD|4BEXP|5ZMB|69AART|8RCR|aCDMG
9	61321 36123	   	184.55	DCR|2VULN|2DMG|1AART|2CDMG|2RCVC	1aVULN|2aDMG|34RCVC|5FEWX|6AART|7LIT|8aCDMG|9RCR|aBPWR
10	61132 24113	 * 	184.47	DCR|3AART|2DMG|2VULN|1ASPD	1aVULN|2aDMG|3ASPD|459AART|6BEXP|7aCGEN|8RCR|aBPWR
11	61135 12113	   	184.47	DCR|3AART|2VULN|2DMG|1ASPD	1aVULN|2aDMG|3ASPD|479AART|5MLV|6aBEXP|8RCR|aBPWR
12	61144 12113	   	183.87	DCR|3AART|2VULN|2DMG|1ASPD	1aVULN|2aDMG|3ASPD|4MLV|579AART|6aBEXP|8RCR|aBPWR
13	12243 26215	 * 	183.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1CGEN|2BASICY|3DUR|4RCR|5CDMG|6AART|79DMG|8aVULN
14	61151 52113	   	183.27	DCR|3AART|2VULN|2DMG|1ASPD	1aVULN|2aDMG|3ASPD|4BEXP|5aMLV|679AART|8RCR|aBPWR
15	63236 14111	   	183.12	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	145VULN|25LWND|3AART|5BPWR|6RCR|7CGEN|8ZMB|9DMG|aASPD
16	63236 16111	   	183.02	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	145VULN|25LWND|3AART|5BPWR|6RCR|7NUKE|8ZMB|9DMG|aASPD
17	61136 24113	 * 	182.77	DCR|2AART|2DMG|1VULN|2ASPD|1CDMG	1VULN|25DMG|35ASPD|49AART|5BPWR|6BEXP|7CGEN|8RCR|aCDMG
18	63236 13433	 * 	181.49	DCR|4VULN|1AART|1DMG	1459VULN|258LWND|3AART|59BPWR|6RCR|7RCVC|aDMG
19	61136 35322	 * 	181.48	3VULN|3DMG|1AART|3ASPD|2CDMG|1DUR	17aVULN|258DMG|357ASPD|4AART|57BPWR|67CDMG|9DUR
20	61221 36123	   	181.28	DCR|2VULN|2DMG|1AART|2CDMG	1aVULN|2aDMG|3DMSP|4RCVC|5FEWX|6AART|7LIT|8aCDMG|9RCR|aBPWR
