0	Index      	 *	Score 	Summary	Detail	
1	34213 61613	 * 	196.80	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	1ERES|2aDUR|3AART|4LIT|5CDMG|6aDMG|7ZMB|8aVULN|9RCR|aBPWR
2	21331 22214	 * 	194.45	ACR|4VULN|3DMG|1CDMG|1SELL	189MLV|2DMSP|3CDMG|489aVULN|5RCR|6SELL|789DMG|89BPWR
3	36234 25121	 * 	192.19	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ERES|246VULN|3AART|5RCR|7CDMG|8ASPD|9ZMB|aDMG
4	36234 21134	 * 	188.35	ACR|4VULN|1AART|1DMG|1CDMG	1ERES|2469VULN|3AART|5RCR|7LIT|8DMG|aCDMG
5	36234 24121	   	188.35	ACR|4VULN|1AART|1DMG|1CDMG	1ERES|2469VULN|3AART|5RCR|7LHND|8CDMG|aDMG
6	12311 46232	 * 	187.44	DCR|4VULN|1AART|1DMG|2CDMG	18LIT|25CGEN|3458VULN|58BPWR|68CDMG|7AART|9DMG|aRCR
7	36234 37342	   	185.60	ACR|4VULN|1AART|1DMG|1ZMB	1ERES|247aVULN|3AART|5RCR|6MBVNT|8ZMB|9DMG
8	15513 23223	 * 	185.49	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LIT|2MGNLIT|3ZMB|4RCR|57VULN|68DMG|9CDMG|aAART
9	21331 43626	   	185.49	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1MLV|2DMSP|3CDMG|4aVULN|5RCR|6AART|78DMG|9ZMB
10	36213 61113	   	184.57	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ERES|2aVULN|3AART|4LIT|5CDMG|6aDMG|7ZMB|8aBEXP|9RCR|aBPWR
11	36213 61413	   	184.57	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ERES|2aVULN|3AART|4LIT|5CDMG|6aDMG|7ZMB|8aLHND|9RCR|aBPWR
12	33213 61613	   	184.57	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ERES|2aFEWX|3AART|4LIT|5CDMG|6aDMG|7ZMB|8aVULN|9RCR|aBPWR
13	32213 61613	   	184.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ERES|2aDUST|3AART|4LIT|5CDMG|6aDMG|7ZMB|8aVULN|9RCR|aBPWR
14	21331 22221	   	183.64	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	18MLV|2DMSP|3CDMG|48VULN|5RCR|6SELL|78DMG|8BPWR|9AART|aZMB
15	15513 23323	   	183.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2MGNLIT|3ZMB|4RCR|578VULN|6DMG|9CDMG|aAART
16	21331 43621	 * 	183.55	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1MLV|2DMSP|3CDMG|4VULN|5RCR|6AART|78aDMG|9ZMB
17	25331 43621	   	183.55	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	12MLV|2BPWR|3CDMG|4VULN|5RCR|6AART|78aDMG|9ZMB
18	12312 11164	   	183.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LIT|2CGEN|34VULN|5AART|68DMG|7ZMB|9RCR|aCDMG
19	34244 23121	 * 	182.28	ACR|2AART|2VULN|1DMG|1CDMG|2DUR	1ERES|27DUR|34AART|5RCR|69VULN|8CDMG|aDMG
20	12311 54632	   	181.53	DCR|4VULN|1AART|1DMG|1CDMG	1LIT|25CGEN|3457VULN|5BPWR|6AART|8DMG|9CDMG|aRCR
21	12312 11364	   	181.33	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2CGEN|348VULN|5AART|6DMG|7ZMB|9RCR|aCDMG
22	32224 33661	 * 	181.19	ACR|3DMG|2VULN|1AART	1ERES|2DUST|3AART|4RCVC|5RCR|69aDMG|78VULN
23	36234 21124	   	181.19	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|246VULN|3AART|5RCR|7LIT|8DMG|9ASPD|aCDMG
24	21331 22211	 * 	180.34	ACR|3VULN|3DMG|1CDMG|1SELL	189MLV|2DMSP|3CDMG|489VULN|5RCR|6SELL|789DMG|89BPWR|aRMIN
25	21331 22212	 * 	180.34	ACR|3VULN|3DMG|1CDMG|1SELL	189MLV|2DMSP|3CDMG|489VULN|5RCR|6SELL|789DMG|89BPWR|aCGEN
26	21331 22261	 * 	180.34	ACR|3VULN|3DMG|1CDMG|1SELL	18aMLV|2DMSP|3CDMG|48aVULN|5RCR|6SELL|78aDMG|8aBPWR|9RPLT
27	21331 22215	 * 	180.24	ACR|3VULN|3DMG|1CDMG|1SELL	189MLV|2DMSP|3CDMG|489VULN|5RCR|6SELL|789DMG|89BPWR|aERES
28	21331 22226	 * 	178.95	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	18MLV|2DMSP|3aCDMG|48VULN|5RCR|6SELL|78DMG|8BPWR|9AART
29	36234 37344	   	178.44	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1ERES|247VULN|3AART|5RCR|6MBVNT|8ZMB|9DMG|aDUR
30	36232 35125	   	178.37	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|24aVULN|3AART|5CGEN|6DMG|7CDMG|8ASPD|9RCR
31	36231 34165	   	178.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1ERES|247VULN|3AART|5DUR|6MBVNT|8CDMG|9RCR|aDMG
32	32234 33661	   	177.99	ACR|3DMG|2VULN|1AART	14ERES|2DUST|3AART|5RCR|69aDMG|78VULN
33	25331 16161	 * 	177.09	ACR|3DMG|2VULN|3CDMG	129MLV|29aBPWR|389CDMG|4aVULN|5RCR|6aERES|79aDMG
34	36234 37343	 * 	175.35	ACR|3VULN|1AART|1DMG|2ZMB	1ERES|247VULN|3AART|5RCR|6MBVNT|8aZMB|9DMG
35	21331 44621	   	174.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1MLV|2DMSP|3CDMG|48VULN|5RCR|6AART|7ASPD|9ZMB|aDMG
36	36234 21131	   	174.70	ACR|4VULN|1AART|1DMG	1ERES|2469VULN|3AART|5RCR|7LIT|8DMG|aLWND
37	36234 21133	   	174.70	ACR|4VULN|1AART|1DMG	1ERES|2469VULN|3AART|5RCR|7LIT|8DMG|aRPLT
38	36234 21132	   	174.60	ACR|4VULN|1AART|1DMG	1aERES|2469VULN|3AART|5RCR|7LIT|8DMG
39	36234 23213	   	174.50	ACR|4VULN|1AART|1DMG	178ERES|2469VULN|3AART|5RCR|9BPWR|aDMG
40	21331 43321	   	174.48	ACR|2VULN|2DMG|1AART|1CDMG	1MLV|2DMSP|3CDMG|49VULN|5RCR|6AART|7aDMG|8CGEN
41	25331 43321	   	174.48	ACR|2VULN|2DMG|1AART|1CDMG	12MLV|2BPWR|3CDMG|49VULN|5RCR|6AART|7aDMG|8CGEN
42	26131 25234	   	174.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	15MLV|2VULN|3ERES|45DMG|5BPWR|6ZMB|7RCR|8CDMG|9DUR|aAART
43	21331 43121	   	174.38	ACR|2VULN|2DMG|1AART|1CDMG	1MLV|2DMSP|3CDMG|49VULN|5RCR|6AART|7aDMG|8ERES
44	21331 43636	   	174.38	ACR|2VULN|2DMG|1AART|1CDMG	1MLV|2DMSP|3CDMG|4aVULN|5RCR|6AART|78DMG|9ERES
45	25331 43121	   	174.38	ACR|2VULN|2DMG|1AART|1CDMG	12MLV|2BPWR|3CDMG|49VULN|5RCR|6AART|7aDMG|8ERES
46	36234 16121	   	174.05	ACR|3VULN|1AART|1DMG|1CDMG	1ERES|247VULN|3AART|5RCR|69DUST|8CDMG|aDMG
47	36234 22121	   	174.05	ACR|3VULN|1AART|1DMG|1CDMG	1ERES|246VULN|3AART|5RCR|79DUST|8CDMG|aDMG
48	36234 22631	   	174.05	ACR|3VULN|1AART|1DMG|1CDMG	1ERES|246VULN|3AART|5RCR|78DUST|9CDMG|aDMG
49	36234 23331	   	174.05	ACR|3VULN|1AART|1DMG|1CDMG	17ERES|246VULN|3AART|5RCR|8DUST|9CDMG|aDMG
50	21331 22224	   	173.94	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	18MLV|2DMSP|3CDMG|48VULN|5RCR|6SELL|78DMG|8BPWR|9AART|aRCVC
51	36213 62433	   	173.26	DCR|2VULN|2DMG|1AART|1CDMG	1ERES|27VULN|3AART|4LIT|5CDMG|6aDMG|8LSRHEA|9RCR
52	21331 22222	   	172.64	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	18MLV|2DMSP|3CDMG|48VULN|5RCR|6SELL|78DMG|8BPWR|9AART|aFEWX
53	21331 22225	   	172.64	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	18MLV|2DMSP|3CDMG|48VULN|5RCR|6SELL|78DMG|8BPWR|9AART|aLHND
54	21331 43326	   	172.55	ACR|3VULN|1AART|1DMG|1CDMG	1MLV|2DMSP|3CDMG|49aVULN|5RCR|6AART|7DMG|8CGEN
55	25331 43326	   	172.55	ACR|3VULN|1AART|1DMG|1CDMG	12MLV|2BPWR|3CDMG|49aVULN|5RCR|6AART|7DMG|8CGEN
56	21331 22223	   	172.54	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	18MLV|2DMSP|3CDMG|48VULN|5RCR|6SELL|78DMG|8BPWR|9AART|aERES
57	21331 43126	   	172.45	ACR|3VULN|1AART|1DMG|1CDMG	1MLV|2DMSP|3CDMG|49aVULN|5RCR|6AART|7DMG|8ERES
58	21331 43631	   	172.45	ACR|3DMG|1AART|1VULN|1CDMG	1MLV|2DMSP|3CDMG|4VULN|5RCR|6AART|78aDMG|9ERES
59	25331 43126	   	172.45	ACR|3VULN|1AART|1DMG|1CDMG	12MLV|2BPWR|3CDMG|49aVULN|5RCR|6AART|7DMG|8ERES
60	25331 43631	   	172.45	ACR|3DMG|1AART|1VULN|1CDMG	12MLV|2BPWR|3CDMG|4VULN|5RCR|6AART|78aDMG|9ERES
