0	Index      	 *	Score 	Summary	Detail	
1	41235 15231	 * 	193.61	DCR|3VULN|2AART|1DMG|1ZMB|1ASPD|1DUR	1DUR|236VULN|47AART|5ZMB|8ASPD|9RCR|aDMG
2	42133 66211	 * 	193.47	ACR|3VULN|2DMG|1AART|2DUR|1SELL	17DUR|2RCR|379VULN|4LHND|5MLV|67DMG|7BPWR|8SELL|aAART
3	11223 57143	 * 	193.03	ACR|2VULN|2DMG|3CDMG|2FLTHEA|1DUR	168CDMG|2DUR|3RCR|48FLTHEA|5MBVNT|78VULN|8BPWR|9aDMG
4	41236 31633	 * 	192.21	DCR|3VULN|2AART|1DMG|1CDMG|2DUR	15DUR|237VULN|48AART|6CDMG|9DMG|aRCR
5	11223 27314	 * 	191.99	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3RCR|4FLTHEA|5MBVNT|6ZMB|7aVULN|8AART|9DMG
6	42333 13514	 * 	189.97	ACR|2DMG|3ZMB|1AART|1VULN|2DUR	14DUR|2RCR|345ZMB|4BPWR|6LIT|79DMG|8AART|aVULN
7	42154 23332	 * 	188.57	ACR|3VULN|3DMG|2DUR	1aDUR|2RCR|39aVULN|4CGEN|5ERES|6RCVC|78aDMG|aBPWR
8	11211 12433	 * 	188.08	ACR|3VULN|2AART|2CDMG|2DUR	19CDMG|29DUR|3RCR|4MLV|58AART|6LWND|79aVULN|9BPWR
9	11261 12433	   	187.98	ACR|3VULN|2AART|2CDMG|2DUR	19CDMG|29DUR|3RCR|4TLV|58AART|6LWND|79aVULN|9BPWR
10	41235 12231	   	187.45	DCR|3VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	17DUR|236VULN|4AART|5ZMB|8ASPD|9RCR|aDMG
11	41236 31533	 * 	187.08	DCR|3VULN|1AART|1DMG|2CDMG|2DUR	15DUR|237VULN|4AART|68CDMG|9DMG|aRCR
12	42333 54454	 * 	187.07	ACR|2VULN|2DMG|3ZMB|3DUR	14aDUR|2RCR|345ZMB|4aBPWR|6MBVNT|7BEXP|8aVULN|9aDMG
13	42154 23232	 * 	187.02	ACR|4VULN|2DMG|2DUR	1aDUR|2RCR|389aVULN|4CGEN|5ERES|6RCVC|7aDMG|aBPWR
14	41234 31633	   	186.92	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	1DUR|237VULN|48AART|5DMSP|6CDMG|9DMG|aRCR
