0	Index      	 *	Score 	Summary	Detail	
1	36433 31251	 * 	193.53	ACR|3DMG|2AART|2VULN	12AART|39LWND|4RCR|59VULN|6MLV|7LIT|89aDMG|9BPWR
2	34651 23213	 * 	190.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|26VULN|3ZMB|4BEXP|5aDMG|7RCR|8CDMG|9RPLT
3	34615 33133	 * 	188.98	DCR|4VULN|1AART|1DMG|1ZMB	1AART|259aVULN|3ZMB|4DMG|68LWND|7RCR
4	34651 23222	 * 	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|269VULN|3ZMB|4BEXP|5DMG|7RCR|8CDMG|aCGEN
5	34651 23223	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|269VULN|3ZMB|4aBEXP|5DMG|7RCR|8CDMG
6	34615 33313	 * 	188.26	DCR|2AART|2VULN|2DMG|1ZMB	19AART|25VULN|3ZMB|4aDMG|6LWND|7RCR|8BEXP
7	34651 23113	   	188.26	DCR|2AART|2VULN|2DMG|1ZMB	19AART|26VULN|3ZMB|4BEXP|5aDMG|7RCR|8LWND
8	34615 12311	 * 	187.67	DCR|3VULN|2DMG|1AART|1ZMB	1AART|258VULN|3ZMB|4aDMG|6LIT|7BEXP|9RCR
9	34615 13311	   	187.67	DCR|3VULN|2DMG|1AART|1ZMB	1AART|258VULN|3ZMB|4aDMG|6LIT|7LHND|9RCR
10	31152 31254	   	186.80	DCR|3VULN|2DMG|1AART|2DUR	1AART|29DUR|35FEWX|459VULN|59BPWR|6MLV|7LIT|89DMG|aRCR
11	31252 31254	   	186.80	DCR|3VULN|2DMG|1AART|2DUR	1AART|29DUR|35LWND|459VULN|59BPWR|6MLV|7LIT|89DMG|aRCR
12	34616 33133	 * 	186.33	DCR|3VULN|2AART|1DMG|1ZMB	15AART|29aVULN|3ZMB|4DMG|68LWND|7RCR
13	34642 23333	   	183.66	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|28VULN|3ZMB|4ERES|5ASPD|6BELT|7RCR|9aDMG
14	34616 12311	   	183.46	DCR|2AART|2VULN|2DMG|1ZMB	15AART|28VULN|3ZMB|4aDMG|6LIT|7BEXP|9RCR
15	34616 13311	   	183.46	DCR|2AART|2VULN|2DMG|1ZMB	15AART|28VULN|3ZMB|4aDMG|6LIT|7LHND|9RCR
16	34432 53323	   	183.41	DCR|3VULN|2DMG|1AART|1DUR	1AART|267VULN|3DUST|4TLV|5DUR|8aDMG|9RCR
17	31513 31254	   	182.49	DCR|2AART|2VULN|2DMG|2DUR	13AART|29DUR|4LHND|59VULN|6MLV|7LIT|89DMG|9BPWR|aRCR
18	31523 31254	   	182.49	DCR|2AART|2VULN|2DMG|2DUR	13AART|29DUR|4LWND|59VULN|6MLV|7LIT|89DMG|9BPWR|aRCR
