0	Index      	 *	Score 	Summary	Detail	
1	42232 42712	 * 	179.26	DCR|3DMG|2VULN|2ZMB|2DUR	1RCVC|2MBVNT|345DMG|6aZMB|7aVULN|8aDUR|9RCR|aBPWR
2	42245 33623	 * 	179.07	DCR|3VULN|3DMG|1CDMG	1RCVC|2MBVNT|368DMG|478VULN|58LWND|8BPWR|9CDMG|aRCR
3	42232 82712	 * 	177.95	DCR|3DMG|2VULN|2ASPD|2DUR	1RCVC|2MBVNT|345DMG|6aASPD|7aVULN|8aDUR|9RCR|aBPWR
4	32331 65312	 * 	177.78	DCR|4VULN|3DMG|1SELL	1aLWND|268aVULN|3SELL|467DMG|5RPLT|6aBPWR|9RCR
5	42244 24261	 * 	175.32	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1RCVC|2MBVNT|3DMG|46VULN|5ZMB|7AART|8FLTHEA|9RCR|aDUR
6	42371 16132	 * 	173.81	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1RCVC|2MBVNT|37DUR|4AART|5VULN|6aDMG|8RCR|9CDMG
7	42371 16133	 * 	173.81	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1RCVC|2MBVNT|37DUR|4AART|5aVULN|6DMG|8RCR|9CDMG
8	32111 34615	 * 	172.83	DCR|3VULN|1AART|1DMG|2ASPD	1aLWND|24aVULN|3BEXP|5RMIN|6DMG|7RCR|8aASPD|9AART|aBPWR
9	32336 42162	 * 	171.89	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1LWND|29aVULN|3SELL|4DMG|5CGEN|6AART|7CDMG|8RCR
10	42371 16142	 * 	171.61	DCR|2AART|2VULN|1DMG|2DUR	1RCVC|2MBVNT|37DUR|49AART|5aVULN|6DMG|8RCR
11	42231 24261	 * 	171.26	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR|1ASPD	1RCVC|2MBVNT|34DMG|5ASPD|6VULN|7AART|8FLTHEA|9RCR|aDUR
12	34361 14132	   	170.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LWND|2MLV|3ZMB|4AART|5VULN|6aDMG|7RCVC|8RCR|9CDMG
13	34361 14133	   	170.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2MLV|3ZMB|4AART|5aVULN|6DMG|7RCVC|8RCR|9CDMG
14	42371 15132	   	170.59	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|2RCVC	17RCVC|2MBVNT|3DUR|4AART|5VULN|6aDMG|8RCR|9CDMG
15	42371 15133	   	170.59	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|2RCVC	17RCVC|2MBVNT|3DUR|4AART|5aVULN|6DMG|8RCR|9CDMG
16	32331 65316	   	170.51	DCR|3VULN|3DMG|1DUR|1SELL	1LWND|268VULN|3SELL|467DMG|5RPLT|6BPWR|9RCR|aDUR
17	42371 15142	   	168.39	DCR|2AART|2VULN|1DMG|1DUR|2RCVC	17RCVC|2MBVNT|3DUR|49AART|5aVULN|6DMG|8RCR
18	42244 24262	   	168.38	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1RCVC|2MBVNT|3DMG|46VULN|5ZMB|7AART|8FLTHEA|9RCR|aLWND
19	42244 24263	   	168.38	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1RCVC|2MBVNT|3DMG|46VULN|5ZMB|7AART|8FLTHEA|9RCR|aRMIN
20	42244 24264	   	168.38	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1RCVC|2MBVNT|3DMG|46VULN|5ZMB|7AART|8FLTHEA|9RCR|aFEWX
21	42244 24266	   	168.38	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1RCVC|2MBVNT|3DMG|46VULN|5ZMB|7AART|8FLTHEA|9RCR|aCGEN
22	42244 24268	   	168.38	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1RCVC|2MBVNT|3DMG|46VULN|5ZMB|7AART|8FLTHEA|9RCR|aLHND
23	42261 37443	   	168.20	DCR|3DMG|2VULN|2ZMB	1aRCVC|2MBVNT|368DMG|4RPLT|58ZMB|78VULN|8BPWR|9RCR
24	45312 33353	   	168.01	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1RCVC|2ZMB|3MLV|45DMG|6DUR|78VULN|9RCR|aCDMG
25	22325 65131	 * 	167.85	DCR|2VULN|2DMG|1AART|1DUR	1BEXP|29VULN|3ERES|4LHND|5AART|6DUR|7aDMG|8RCR
26	42371 16144	 * 	167.67	DCR|2AART|1VULN|1DMG|1CDMG|2DUR	1RCVC|2MBVNT|37DUR|49AART|5VULN|6DMG|8RCR|aCDMG
27	42238 21152	 * 	167.29	DCR|2DMG|1AART|1VULN|2CDMG	1RCVC|2MBVNT|34DMG|5BEXP|68CDMG|7RCR|9AART|aVULN
28	42234 61152	   	167.19	DCR|2DMG|1AART|1VULN|2CDMG	1RCVC|2MBVNT|34DMG|5DUST|68CDMG|7RCR|9AART|aVULN
29	42232 42412	   	167.02	DCR|3DMG|2VULN|2ZMB	1RCVC|2MBVNT|345DMG|6aZMB|7aVULN|8aLWND|9RCR|aBPWR
30	42261 37441	   	166.92	DCR|3DMG|2VULN|2ZMB	1RCVC|2MBVNT|368DMG|4RPLT|58ZMB|78VULN|8BPWR|9RCR|aERES
31	42261 37442	   	166.92	DCR|3DMG|2VULN|2ZMB	1RCVC|2MBVNT|368DMG|4RPLT|58ZMB|78VULN|8BPWR|9RCR|aDUST
32	42261 37444	   	166.92	DCR|3DMG|2VULN|2ZMB	1RCVC|2MBVNT|368DMG|4RPLT|58ZMB|78VULN|8BPWR|9RCR|aSNIHEL
33	22213 64612	 * 	166.90	DCR|4VULN|1AART|1ASPD|1DUR	1BEXP|245aVULN|3DUST|6DUR|7RCR|8ASPD|9AART
34	42236 54443	   	166.89	DCR|3DMG|2VULN|2ASPD	1aRCVC|2MBVNT|348DMG|5RPLT|68VULN|78ASPD|8BPWR|9RCR
