0	Index      	 *	Score 	Summary	Detail	
1	44212 62132	 * 	196.47	DCR|3VULN|2DMG|3ZMB|2CDMG|1SELL	16aZMB|2SELL|35CDMG|45aVULN|5aBPWR|7aDMG|8RCVC|9RCR
2	24413 32432	 * 	194.91	DCR|5VULN|2DMG|2CDMG|1SELL	1368aVULN|2SELL|4RMIN|5aCDMG|7aDMG|9RCR|aBPWR
3	33241 34412	 * 	194.09	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3RCR|4VULN|5BEXP|69aDMG|7CDMG|8AART
4	33242 34412	   	193.99	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3RCR|4VULN|5DUST|69aDMG|7CDMG|8AART
5	24162 62313	 * 	193.57	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD|1SELL	1aVULN|2SELL|3aASPD|4AART|5RMIN|6RCR|7CGEN|8CDMG|9aDMG|aBPWR
6	23631 46233	 * 	192.64	ACR|3VULN|2DMG|1AART|3DUR	178VULN|237DUR|4RCR|5BELT|67DMG|7BPWR|9DUST|aAART
7	32631 46233	   	192.64	ACR|3VULN|2DMG|1AART|3DUR	137DUR|278VULN|4RCR|5BELT|67DMG|7BPWR|9DUST|aAART
8	23542 23162	 * 	192.60	DCR|3VULN|2DMG|1AART|2DUR	18aVULN|28DUR|3aLWND|4aDMG|589DUST|6RCR|7AART|8aBPWR
9	22416 22132	 * 	189.95	DCR|5VULN|2DMG|2ZMB	1234aVULN|3aBPWR|5NUKE|6aZMB|7aDMG|8RCVC|9RCR
10	45243 22233	 * 	189.89	ACR|3VULN|1AART|1DMG|2ZMB|2DUR	1aZMB|25BEXP|3RCR|45aVULN|5aBPWR|6DMG|7CGEN|8AART|9aDUR
11	22412 22332	   	189.85	DCR|5VULN|2DMG|2ZMB	1234aVULN|3aBPWR|58TLV|6aZMB|7aDMG|9RCR
12	42243 22233	   	189.69	ACR|3VULN|1AART|1DMG|2ZMB|2DUR	1aZMB|25DUST|3RCR|45aVULN|5aBPWR|6DMG|7CGEN|8AART|9aDUR
13	22163 11356	   	188.86	DCR|4VULN|2DMG|2ZMB|1ASPD	128aVULN|3DUST|4aZMB|5ASPD|6LWND|7RCR|9aDMG|aBPWR
14	22333 16356	 * 	187.35	ACR|5VULN|2DMG|1DUR	1278aVULN|3aFEWX|4RCR|5DUR|6LHND|9aDMG|aBPWR
15	22333 36356	   	187.35	ACR|5VULN|2DMG|1DUR	1278aVULN|3aFEWX|4RCR|5DUR|6LWND|9aDMG|aBPWR
16	42243 21242	 * 	187.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|25DUST|3RCR|45aVULN|5BPWR|6DMG|7RMIN|8AART|9CDMG
17	42243 22242	   	187.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|25DUST|3RCR|45aVULN|5BPWR|6DMG|7CGEN|8AART|9CDMG
18	46152 23122	 * 	186.05	ACR|3DMG|2AART|2CDMG|1ZMB	1ZMB|29AART|37CDMG|4RCR|5RMIN|68aDMG
19	13515 22253	   	186.00	DCR|5VULN|2DMG|1ZMB	1LIT|23457VULN|68DMG|9RCR|aZMB
20	23512 12413	 * 	185.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	18aVULN|2DUR|3LWND|4AART|5CDMG|6RCR|7LIT|9DMG
21	32512 12413	   	185.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|28aVULN|3LWND|4AART|5CDMG|6RCR|7LIT|9DMG
22	13513 23151	 * 	184.21	DCR|4VULN|1AART|1DMG|2DUR	1LIT|234aVULN|59DUR|6DMG|7AART|8RCR
23	13513 23146	   	183.76	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1LIT|234VULN|5aDUR|6DMG|7AART|8RCR|9CDMG
24	33241 34413	   	183.73	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	1aDUR|2ZMB|3RCR|4VULN|5BEXP|69DMG|7CDMG|8AART
25	33242 34413	   	183.63	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	1aDUR|2ZMB|3RCR|4VULN|5DUST|69DMG|7CDMG|8AART
26	46151 23233	 * 	183.59	ACR|3VULN|2AART|2ZMB|1CDMG	19ZMB|27AART|3CDMG|4RCR|5FEWX|68aVULN
27	24424 11131	 * 	182.78	DCR|4VULN|1AART|2CDMG|1ASPD|1SELL	1358VULN|2SELL|4AART|5BPWR|69CDMG|7RCR|aASPD
28	24424 11132	 * 	182.78	DCR|4VULN|1AART|2CDMG|1DUR|1SELL	1358VULN|2SELL|4AART|5BPWR|69CDMG|7RCR|aDUR
29	22333 24412	 * 	182.52	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12VULN|3FEWX|4RCR|5DUR|6DUST|7CDMG|8AART|9aDMG
30	24413 22432	 * 	182.08	DCR|4VULN|2DMG|2CDMG|1SELL	138aVULN|2SELL|46RMIN|5aCDMG|7aDMG|9RCR|aBPWR
31	24413 32132	 * 	182.08	DCR|4VULN|2DMG|2CDMG|1SELL	136aVULN|2SELL|4RMIN|5aCDMG|7aDMG|8RCVC|9RCR|aBPWR
32	46621 22121	   	182.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2AART|3RCR|47VULN|5LIT|6DMG|8RCVC|9DUR|aCDMG
33	46613 32222	   	181.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ZMB|2AART|3RCR|4MLV|5aDMG|6VULN|7DUR|8TLV|9CDMG
34	46623 32222	   	181.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2AART|3RCR|47VULN|5DUR|6NUKE|8LHND|9CDMG|aDMG
35	22416 23132	 * 	181.78	DCR|5VULN|3ZMB|2ASPD	1234aVULN|3aBPWR|5NUKE|67aZMB|8RCR|9aASPD
36	33231 36146	   	181.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2ZMB|3RCR|4FEWX|5BEXP|6aDMG|78VULN|9AART
37	33232 36146	   	181.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2ZMB|3RCR|4FEWX|5DUST|6aDMG|78VULN|9AART
38	33131 24146	   	181.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2ZMB|38VULN|4FEWX|5BEXP|6RCR|7aDMG|9AART
39	33132 24146	   	181.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2ZMB|38VULN|4FEWX|5DUST|6RCR|7aDMG|9AART
40	42243 63211	   	180.87	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1ZMB|25DUST|3RCR|456VULN|5BPWR|7DUR|8AART|9ASPD|aCDMG
41	32542 23162	 * 	180.76	DCR|2VULN|2DMG|1AART|3DUR	18aDUR|28VULN|3aLWND|4aDMG|589DUST|6RCR|7AART|8aBPWR
42	23531 24151	   	180.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	18VULN|2DUR|3LWND|4LHND|5ZMB|6RCR|79DMG|aAART
43	32531 24151	   	180.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|28VULN|3LWND|4LHND|5ZMB|6RCR|79DMG|aAART
44	23512 13212	 * 	180.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2DUR|3LWND|4AART|5CDMG|6RCR|7ZMB|8RMIN|9aDMG
45	23512 13612	   	180.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2DUR|3LWND|4AART|5CDMG|6RCR|7ZMB|8CGEN|9aDMG
46	32512 13212	   	180.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2VULN|3LWND|4AART|5CDMG|6RCR|7ZMB|8RMIN|9aDMG
47	32512 13612	   	180.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2VULN|3LWND|4AART|5CDMG|6RCR|7ZMB|8CGEN|9aDMG
48	33243 61235	 * 	180.22	ACR|4VULN|1AART|1ZMB|1ASPD|1DUR	1DUR|2ZMB|3RCR|4678VULN|5RCVC|9ASPD|aAART
