0	Index      	 *	Score 	Summary	Detail	
1	42351 32631	 * 	247.96	紫1基础对甲2伤害1易伤1攻速1全技能1暴击	1掉矿2核3技能4a伤害5暴击6易伤7基础对甲8全技能9攻速
2	12634 22631	 * 	244.91	紫2易伤1基础对甲1攻速1伤害1全技能1暴击	1矿等2核3暴击4敌人爆炸56易伤7基础对甲8全技能9攻速a伤害
3	12614 22531	   	244.81	紫2易伤1基础对甲1攻速1伤害1暴击1全技能	1矿等2核3暴击4挖尘56易伤7基础对甲8全技能9攻速a伤害
4	12122 54111	 * 	239.73	紫2基础对甲3攻速1基地爆炸1全技能	1a矿等2核3额外掉落4全技能56a攻速7基地爆炸8金币生成9a基础对甲a序列升级
5	42122 54111	   	239.53	紫2基础对甲3攻速1全技能1基地爆炸	1a掉矿2核3额外掉落4全技能56a攻速7基地爆炸8金币生成9a基础对甲a序列升级
6	12122 36111	 * 	238.92	紫2基础对甲2攻速2基地爆炸1全技能	1a矿等2核3额外掉落4全技能5a攻速67基地爆炸8金币生成9a基础对甲a序列升级
7	12122 25211	   	238.82	紫2基础对甲2攻速2基地爆炸1全技能	1a矿等2核3额外掉落4全技能5a攻速6等级78基地爆炸9a基础对甲a序列升级
8	42122 15211	   	238.72	紫2基础对甲2攻速2基地爆炸1全技能	1a掉矿2核3额外掉落4全技能5a攻速6矿等78基地爆炸9a基础对甲a序列升级
9	42352 52222	 * 	235.81	紫3基础对甲2伤害2易伤	17a掉矿2核3技能47伤害5双倍秒伤67a基础对甲7a序列升级8a易伤9额外掉落
10	12122 44111	 * 	235.32	紫2基础对甲2攻速2全技能1基地爆炸	1a矿等2核3额外掉落46全技能5a攻速7基地爆炸8金币生成9a基础对甲a序列升级
11	42122 44111	   	235.12	紫2基础对甲2攻速2全技能1基地爆炸	1a掉矿2核3额外掉落46全技能5a攻速7基地爆炸8金币生成9a基础对甲a序列升级
12	42231 32631	   	232.51	紫1基础对甲1易伤1攻速1伤害1暴击1全技能	1掉矿2核3立即金币4敌人爆炸5暴击6易伤7基础对甲8全技能9攻速a伤害
13	12663 32631	   	232.19	紫1基础对甲1易伤1攻速1伤害1全技能1暴击	1矿等2核3暴击4立即金币5时间6易伤7基础对甲8全技能9攻速a伤害
14	42224 22631	   	232.17	紫2易伤1基础对甲1攻速1伤害1全技能	1掉矿2核3立即金币4平台56易伤7基础对甲8全技能9攻速a伤害
15	12633 32631	   	231.76	紫1基础对甲1易伤1攻速1伤害1全技能1暴击	1矿等2核3暴击4敌人爆炸5立即金币6易伤7基础对甲8全技能9攻速a伤害
16	42633 32631	   	231.66	紫1基础对甲1易伤1攻速1伤害1暴击1全技能	1掉矿2核3暴击4敌人爆炸5立即金币6易伤7基础对甲8全技能9攻速a伤害
17	42122 26211	 * 	230.29	紫2基础对甲2攻速1伤害1全技能	1a掉矿2核3额外掉落4全技能5a攻速6伤害7矿等8随机矿9a基础对甲a序列升级
18	12634 32631	   	229.20	紫1基础对甲1易伤1攻速1伤害1全技能1暴击	1矿等2核3暴击4敌人爆炸5易伤6火球减费7基础对甲8全技能9攻速a伤害
19	12614 32531	   	229.10	紫1基础对甲1易伤1攻速1伤害1暴击1全技能	1矿等2核3暴击4挖尘5易伤6火球减费7基础对甲8全技能9攻速a伤害
20	42351 32632	   	229.00	紫1基础对甲1易伤1攻速1伤害1全技能1暴击	1掉矿2核3技能4伤害5暴击6易伤7基础对甲8全技能9攻速a双倍秒伤
21	42351 32633	   	229.00	紫1基础对甲1易伤1攻速1伤害1全技能1暴击	1掉矿2核3技能4伤害5暴击6易伤7基础对甲8全技能9攻速a技能点
22	42351 32161	   	226.63	紫1基础对甲2伤害1易伤1全技能1暴击	1掉矿2核3技能4a伤害5暴击6易伤7基础对甲8金币生成9全技能
23	42351 32611	   	226.63	紫1基础对甲2伤害1易伤1全技能1暴击	1掉矿2核3技能4a伤害5暴击6易伤7基础对甲8全技能9金币生成
24	42351 32621	   	226.63	紫1基础对甲2伤害1易伤1全技能1暴击	1掉矿2核3技能4a伤害5暴击6易伤7基础对甲8全技能9策反
25	42352 52212	   	226.28	紫2基础对甲2伤害1易伤1全技能	17掉矿2核3技能47伤害5双倍秒伤67基础对甲7序列升级8易伤9时间a全技能
26	12122 51111	   	225.98	紫2基础对甲3攻速1全技能	1a矿等2核3额外掉落4全技能56a攻速7挖尘8金币生成9a基础对甲a序列升级
27	42122 51111	   	225.78	紫2基础对甲3攻速1全技能	1a掉矿2核3额外掉落4全技能56a攻速7挖尘8金币生成9a基础对甲a序列升级
28	12122 31111	   	225.68	紫2基础对甲2攻速1基地爆炸1全技能	1a矿等2核3额外掉落4全技能5a攻速6基地爆炸7立即金币8金币生成9a基础对甲a序列升级
29	12122 25111	   	225.16	紫2基础对甲2攻速1全技能1基地爆炸	1a矿等2核3额外掉落4全技能5a攻速6等级7基地爆炸8立即金币9a基础对甲a序列升级
30	42122 15111	   	225.06	紫2基础对甲2攻速1全技能1基地爆炸	1a掉矿2核3额外掉落4全技能5a攻速6矿等7基地爆炸8立即金币9a基础对甲a序列升级
31	12633 32635	   	225.00	紫1基础对甲2易伤1攻速1全技能1暴击	1矿等2核3暴击4敌人爆炸5立即金币6a易伤7基础对甲8全技能9攻速
32	12122 14111	   	224.08	紫2基础对甲2攻速1基地爆炸1全技能	16a矿等2核3额外掉落4全技能5a攻速7基地爆炸8金币生成9a基础对甲a序列升级
33	12122 25311	   	223.98	紫2基础对甲2攻速1全技能1基地爆炸	1a矿等2核3额外掉落4全技能5a攻速6等级7基地爆炸8双倍矿9a基础对甲a序列升级
34	42122 15311	   	223.88	紫2基础对甲2攻速1全技能1基地爆炸	1a掉矿2核3额外掉落4全技能5a攻速6矿等7基地爆炸8双倍矿9a基础对甲a序列升级
35	42352 52332	   	223.68	紫2基础对甲2伤害1全技能1暴击	17掉矿2核3技能47伤害5双倍秒伤67基础对甲7序列升级8暴击9时间a全技能
36	12634 22611	   	222.54	紫2易伤1基础对甲1伤害1全技能1暴击	1矿等2核3暴击4敌人爆炸56易伤7基础对甲8全技能9金币生成a伤害
37	12634 22621	   	222.54	紫2易伤1基础对甲1伤害1全技能1暴击	1矿等2核3暴击4敌人爆炸56易伤7基础对甲8全技能9策反a伤害
38	12634 22632	   	222.54	紫2易伤1基础对甲1攻速1全技能1暴击	1矿等2核3暴击4敌人爆炸56易伤7基础对甲8全技能9攻速a时间
39	42352 52231	   	222.48	紫2基础对甲2伤害2易伤	17掉矿2核3技能47伤害5双倍秒伤67基础对甲7序列升级8a易伤9金币生成
40	12614 22511	   	222.44	紫2易伤1基础对甲1伤害1暴击1全技能	1矿等2核3暴击4挖尘56易伤7基础对甲8全技能9金币生成a伤害
41	12614 22521	   	222.44	紫2易伤1基础对甲1伤害1暴击1全技能	1矿等2核3暴击4挖尘56易伤7基础对甲8全技能9策反a伤害
42	12614 22532	   	222.44	紫2易伤1基础对甲1攻速1暴击1全技能	1矿等2核3暴击4挖尘56易伤7基础对甲8全技能9攻速a时间
43	12634 22633	   	222.44	紫2易伤1基础对甲1攻速1全技能1暴击	1矿等2核3暴击4敌人爆炸56易伤7基础对甲8全技能9攻速a双倍秒伤
44	12614 22533	   	222.34	紫2易伤1基础对甲1攻速1暴击1全技能	1矿等2核3暴击4挖尘56易伤7基础对甲8全技能9攻速a双倍秒伤
45	12152 63151	 * 	221.65	紫2易伤1基础对甲2攻速1基地爆炸	1矿等2核3额外掉落45易伤68攻速7双倍秒伤9基地爆炸a基础对甲
46	12122 21111	   	221.57	紫2基础对甲2攻速2全技能	1a矿等2核3额外掉落47全技能5a攻速6等级8敌人爆炸9a基础对甲a序列升级
47	12122 41111	   	221.57	紫2基础对甲2攻速2全技能	1a矿等2核3额外掉落46全技能5a攻速7挖尘8金币生成9a基础对甲a序列升级
48	42122 11111	   	221.47	紫2基础对甲2攻速2全技能	1a掉矿2核3额外掉落47全技能5a攻速6矿等8敌人爆炸9a基础对甲a序列升级
49	42122 41111	   	221.37	紫2基础对甲2攻速2全技能	1a掉矿2核3额外掉落46全技能5a攻速7挖尘8金币生成9a基础对甲a序列升级
50	12122 34111	   	221.23	紫2基础对甲2基地爆炸1攻速1全技能	1a矿等2核3额外掉落4全技能5攻速6a基地爆炸7火球减费8金币生成9a基础对甲a序列升级
51	12235 14151	   	220.81	紫1基础对甲2攻速1易伤1基地爆炸1技能	1矿等2核3立即金币49攻速5易伤6掉矿7基地爆炸8基础对甲a技能
52	12234 24151	   	220.81	紫1基础对甲2攻速1易伤1基地爆炸1技能	1矿等2核3立即金币49攻速5等级6易伤7基地爆炸8基础对甲a技能
53	12214 23662	 * 	220.12	紫1基础对甲2攻速1易伤1伤害	1矿等2核3立即金币4掉矿5等级6易伤7基础对甲89攻速a伤害
54	42223 32631	   	219.97	紫1基础对甲1易伤1攻速1伤害1全技能	1掉矿2核35立即金币4平台6易伤7基础对甲8全技能9攻速a伤害
