0	Index      	 *	Score 	Summary	Detail	
1	32411 62233	 * 	300.72	橙3易伤2等级3暴击2火球减费	17火球减费24a雷电37a易伤567暴击7a序列升级8核9a等级
2	16533 52332	 * 	292.20	橙3易伤2等级2伤害	178最后敌人24等级357易伤67伤害7序列升级9雷电a核
3	26533 52112	   	287.81	橙3易伤2等级2伤害1全技能2挖怪	17挖怪24等级357易伤67伤害7序列升级8全技能9双倍矿a核
4	16533 41322	   	284.08	橙3易伤2等级1伤害	1最后敌人24等级359易伤6技能点7时间8核a伤害
5	26163 52112	 * 	283.18	橙2等级2易伤2伤害1烈焰减费1全技能2挖怪	17挖怪27等级3烈焰减费45易伤67伤害7序列升级8全技能9双倍矿a核
6	26263 52112	 * 	283.18	橙2等级2易伤2伤害1火球减费1全技能2挖怪	17挖怪27等级3火球减费45易伤67伤害7序列升级8全技能9双倍矿a核
7	56132 31123	 * 	282.28	橙3等级2易伤1伤害2时间	1额外掉落2双倍矿39易伤459等级6平台7核89时间9序列升级a伤害
8	33622 61325	 * 	282.18	紫2等级2易伤2火球减费2时间1暴击	19火球减费2额外掉落3暴击49易伤5核6基地爆炸7a时间89等级9序列升级
9	33623 11325	   	282.18	橙2等级2易伤2火球减费2时间1暴击	19火球减费2额外掉落3暴击49易伤5敌人爆炸6a时间7核89等级9序列升级
10	33626 11325	   	282.18	橙2等级2易伤2火球减费2时间1暴击	19火球减费2额外掉落3暴击49易伤5基地爆炸6a时间7核89等级9序列升级
11	33622 61322	   	280.07	紫2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5核6基地爆炸7时间89等级9序列升级a随机技能
12	33623 11322	   	280.07	橙2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5敌人爆炸6时间7核89等级9序列升级a随机技能
13	33626 11322	   	280.07	橙2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5基地爆炸6时间7核89等级9序列升级a随机技能
14	33625 11322	   	279.97	橙2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5挖尘6时间7核89等级9序列升级a随机技能
15	16533 41312	 * 	279.45	橙2等级2易伤1伤害1毒气减费	1最后敌人24等级35易伤6技能点7时间8核9毒气减费a伤害
16	33622 36225	 * 	279.35	紫2等级2易伤2火球减费2暴击	19火球减费2额外掉落36暴击49易伤5核79等级8双倍秒伤9序列升级a时间
17	16533 41321	   	275.02	橙3易伤2等级1全技能	1最后敌人24等级359易伤6技能点7时间8核a全技能
18	16533 32243	   	274.42	橙3易伤2等级1火球减费	1最后敌人24等级359易伤6雷电7金币生成8核a火球减费
19	34613 23112	 * 	274.42	紫3易伤2等级2火球减费	1a火球减费2暴雪减费3a等级4核57a易伤6技能8额外掉落9双倍矿a序列升级
20	33622 61321	   	273.14	紫2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5核6基地爆炸7时间89等级9序列升级a矿等
21	33622 61323	   	273.14	紫2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5核6a基地爆炸7时间89等级9序列升级
22	33622 61326	   	273.14	紫2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5核6基地爆炸7时间89等级9序列升级a雷电
23	33623 11321	   	273.14	橙2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5敌人爆炸6时间7核89等级9序列升级a矿等
24	33623 11323	   	273.14	橙2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5敌人爆炸6时间7核89等级9序列升级a基地爆炸
25	33623 11326	   	273.14	橙2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5敌人爆炸6时间7核89等级9序列升级a雷电
26	33626 11321	   	273.14	橙2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5基地爆炸6时间7核89等级9序列升级a矿等
27	33626 11323	   	273.14	橙2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5a基地爆炸6时间7核89等级9序列升级
28	33626 11326	   	273.14	橙2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5基地爆炸6时间7核89等级9序列升级a雷电
29	56132 31533	   	273.14	橙3等级2易伤1伤害	1额外掉落2双倍矿38易伤458等级6平台7核8序列升级9时间a伤害
30	33622 61324	   	273.04	紫2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5核6基地爆炸7时间89等级9序列升级a挖尘
31	33623 11324	   	273.04	橙2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5敌人爆炸6时间7核89等级9序列升级a挖尘
32	33625 11321	   	273.04	橙2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5挖尘6时间7核89等级9序列升级a矿等
33	33625 11323	   	273.04	橙2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5挖尘6时间7核89等级9序列升级a基地爆炸
34	33625 11325	   	273.04	橙2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5挖尘6时间7核89等级9序列升级a平台
35	33626 11324	   	273.04	橙2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5基地爆炸6时间7核89等级9序列升级a挖尘
36	33625 11324	   	272.94	橙2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5a挖尘6时间7核89等级9序列升级
37	33625 11326	   	272.94	橙2等级2易伤2火球减费1暴击	19火球减费2额外掉落3暴击49易伤5挖尘6时间7核89等级9序列升级a双倍秒伤
38	33213 65332	 * 	272.39	紫橙1等级1易伤1火球减费1烈焰减费	1火球减费2额外掉落3烈焰减费4随机技能5a核6等级7双倍秒伤8寒冰对黄9易伤
