0	Index      	 *	Score 	Summary	Detail	
1	21231 22645	 * 	287.83	DCR|DCR|2DMG|1VULN|2CDMG|1RPLT	1FRZARM|2AAC|39DMG|4VULN|57CDMG|6RPLT|8aRCR
2	62135 11136	 * 	285.84	DCR|DCR|3VULN|1CDMG	138VULN|278FEWX|4ERES|5CDMG|68LIT|8BPWR|9aRCR
3	61411 31351	 * 	281.33	ACR|DCR|2VULN|2MLV|2CDMG	19VULN|2TBNT|37RCR|49MLV|5LWND|6CGEN|89CDMG|9BPWR|aDUR
4	63121 52423	   	280.30	DCR|DCR|3VULN	138VULN|2LHND|4DUR|5MDPS|6RMIN|7CGEN|9aRCR
5	61411 31353	   	273.03	ACR|DCR|2VULN|2MLV|2CDMG	19VULN|2TBNT|37RCR|49MLV|5LWND|6CGEN|89CDMG|9BPWR|aLHND
6	61411 31352	   	272.93	ACR|DCR|2VULN|2MLV|2CDMG	19VULN|2TBNT|37RCR|49MLV|5LWND|6CGEN|89CDMG|9BPWR|aVENTOX
7	22522 21434	   	272.03	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1FRZARM|2VULN|3SNIFST|4MDPS|5RPLT|6DMG|7ASPD|89RCR|aDUR
8	62111 26343	   	271.99	DCR|DCR|3VULN	139VULN|2FEWX|4LWND|5MDPS|6aRCR|7LHND|8RMIN
9	63111 52423	   	271.99	DCR|DCR|3VULN	138VULN|2LHND|4LWND|5MDPS|6RMIN|7CGEN|9aRCR
10	22522 21435	   	270.66	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1FRZARM|2VULN|3SNIFST|4MDPS|5RPLT|6DMG|7ASPD|89RCR|aNUKE
11	43322 36141	 * 	266.14	DCR|2VULN|3DMG|2MLV|1AART|1RPLT	1NUKE|2RPLT|39MLV|459DMG|69VULN|7AART|8RCR|9BPWR|aTLV
12	43322 36143	   	266.14	DCR|2VULN|3DMG|2MLV|1AART|1RPLT	1NUKE|2RPLT|39MLV|459DMG|69VULN|7AART|8RCR|9BPWR|aRMIN
13	43322 36142	   	266.04	DCR|2VULN|3DMG|2MLV|1AART|1RPLT	1NUKE|2RPLT|39MLV|459DMG|69VULN|7AART|8RCR|9BPWR|aDUST
14	61423 31351	   	265.72	ACR|DCR|2VULN|2CDMG|1MLV	19VULN|2TBNT|37RCR|49LHND|5MLV|6CGEN|89CDMG|9BPWR|aDUR
15	22522 21431	   	263.72	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1FRZARM|2VULN|3SNIFST|4MDPS|5RPLT|6DMG|7ASPD|89RCR|aBEXP
16	22522 21433	   	263.72	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1FRZARM|2VULN|3SNIFST|4MDPS|5RPLT|6DMG|7ASPD|89RCR|aLIT
17	22522 21436	   	263.72	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1FRZARM|2VULN|3SNIFST|4MDPS|5RPLT|6DMG|7ASPD|89RCR|aRCVC
18	22522 21432	   	263.62	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1FRZARM|2VULN|3SNIFST|4MDPS|5RPLT|6DMG|7ASPD|89RCR|aDUST
19	65111 26133	   	263.38	DCR|DCR|2VULN|2DUR	13VULN|28DUR|49LWND|5MDPS|6aRCR|7LHND
20	65121 53123	   	263.38	DCR|DCR|2VULN|2DUR	13VULN|24DUR|5DUST|6LHND|7LWND|8BEXP|9aRCR
21	61431 31421	 * 	263.15	ACR|DCR|3VULN|3DUR	15aVULN|2TBNT|37RCR|48aDUR|6aBEXP|9LEGI|aBPWR
22	56413 21122	   	262.53	ACR|DCR|2VULN|2MLV|1AART	1BBNT|2LHND|37RCR|49MLV|5TLV|6aVULN|8AART
23	61413 51122	   	262.53	ACR|DCR|2VULN|2MLV|1AART	1aVULN|2TBNT|37RCR|49MLV|5TLV|6LWND|8AART
24	62135 11336	   	262.18	DCR|DCR|2VULN|1CDMG	13VULN|278FEWX|4ERES|5CDMG|6LIT|9aRCR
25	21331 22645	   	261.18	DCR|DCR|2DMG|2CDMG|1RPLT	1FRZARM|2AAC|3DUR|49DMG|57CDMG|6RPLT|8aRCR
26	61421 51123	   	260.57	ACR|DCR|2VULN|1MLV|1CDMG|1AART	15VULN|2TBNT|37RCR|4LHND|6LWND|8AART|9MLV|aCDMG
27	61411 31336	   	259.21	ACR|DCR|2VULN|1MLV|1CDMG	1aVULN|2TBNT|37RCR|4MLV|5LWND|6CGEN|8CDMG|9DUR
28	61423 31336	   	259.21	ACR|DCR|2VULN|1MLV|1CDMG	1aVULN|2TBNT|37RCR|4LHND|5MLV|6CGEN|8CDMG|9DUR
29	61431 31411	   	258.24	ACR|DCR|3VULN|2DUR	15aVULN|2TBNT|37RCR|48DUR|6aBEXP|9aFEWX|aBPWR
30	61431 51321	   	258.24	ACR|DCR|3VULN|2DUR	15aVULN|2TBNT|37RCR|49DUR|6aLWND|8aFEWX|aBPWR
31	61421 31431	   	258.24	ACR|DCR|3VULN|2DUR	15aVULN|2TBNT|37RCR|4LHND|6aBEXP|8aDUR|9RCVC|aBPWR
32	61431 31121	   	258.14	ACR|DCR|3VULN|2DUR	15aVULN|2TBNT|37RCR|4aDUR|6aBEXP|8DMSP|9LEGI|aBPWR
33	61431 31431	   	258.04	ACR|DCR|3VULN|2DUR	15aVULN|2TBNT|37RCR|48DUR|6aBEXP|9aDUST|aBPWR
