0	Index      	 *	Score 	Summary	Detail	
1	34324 16312	 * 	258.84	DCR|3VULN|2DMG|2CDMG|1MLV|1SELL	1TBNT|27aVULN|3SELL|47CDMG|57DMG|6RCR|7BPWR|8MLV|9RMIN
2	13212 26255	 * 	258.38	DCR|DCR|1VULN|2CDMG|1RPLT	15LIT|27CDMG|3DUR|4VULN|6RPLT|8aRCR|9AME
3	34324 16322	 * 	257.33	DCR|2VULN|2DMG|2CDMG|1MLV|1ASPD|1SELL	1TBNT|27VULN|3SELL|47CDMG|57DMG|6RCR|7BPWR|8MLV|9DUR|aASPD
4	31684 43481	 * 	256.73	DCR|DCR|2VULN	1TBNT|2MBVNT|3LIT|47VULN|5DLOT|69RCR|8DUR|aLHND
5	31684 43482	   	256.73	DCR|DCR|2VULN	1TBNT|2MBVNT|3LIT|47VULN|5DLOT|69RCR|8DUR|aTLV
6	31684 43483	   	256.73	DCR|DCR|2VULN	1TBNT|2MBVNT|3LIT|47VULN|5DLOT|69RCR|8DUR|aBEXP
7	31684 43484	   	256.73	DCR|DCR|2VULN	1TBNT|2MBVNT|3LIT|47VULN|5DLOT|69RCR|8DUR|aAAC
8	31423 65445	 * 	253.11	DCR|2VULN|3ASPD|2DMG|1MLV	1TBNT|2MBVNT|359ASPD|4FEWX|6RCR|79DMG|89VULN|9BPWR|aMLV
9	31423 68245	   	253.11	DCR|2VULN|3ASPD|2DMG|1MLV	1TBNT|2MBVNT|359ASPD|4FEWX|6RCR|79VULN|89DMG|9BPWR|aMLV
10	31212 68461	 * 	251.19	DCR|DCR|1VULN|1MLV|1CDMG|1ZMB	1TBNT|2MBVNT|3ZMB|4NUKE|5MLV|69RCR|7VULN|8CDMG|aCANTOX
11	31212 68462	 * 	251.19	DCR|DCR|1VULN|1MLV|1CDMG|1ZMB	1TBNT|2MBVNT|3ZMB|4NUKE|5MLV|69RCR|7VULN|8CDMG|aSNIFST
12	31212 68463	 * 	251.19	DCR|DCR|1VULN|1MLV|1CDMG|2ZMB	1TBNT|2MBVNT|3aZMB|4NUKE|5MLV|69RCR|7VULN|8CDMG
13	31212 68464	 * 	251.19	DCR|DCR|1VULN|1MLV|1CDMG|1ZMB	1TBNT|2MBVNT|3ZMB|4NUKE|5MLV|69RCR|7VULN|8CDMG|aDUST
14	22432 11616	 * 	250.24	DCR|DCR|2DMG|1MLV|1RPLT	17DMG|2BEXP|3MULHEA|4RPLT|5MDPS|6BELT|8aRCR|9MLV
15	31432 62823	 * 	250.24	DCR|DCR|3ASPD|1MLV|1AART	1TBNT|2MBVNT|379ASPD|4RMIN|5MLV|6aRCR|8AART
16	31812 62462	   	250.20	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG	1TBNT|2MBVNT|3AME|4NUKE|5MLV|69RCR|7CDMG|8DMG|aASPD
