0	Index      	 *	Score 	Summary	Detail	
1	11211 85224	 * 	294.96	DCR|DCR|3VULN|1CDMG|1RPLT|1ZMB	1MBVNT|245VULN|3CDMG|6ZMB|7aRCR|8ERES|9RPLT
2	14623 32447	 * 	293.55	DCR|DCR|1VULN|2MLV|2ASPD|1CDMG	1MBVNT|27LIT|37ASPD|4TBNT|57MLV|69RCR|7BPWR|8CDMG|aVULN
3	14633 32447	   	293.55	DCR|DCR|1VULN|2MLV|2ASPD|1CDMG	1MBVNT|27LIT|37ASPD|4BBNT|57MLV|69RCR|7BPWR|8CDMG|aVULN
4	14677 13313	 * 	286.78	ACR|DCR|2VULN|3DMG|1ASPD	1MBVNT|29LIT|3ASPD|49aDMG|56RCR|79VULN|8RMIN|9BPWR
5	14373 32445	 * 	285.80	DCR|DCR|3DMG|2MLV|1CDMG	1MBVNT|27LIT|3TBNT|47aDMG|57MLV|69RCR|7BPWR|8CDMG
6	14571 32445	   	285.80	DCR|DCR|3DMG|2MLV|1CDMG	1MBVNT|27LIT|37MLV|47aDMG|5BBNT|69RCR|7BPWR|8CDMG
7	14574 32445	   	285.80	DCR|DCR|3DMG|2MLV|1CDMG	1MBVNT|27LIT|37MLV|47aDMG|5TBNT|69RCR|7BPWR|8CDMG
8	11213 85424	 * 	285.39	DCR|DCR|2VULN|1CDMG|1ASPD|1RPLT	1MBVNT|24VULN|3CDMG|5ERES|6RCVC|7aRCR|8ASPD|9RPLT
9	11213 25424	   	285.29	DCR|DCR|2VULN|1ASPD|1CDMG|1RPLT	1MBVNT|24VULN|3CDMG|56ERES|7aRCR|8ASPD|9RPLT
10	11278 25424	   	285.29	DCR|DCR|2VULN|1ASPD|1CDMG|1RPLT	1MBVNT|25VULN|3CDMG|46ERES|7aRCR|8ASPD|9RPLT
11	15311 21462	   	284.07	DCR|DCR|3DMG|1ASPD|1CDMG|1AART	1MBVNT|238DMG|3BPWR|4DUR|5ASPD|6CDMG|7aRCR|9AART
12	15511 21462	   	284.07	DCR|DCR|3DMG|1ASPD|1CDMG|1AART	1MBVNT|238DMG|4DUR|5ASPD|6CDMG|7aRCR|9AART
13	12671 62424	 * 	282.84	ACR|DCR|3VULN|3CDMG|1ASPD	1MBVNT|2BBNT|368CDMG|47RCR|569VULN|6BPWR|aASPD
14	12864 26423	 * 	281.65	DCR|DCR|3VULN|1AART	1MBVNT|2BBNT|3AART|4LWND|5AAC|68aVULN|79RCR
15	14523 17447	   	280.89	DCR|DCR|1VULN|2MLV|1ASPD|1CDMG	1MBVNT|2LIT|35MLV|4TBNT|69RCR|7ASPD|8CDMG|aVULN
16	14533 17447	   	280.89	DCR|DCR|1VULN|2MLV|1ASPD|1CDMG	1MBVNT|2LIT|35MLV|4BBNT|69RCR|7ASPD|8CDMG|aVULN
17	11371 12341	   	280.20	DCR|DCR|3VULN	1MBVNT|259VULN|3TBNT|4AME|6DUR|7BBNT|8aRCR
18	11571 12341	   	280.20	DCR|DCR|3VULN	1MBVNT|259VULN|3BBNT|4AME|6DUR|7TBNT|8aRCR
19	11836 42341	   	280.20	DCR|DCR|3VULN	1MBVNT|239VULN|4DUR|5BBNT|6AME|7TBNT|8aRCR
20	12271 12341	   	280.20	DCR|DCR|3VULN	1MBVNT|2BBNT|359VULN|4AME|6DUR|7TBNT|8aRCR
21	14744 43526	   	280.20	DCR|DCR|3VULN	1MBVNT|2LIT|3DUR|478VULN|5MDPS|6CGEN|9aRCR
22	12671 62423	   	278.85	ACR|DCR|3VULN|3CDMG|1RPLT	1MBVNT|2BBNT|368CDMG|47RCR|569VULN|6BPWR|aRPLT
23	14623 32445	 * 	278.66	DCR|DCR|2MLV|2ASPD|1DMG|1CDMG	1MBVNT|27LIT|37ASPD|4TBNT|57MLV|69RCR|7BPWR|8CDMG|aDMG
24	14633 32445	   	278.66	DCR|DCR|2MLV|2ASPD|1DMG|1CDMG	1MBVNT|27LIT|37ASPD|4BBNT|57MLV|69RCR|7BPWR|8CDMG|aDMG
25	14373 32443	   	278.45	DCR|DCR|2DMG|2MLV|1CDMG	1MBVNT|27LIT|3TBNT|47DMG|57MLV|69RCR|7BPWR|8CDMG|aDUR
26	14571 32443	   	278.45	DCR|DCR|2DMG|2MLV|1CDMG	1MBVNT|27LIT|37MLV|47DMG|5BBNT|69RCR|7BPWR|8CDMG|aDUR
27	14574 32443	   	278.45	DCR|DCR|2DMG|2MLV|1CDMG	1MBVNT|27LIT|37MLV|47DMG|5TBNT|69RCR|7BPWR|8CDMG|aDUR
28	17561 32443	   	278.45	DCR|DCR|2DMG|2MLV|1CDMG	1MBVNT|27MLV|37DMG|47LIT|5BBNT|69RCR|7BPWR|8CDMG|aDUR
29	17564 32443	   	278.45	DCR|DCR|2DMG|2MLV|1CDMG	1MBVNT|27MLV|37DMG|47LIT|5TBNT|69RCR|7BPWR|8CDMG|aDUR
30	11216 85224	 * 	277.81	DCR|DCR|2VULN|2CDMG|1RPLT|1ZMB	1MBVNT|24VULN|35CDMG|6ZMB|7aRCR|8ERES|9RPLT
31	11261 85224	 * 	277.81	DCR|DCR|2VULN|2CDMG|1RPLT|1ZMB	1MBVNT|25VULN|34CDMG|6ZMB|7aRCR|8ERES|9RPLT
32	12671 62422	   	277.49	ACR|DCR|3VULN|3CDMG	1MBVNT|2BBNT|368CDMG|47RCR|569VULN|6BPWR|aDUR
33	11346 44335	 * 	277.37	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1RPLT	1MBVNT|2VULN|3TBNT|4RPLT|5ASPD|6ERES|7CDMG|89RCR|aDMG
34	11546 44335	   	277.37	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1RPLT	1MBVNT|2VULN|3BBNT|4RPLT|5ASPD|6ERES|7CDMG|89RCR|aDMG
35	12246 44335	   	277.37	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1RPLT	1MBVNT|2BBNT|3VULN|4RPLT|5ASPD|6ERES|7CDMG|89RCR|aDMG
36	12671 62142	   	276.80	ACR|DCR|3VULN|2CDMG|1ASPD	1MBVNT|2BBNT|36CDMG|47RCR|569VULN|6BPWR|8ASPD|aBELT
37	13121 47186	 * 	276.80	DCR|DCR|2VULN|1DMG	1MBVNT|2LWND|3LIT|4VENTOX|5DMG|6DUR|79RCR|8aVULN
38	14121 47186	   	276.80	DCR|DCR|2VULN|1DMG	1MBVNT|2LIT|3LWND|4VENTOX|5DMG|6DUR|79RCR|8aVULN
39	12671 62141	   	276.70	ACR|DCR|3VULN|2CDMG|1ASPD|1MSE	1MBVNT|2BBNT|36CDMG|47RCR|569VULN|6BPWR|8ASPD|aMSE
40	12671 62143	   	276.70	ACR|DCR|3VULN|2CDMG|1ASPD	1MBVNT|2BBNT|36CDMG|47RCR|569VULN|6BPWR|8ASPD|aMDPS
41	12671 62144	   	276.70	ACR|DCR|3VULN|2CDMG|1ASPD	1MBVNT|2BBNT|36CDMG|47RCR|569VULN|6BPWR|8ASPD|aDUST
42	11831 44526	   	274.27	DCR|DCR|2VULN|1MLV	1MBVNT|23VULN|4DUR|5DUST|6MLV|7FEWX|8LIT|9aRCR
43	11833 14526	   	274.27	DCR|DCR|2VULN|1MLV	1MBVNT|23VULN|4DUR|5MLV|6DUST|7FEWX|8LIT|9aRCR
44	13874 43251	   	274.27	DCR|DCR|2VULN|1MLV	1MBVNT|2LWND|34VULN|5DUR|6MLV|7aRCR|8BBNT|9MDPS
45	11371 52361	   	271.99	DCR|DCR|3VULN	1MBVNT|259VULN|3TBNT|49AME|69FEWX|7BBNT|8aRCR|9BPWR
46	11371 72361	   	271.99	DCR|DCR|3VULN	1MBVNT|259VULN|3TBNT|49AME|69LHND|7BBNT|8aRCR|9BPWR
47	11383 11361	   	271.99	DCR|DCR|3VULN	1MBVNT|279VULN|3TBNT|49ERES|5BBNT|69LWND|8aRCR|9BPWR
