0	Index      	 *	Score 	Summary	Detail	
1	13311 25234	 * 	280.81	DCR|DCR|2DMG|3DUR|2CDMG|1MLV	18DMG|2MLV|378DUR|4DMSP|58CDMG|6aRCR|8BPWR|9LWND
2	32111 25234	 * 	278.83	DCR|DCR|2MLV|3DUR|1DMG|2CDMG	178DUR|2DMG|38MLV|4DMSP|58CDMG|6aRCR|8BPWR|9LWND
3	11114 12415	 * 	264.24	DCR|2VULN|2DMG|2MLV|1CDMG|1AART|1RPLT	1aDMG|2aLHND|36MLV|4AART|5RPLT|7CDMG|8RCR|9aVULN|aBPWR
4	32323 31554	 * 	262.47	DCR|DCR|1VULN|1DMG|1CDMG	1DUR|2DMG|3BEXP|4MDPS|5CGEN|6FEWX|7VULN|8aRCR|9CDMG
5	21132 52354	 * 	257.94	DCR|DCR|2VULN|1RPLT|1SELL	1RPLT|2LIT|3LWND|4AELOIC|56VULN|7RCVC|8SELL|9aRCR
6	21132 53354	 * 	257.94	DCR|DCR|2VULN|1RPLT|1SELL	1RPLT|27LIT|3LWND|4AELOIC|56VULN|8SELL|9aRCR
7	32511 22114	   	256.61	DCR|DCR|3DUR|1DMG|1MLV|1CDMG	138DUR|2DMG|4ERES|5CDMG|6aRCR|7MLV|9CGEN
8	32531 22144	   	256.61	DCR|DCR|3DUR|1DMG|1MLV|1CDMG	138DUR|2DMG|4CGEN|5CDMG|6aRCR|7MLV|9AME
9	32511 22144	   	256.51	DCR|DCR|3DUR|1DMG|1MLV|1CDMG	138DUR|2DMG|4ERES|5CDMG|6aRCR|7MLV|9AME
10	13263 16323	 * 	254.73	DCR|3VULN|2DMG|2MLV	17DMG|26MLV|3AAC|47LWND|579VULN|7BPWR|8RMIN|aRCR
11	13263 16513	   	254.73	DCR|3VULN|2DMG|2MLV	17DMG|26MLV|3AAC|47LWND|578VULN|7BPWR|9TLV|aRCR
12	11114 11415	 * 	254.65	DCR|2VULN|3MLV|2DMG|1AART|1RPLT|1SELL	1aDMG|2LHND|36aMLV|4AART|5RPLT|7SELL|8RCR|9aVULN|aBPWR
13	11123 12441	   	254.63	DCR|3VULN|2DMG|2MLV	19DMG|2LHND|39MLV|4DLOT|5BELT|6TBNT|79aVULN|8RCR|9BPWR
14	11123 32441	   	254.63	DCR|3VULN|2DMG|2MLV	19DMG|2LHND|39MLV|4DLOT|5BELT|6BBNT|79aVULN|8RCR|9BPWR
15	13232 14613	   	254.63	DCR|3VULN|2DMG|2MLV	18DMG|28MLV|3AAC|45CGEN|6DUST|789VULN|8BPWR|aRCR
16	11124 11415	   	254.48	DCR|2VULN|2DMG|2MLV|1CDMG|1RPLT	1aDMG|2aLHND|36MLV|4DLOT|5RPLT|7CDMG|8RCR|9aVULN|aBPWR
17	11323 31554	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|2LHND|3BEXP|4MDPS|5CGEN|6FEWX|7VULN|8aRCR|9CDMG
18	13131 26352	   	252.26	DCR|DCR|2MLV|1DMG|1CDMG	1DMG|29MLV|3AME|4CGEN|5CDMG|6aRCR|7NUKE|8RMIN
19	13411 22163	   	252.26	DCR|DCR|2MLV|1DMG|1CDMG	1DMG|27MLV|3DUST|4DMSP|5CDMG|6aRCR|8MDPS|9LIT
20	13111 26352	   	252.16	DCR|DCR|2MLV|1DMG|1CDMG	1DMG|29MLV|3AME|4ERES|5CDMG|6aRCR|7NUKE|8RMIN
21	45311 22132	   	251.46	DCR|DCR|1DMG|1MLV|2DUR|1CDMG|1ZMB	1CGEN|2ZMB|38DUR|4DMSP|5CDMG|6aRCR|7MLV|9DMG
