0	Index      	 *	Score 	Summary	Detail	
1	12215 84451	 * 	290.55	DCR|DCR|1VULN|2MLV|1ASPD|1CDMG|1RPLT	1CDMG|2TBNT|39MLV|4MBVNT|5RPLT|6aRCR|7ASPD|8VULN
2	35252 22141	 * 	289.37	DCR|DCR|2VULN|1MLV|1ASPD|1AART	1AME|2DMSP|39VULN|4AART|5MLV|6ASPD|78RCR|aTBNT
3	35252 22142	   	289.37	DCR|DCR|2VULN|1MLV|1ASPD|1AART	1AME|2DMSP|39VULN|4AART|5MLV|6ASPD|78RCR|aBEXP
4	35252 22143	   	289.27	DCR|DCR|2VULN|1MLV|1ASPD|1AART|1ZMB	1AME|2DMSP|39VULN|4AART|5MLV|6ASPD|78RCR|aZMB
5	11213 21121	 * 	285.40	DCR|DCR|3VULN|1CDMG|1SELL	1CDMG|2SELL|36aVULN|47FEWX|5SNITOX|89RCR
6	35254 12111	 * 	281.36	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5DMG|6MLV|78RCR|9FEWX|aASPD
7	35254 12131	   	281.36	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1AART	1AME|2DMSP|3VULN|4AART|5DMG|6MLV|78RCR|9LHND|aASPD
8	35254 12123	   	277.37	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1AME|2DMSP|3VULN|4AART|5DMG|6MLV|78RCR|9LIT|aRPLT
9	12215 81451	   	276.80	DCR|DCR|1VULN|2MLV|1CDMG|1RPLT	1CDMG|2TBNT|39MLV|4MBVNT|5RPLT|6aRCR|7NUKE|8VULN
10	35252 32141	   	275.72	DCR|DCR|2VULN|1MLV|1AART	1AME|2DMSP|39VULN|4AART|5MLV|6AAC|78RCR|aTBNT
11	35252 32142	   	275.72	DCR|DCR|2VULN|1MLV|1AART	1AME|2DMSP|39VULN|4AART|5MLV|6AAC|78RCR|aBEXP
12	56111 61313	   	275.72	DCR|DCR|2VULN|1MLV|1AART	1ERES|2LHND|3AART|47VULN|5LWND|6MLV|8aRCR|9TBNT
13	56112 61313	   	275.72	DCR|DCR|2VULN|1MLV|1AART	1ERES|2LHND|3AART|47VULN|5BEXP|6MLV|8aRCR|9TBNT
14	22341 38231	   	275.67	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1SELL	1SELL|2MBVNT|3DUR|4MDPS|5DMG|6RPLT|7MLV|8VULN|9aRCR
15	35252 32143	   	275.62	DCR|DCR|2VULN|1MLV|1AART|1ZMB	1AME|2DMSP|39VULN|4AART|5MLV|6AAC|78RCR|aZMB
16	35252 22124	   	274.94	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6ASPD|78RCR|9LIT|aCDMG
17	12215 57241	   	274.84	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT	1CDMG|2TBNT|3MLV|4MBVNT|5RPLT|6ASPD|7AELOIC|8VULN|9aRCR
18	12215 84411	   	274.84	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT	1CDMG|2TBNT|3MLV|4MBVNT|5RPLT|6aRCR|7ASPD|8VULN|9AELOIC
19	25336 12141	   	274.80	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1AART|1SELL	1SELL|2AART|3TLV|4CDMG|5LHND|6MLV|78RCR|9VULN|aASPD
20	11313 12141	   	274.70	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1AART|1SELL	1CDMG|2SELL|3ERES|4LHND|5AART|6MLV|78RCR|9VULN|aASPD
21	11333 12141	   	274.70	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1AART|1SELL	1CDMG|2SELL|3ERES|4LWND|5AART|6MLV|78RCR|9VULN|aASPD
22	35252 22111	 * 	273.75	DCR|DCR|1VULN|2ASPD|1MLV|1AART	1AME|2DMSP|3VULN|4AART|5MLV|6aASPD|78RCR|9FEWX
