0	Index      	 *	Score 	Summary	Detail	
1	22423 42353	 * 	294.77	DCR|DCR|2VULN|1MLV|2DUR|1ASPD	1BEXP|25VULN|35DUR|4BBNT|5BPWR|6aRCR|7LIT|8ASPD|9MLV
2	42361 32612	 * 	292.15	DCR|DCR|3VULN|1DMG	1FEWX|246VULN|3BEXP|5LIT|7CGEN|8aRCR|9DMG
3	21313 14233	 * 	291.59	DCR|DCR|3DMG|1VULN|1MLV	145BEXP|245DMG|3RMIN|45BPWR|6MLV|7CGEN|89RCR|aVULN
4	21313 15233	   	291.59	DCR|DCR|3DMG|1VULN|1MLV	145BEXP|245DMG|3RMIN|45BPWR|6MLV|7TLV|89RCR|aVULN
5	21313 13233	   	291.49	DCR|DCR|3DMG|1VULN|1MLV	145BEXP|245DMG|3RMIN|45BPWR|6MLV|7AME|89RCR|aVULN
6	31356 23241	   	286.46	DCR|DCR|2VULN|1DMG|1AART	1AME|2LIT|3BASARM|48VULN|5DMG|6AART|7aRCR|9DUR
7	41331 21218	   	283.84	DCR|DCR|2DMG|1VULN|1MLV	1FEWX|2aDMG|3VENICY|4MBVNT|5DUR|69RCR|7MLV|8VULN
8	22423 42623	   	283.55	DCR|DCR|2VULN|1DMG|2DUR	1BEXP|25VULN|35DUR|4BBNT|5BPWR|6aRCR|7LIT|8DMG|9ERES
9	41331 21212	 * 	281.86	DCR|DCR|1VULN|2MLV|1DMG	1FEWX|2DMG|3VENICY|4MBVNT|5DUR|69RCR|7aMLV|8VULN
10	22423 42253	   	281.11	DCR|DCR|2VULN|1MLV|2DUR	1BEXP|25VULN|35DUR|4BBNT|5BPWR|6aRCR|7LIT|8AAC|9MLV
11	52323 42353	   	279.91	DCR|DCR|2VULN|1MLV|1ASPD	1LHND|25VULN|35BEXP|4BBNT|5BPWR|6aRCR|7LIT|8ASPD|9MLV
12	51312 23231	   	278.25	DCR|DCR|2VULN|1DMG|1AART	1LHND|2DMG|3VENICY|4TLV|5LIT|6AART|7aRCR|89VULN
13	31356 21231	   	278.15	DCR|DCR|2VULN|1DMG|1AART	1AME|2LIT|3BASARM|49VULN|5DMG|6AART|7BEXP|8aRCR
14	31356 26231	   	278.15	DCR|DCR|2VULN|1DMG|1AART	1AME|2LIT|3BASARM|49VULN|5DMG|6AART|7FEWX|8aRCR
15	31356 22231	   	278.05	DCR|DCR|2VULN|1DMG|1AART	1AME|2LIT|3BASARM|49VULN|5DMG|6AART|7DUST|8aRCR
16	22423 42363	   	277.23	DCR|DCR|2VULN|2DUR|1ASPD	1BEXP|25VULN|35DUR|4BBNT|5BPWR|6aRCR|7LIT|8ASPD|9CGEN
17	22423 42323	   	277.13	DCR|DCR|2VULN|2DUR|1ASPD	1BEXP|25VULN|35DUR|4BBNT|5BPWR|6aRCR|7LIT|8ASPD|9ERES
18	42253 33612	   	277.00	DCR|DCR|2VULN|1DMG	1FEWX|26VULN|34LIT|5DUR|7CGEN|8aRCR|9DMG
19	41337 21218	   	275.43	DCR|DCR|2DMG|1VULN|1MLV	1FEWX|2aDMG|3VENICY|4MBVNT|5DUST|69RCR|7MLV|8VULN
20	41113 33542	 * 	274.91	ACR|DCR|2VULN|2DMG|1MLV	1FEWX|26DMG|3BEXP|48VULN|5aRCR|7MLV|9LIT
21	21313 22233	   	274.05	DCR|DCR|3DMG|1VULN	145BEXP|245DMG|36RMIN|45BPWR|7LHND|89RCR|aVULN
