0	Index      	 *	Score 	Summary	Detail	
1	23521 16251	 * 	269.09	ACR|DCR|3VULN|2ASPD	1MGNSTR|28RCR|35aVULN|47ASPD|6TBNT|9AELOIC
2	21221 53523	 * 	265.08	DCR|DCR|1VULN|2AART|1MLV|1RPLT	1MGNSTR|2CGEN|3BBNT|45AART|6RPLT|78RCR|9VULN|aMLV
3	21521 53523	   	265.08	DCR|DCR|1VULN|2AART|1MLV|1RPLT	1MGNSTR|2CGEN|3TBNT|45AART|6RPLT|78RCR|9VULN|aMLV
4	23521 16232	   	259.38	ACR|DCR|2VULN|2ASPD|1CDMG	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9CDMG|aRCVC
5	23521 16233	   	259.38	ACR|DCR|2VULN|2ASPD|1CDMG	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9CDMG|aCGEN
6	23521 16235	   	259.38	ACR|DCR|2VULN|2ASPD|1CDMG	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9CDMG|aLWND
7	62521 16232	   	259.38	ACR|DCR|2VULN|2ASPD|1CDMG	18RCR|2LSRREG|35VULN|47ASPD|6TBNT|9CDMG|aRCVC
8	62521 16233	   	259.38	ACR|DCR|2VULN|2ASPD|1CDMG	18RCR|2LSRREG|35VULN|47ASPD|6TBNT|9CDMG|aCGEN
9	23521 16231	   	259.28	ACR|DCR|2VULN|2ASPD|1CDMG	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9CDMG|aMBVNT
10	23521 16234	   	259.28	ACR|DCR|2VULN|2ASPD|1CDMG	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9CDMG|aLEGI
11	23521 16236	   	259.28	ACR|DCR|2VULN|2ASPD|1CDMG	1MGNSTR|28RCR|35VULN|47ASPD|6TBNT|9CDMG|aDUST
12	62521 16231	   	259.28	ACR|DCR|2VULN|2ASPD|1CDMG	18RCR|2LSRREG|35VULN|47ASPD|6TBNT|9CDMG|aMBVNT
