0	Index      	 *	Score 	Summary	Detail	
1	53531 31531	 * 	285.92	DCR|DCR|2VULN|1DMG|1CDMG	1CDMG|26VULN|347CGEN|5DMG|8aRCR|9DUR
2	11113 35131	 * 	281.10	DCR|DCR|2DMG|1VULN|2ASPD|1SELL	1AME|2aDMG|3CGEN|49ASPD|5SELL|6VULN|78RCR
3	11413 35131	 * 	281.10	DCR|DCR|2DMG|1VULN|2ASPD|1SELL	1AME|2aDMG|3RMIN|49ASPD|5SELL|6VULN|78RCR
4	13233 43663	 * 	279.14	DCR|DCR|3VULN|1CDMG|1ZMB	1AME|2AELOIC|348VULN|5BLAICY|6ZMB|7aRCR|9CDMG
5	53314 25131	 * 	277.41	DCR|DCR|1VULN|2ASPD|1DMG|1CDMG	1CDMG|2VULN|3LHND|49ASPD|5NUKE|6RCVC|78RCR|aDMG
6	11113 35152	   	277.27	DCR|DCR|2VULN|1DMG|1ASPD|1SELL	1AME|2DMG|3CGEN|4ASPD|5SELL|6aVULN|78RCR|9LHND
7	11413 35152	   	277.27	DCR|DCR|2VULN|1DMG|1ASPD|1SELL	1AME|2DMG|3RMIN|4ASPD|5SELL|6aVULN|78RCR|9LHND
8	53114 15112	   	277.17	DCR|DCR|1VULN|2ASPD|1DMG|1CDMG|1ZMB	1CDMG|2VULN|3BEXP|46ASPD|5NUKE|78RCR|9ZMB|aDMG
9	53314 15112	   	277.17	DCR|DCR|1VULN|2ASPD|1DMG|1CDMG|1ZMB	1CDMG|2VULN|3LHND|46ASPD|5NUKE|78RCR|9ZMB|aDMG
10	62224 33133	   	274.62	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1AART	1DUST|2LHND|3AART|4CDMG|5BEXP|6aRCR|7VULN|8DMG|9ASPD
11	13134 51124	   	273.32	DCR|DCR|2VULN|1DMG|1AART	1AME|2AELOIC|3FEWX|45VULN|6AART|7aRCR|8DMG|9SPLJET
12	51111 32626	   	273.26	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2LHND|3BEXP|4ASPD|5DUR|6DUST|7DMG|8aRCR|9VULN
13	11113 35135	   	273.18	DCR|DCR|1VULN|2ASPD|1DMG|1AART|1SELL	1AME|2DMG|3CGEN|49ASPD|5SELL|6VULN|78RCR|aAART
14	11413 35135	   	273.18	DCR|DCR|1VULN|2ASPD|1DMG|1AART|1SELL	1AME|2DMG|3RMIN|49ASPD|5SELL|6VULN|78RCR|aAART
15	14232 61531	 * 	271.82	DCR|DCR|2VULN|2CDMG|1ZMB	1AME|2RCVC|34VULN|56CDMG|7ZMB|8aRCR|9DUR
16	53411 31332	 * 	271.82	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG|1RPLT	1CDMG|26VULN|3BASARM|49RCR|5RPLT|7BLAICY|8ASPD|aDMG
17	13232 61531	 * 	271.72	DCR|DCR|2VULN|2CDMG|1ZMB	1AME|2AELOIC|34VULN|56CDMG|7ZMB|8aRCR|9DUR
18	52123 35532	 * 	270.56	DCR|4VULN|3MLV|3CDMG	19aCDMG|2BBNT|358aVULN|459MLV|59aBPWR|6RCR|79aLIT
19	53114 15132	 * 	268.79	DCR|DCR|3ASPD|1VULN|1CDMG	1CDMG|2VULN|3BEXP|469ASPD|5NUKE|78RCR|aCGEN
20	53114 15133	   	268.79	DCR|DCR|3ASPD|1VULN|1CDMG	1CDMG|2VULN|3BEXP|469ASPD|5NUKE|78RCR|aFEWX
21	53314 15132	   	268.79	DCR|DCR|3ASPD|1VULN|1CDMG	1CDMG|2VULN|3LHND|469ASPD|5NUKE|78RCR|aCGEN
22	53314 15133	   	268.79	DCR|DCR|3ASPD|1VULN|1CDMG	1CDMG|2VULN|3LHND|469ASPD|5NUKE|78RCR|aFEWX
23	11251 13521	 * 	268.69	DCR|DCR|2DMG|1VULN|1CDMG	1AME|25DMG|3CDMG|46ERES|7RMIN|8aRCR|9VULN
24	53114 15131	   	268.69	DCR|DCR|3ASPD|1VULN|1CDMG	1CDMG|2VULN|3BEXP|469ASPD|5NUKE|78RCR|aMDPS
25	53314 15131	   	268.69	DCR|DCR|3ASPD|1VULN|1CDMG	1CDMG|2VULN|3LHND|469ASPD|5NUKE|78RCR|aMDPS
26	11113 35162	   	268.65	DCR|DCR|2DMG|1VULN|1ASPD|1SELL	1AME|2aDMG|3CGEN|4ASPD|5SELL|6VULN|78RCR|9BBNT
27	11413 35142	   	268.65	DCR|DCR|2DMG|1VULN|1ASPD|1SELL	1AME|2aDMG|3RMIN|4ASPD|5SELL|6VULN|78RCR|9AAC
28	11413 35162	   	268.65	DCR|DCR|2DMG|1VULN|1ASPD|1SELL	1AME|2aDMG|3RMIN|4ASPD|5SELL|6VULN|78RCR|9BBNT
29	11413 35112	   	268.41	DCR|DCR|2DMG|1VULN|1ASPD|1SELL|1ZMB	1AME|2aDMG|3RMIN|4ASPD|5SELL|6VULN|78RCR|9ZMB
30	13134 51324	   	266.91	DCR|DCR|2VULN|1ASPD|1AART	1AME|2AELOIC|3FEWX|45VULN|6AART|7aRCR|8ASPD|9SPLJET
31	13234 53126	 * 	265.74	DCR|DCR|3VULN	1AME|2AELOIC|348VULN|5TBNT|6ERES|7aRCR|9LIT
32	13235 53126	   	265.74	DCR|DCR|3VULN	1AME|2AELOIC|348VULN|5BBNT|6ERES|7aRCR|9LIT
33	52123 35531	 * 	265.22	DCR|3VULN|3MLV|1DMG|2CDMG	19CDMG|2BBNT|358VULN|459MLV|59BPWR|6RCR|79LIT|aDMG
34	52533 31223	   	264.96	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2BBNT|3ERES|4ASPD|5RMIN|6aRCR|7LHND|8DMG|9VULN
