0	Index      	 *	Score 	Summary	Detail	
1	32153 21358	 * 	286.02	DCR|DCR|2VULN|1DMG|1MLV	1LEGI|2TBNT|3LHND|4MLV|56VULN|7MBVNT|8aRCR|9DMG
2	21633 13358	   	276.90	DCR|DCR|2VULN|1DMG	1DUR|2CGEN|3MBVNT|4TBNT|57VULN|6LWND|8aRCR|9DMG
3	21633 43358	   	276.90	DCR|DCR|2VULN|1DMG	1DUR|2CGEN|3MBVNT|4TBNT|57VULN|6LHND|8aRCR|9DMG
4	26121 22433	 * 	275.67	ACR|DCR|3VULN|1MLV|2DUR	19DUR|25LIT|358VULN|47RCR|5BPWR|6CGEN|aMLV
5	53111 23543	 * 	272.79	DCR|3VULN|3ASPD|2DMG|1CDMG	12aASPD|39aVULN|4CDMG|5LHND|6RCR|7BELT|8aDMG|aBPWR
6	16522 41131	 * 	272.49	DCR|DCR|1VULN|2ASPD|1MLV	1RMIN|2BEXP|3LIT|4MLV|5DUR|6aRCR|79ASPD|8VULN
7	52321 26133	   	270.95	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1RPLT	1ASPD|2RPLT|3AART|4VULN|5LWND|69RCR|7BELT|8LEGI|aMLV
8	26121 22421	   	269.12	ACR|DCR|3VULN|1MLV	1DUR|25LIT|358VULN|47RCR|5BPWR|6CGEN|9MLV|aTBNT
9	26121 22422	   	269.12	ACR|DCR|3VULN|1MLV	1DUR|25LIT|358VULN|47RCR|5BPWR|6CGEN|9MLV|aBEXP
10	26121 22423	   	269.02	ACR|DCR|3VULN|1MLV	1DUR|25LIT|358VULN|47RCR|5BPWR|6CGEN|9MLV|aMBVNT
11	26121 22425	   	269.02	ACR|DCR|3VULN|1MLV	1DUR|25LIT|358VULN|47RCR|5BPWR|6CGEN|9MLV|aLEGI
12	26121 22426	   	269.02	ACR|DCR|3VULN|1MLV	1DUR|25LIT|358VULN|47RCR|5BPWR|6CGEN|9MLV|aAELOIC
13	33633 13358	   	268.49	DCR|DCR|2VULN|1DMG	1LEGI|2CGEN|3MBVNT|4TBNT|57VULN|6LWND|8aRCR|9DMG
14	33633 43358	   	268.49	DCR|DCR|2VULN|1DMG	1LEGI|2CGEN|3MBVNT|4TBNT|57VULN|6LHND|8aRCR|9DMG
15	35633 13318	   	268.49	DCR|DCR|2VULN|1DMG	1LEGI|2DMG|3MBVNT|4BBNT|57VULN|6LWND|8aRCR|9RMIN
16	35633 43318	   	268.49	DCR|DCR|2VULN|1DMG	1LEGI|2DMG|3MBVNT|4BBNT|57VULN|6LHND|8aRCR|9RMIN
17	32223 21358	   	268.39	DCR|DCR|2VULN|1DMG	1LEGI|2TBNT|3AME|4BEXP|56VULN|7MBVNT|8aRCR|9DMG
18	32233 21358	   	268.39	DCR|DCR|2VULN|1DMG	1LEGI|2TBNT|3AME|46VULN|5LHND|7MBVNT|8aRCR|9DMG
19	32236 21358	   	268.39	DCR|DCR|2VULN|1DMG	1LEGI|2TBNT|3AME|46VULN|5BEXP|7MBVNT|8aRCR|9DMG
20	32213 21358	   	268.29	DCR|DCR|2VULN|1DMG	1LEGI|2TBNT|3AME|4DUST|56VULN|7MBVNT|8aRCR|9DMG
21	22253 11358	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1DUR|26LWND|3TBNT|4MLV|5VULN|7MBVNT|8aRCR|9DMG
22	21662 18243	   	266.25	DCR|DCR|1VULN|1DMG|1MLV	1DUR|2CGEN|3MBVNT|4MLV|5DMG|6BEXP|7aRCR|8VULN|9ERES
23	21662 38243	   	266.25	DCR|DCR|1VULN|1DMG|1MLV	1DUR|2CGEN|3MBVNT|4MLV|5DMG|6LHND|7aRCR|8VULN|9ERES
24	52311 16734	 * 	265.35	DCR|2VULN|3ASPD|2MLV|2DUR|1AART|1RPLT	15aASPD|2RPLT|3AART|45DUR|5aBPWR|6MBVNT|7aMLV|8aVULN|9RCR
25	26121 22462	   	265.14	ACR|DCR|3VULN|1ASPD	1DUR|25LIT|358VULN|47RCR|5BPWR|6CGEN|9ERES|aASPD
26	53121 26132	   	264.62	DCR|DCR|1VULN|2ASPD|1AART	12ASPD|3VULN|48FEWX|5AART|6LIT|79RCR|aDUR
27	53114 23313	   	264.18	DCR|2VULN|3ASPD|2DMG|2DUR|1CDMG	12aASPD|3aVULN|4CDMG|58DUR|6RCR|7BELT|9aDMG|aBPWR
28	53114 23523	   	264.18	DCR|2VULN|3ASPD|2DMG|2DUR|1CDMG	12aASPD|3aVULN|4CDMG|59DUR|6RCR|7BELT|8aDMG|aBPWR
29	13424 23263	   	262.08	DCR|DCR|2VULN|1CDMG	1RMIN|2SNIFST|3MDPS|4CDMG|5AAC|6aVULN|7BBNT|89RCR
30	42322 12363	 * 	262.07	ACR|DCR|3MLV|1VULN|1CDMG|1RPLT	1RPLT|2MULARM|3aRCR|4CDMG|579MLV|6VULN|8BEXP
31	43322 12363	   	262.07	ACR|DCR|3MLV|1VULN|1CDMG|1RPLT	1RPLT|2FLTFST|3aRCR|4CDMG|579MLV|6VULN|8BEXP
32	52321 26135	   	261.73	DCR|DCR|1VULN|1ASPD|1AART|1RPLT	1ASPD|2RPLT|3AART|4VULN|5LWND|69RCR|7BELT|8LEGI|aDUR
