0	Index      	 *	Score 	Summary	Detail	
1	23231 12546	 * 	304.60	DCR|DCR|2VULN|1DMG|1MLV|1CDMG	1DUST|23VULN|4ERES|5CDMG|6DMG|7MLV|8aRCR|9AART
2	63232 61216	 * 	295.76	DCR|DCR|3VULN|1DMG	1RPLT|2LIT|345VULN|6aRCR|7RCVC|8BELT|9DMG
3	63232 63216	   	295.76	DCR|DCR|3VULN|1DMG	1RPLT|27LIT|345VULN|6aRCR|8BELT|9DMG
4	13231 42562	   	293.13	DCR|DCR|3VULN|1MLV	1LWND|239VULN|4LIT|5MLV|68RCR|7MSLREG|aRPLT
5	63232 61621	   	289.25	DCR|DCR|3VULN|1ASPD	1RPLT|2LIT|345VULN|6aRCR|7RCVC|8MBVNT|9ASPD
6	63232 63621	   	289.25	DCR|DCR|3VULN|1ASPD	1RPLT|27LIT|345VULN|6aRCR|8MBVNT|9ASPD
7	13231 42561	   	283.47	DCR|DCR|3VULN|1MLV	1aLWND|239VULN|4LIT|5MLV|68RCR|7MSLREG
8	13231 42563	   	283.47	DCR|DCR|3VULN|1MLV	1LWND|239VULN|4LIT|5MLV|68RCR|7MSLREG|aBBNT
9	31111 42536	   	283.37	DCR|DCR|3VULN|1MLV	13aVULN|2LIT|4DUST|5MLV|68RCR|7MSLREG|9CGEN
10	13324 11132	   	279.69	DCR|DCR|3VULN|1ASPD	1LWND|249VULN|3ASPD|5FEWX|6LHND|7aRCR|8TBNT
11	13324 21132	   	279.69	DCR|DCR|3VULN|1ASPD	1LWND|249VULN|3ASPD|5FEWX|6BEXP|7aRCR|8TBNT
12	32623 31132	   	279.69	DCR|DCR|3VULN|1ASPD	149VULN|2ASPD|3BEXP|5FEWX|6LWND|7aRCR|8TBNT
13	34323 31132	   	279.69	DCR|DCR|3VULN|1ASPD	149VULN|2BEXP|3ASPD|5FEWX|6LWND|7aRCR|8TBNT
14	36324 11132	   	279.69	DCR|DCR|3VULN|1ASPD	149VULN|2LWND|3ASPD|5FEWX|6LHND|7aRCR|8TBNT
15	36324 21132	   	279.69	DCR|DCR|3VULN|1ASPD	149VULN|2LWND|3ASPD|5FEWX|6BEXP|7aRCR|8TBNT
16	43323 31132	   	279.69	DCR|DCR|3VULN|1ASPD	1BEXP|249VULN|3ASPD|5FEWX|6LWND|7aRCR|8TBNT
17	13324 31132	   	279.59	DCR|DCR|3VULN|1ASPD	1LWND|249VULN|3ASPD|5FEWX|6DUST|7aRCR|8TBNT
18	23323 61132	   	279.59	DCR|DCR|3VULN|1ASPD	1DUST|249VULN|3ASPD|5FEWX|6LWND|7aRCR|8TBNT
19	32523 61132	   	279.59	DCR|DCR|3VULN|1ASPD	149VULN|2ASPD|3DUST|5FEWX|6LWND|7aRCR|8TBNT
20	36324 31132	   	279.59	DCR|DCR|3VULN|1ASPD	149VULN|2LWND|3ASPD|5FEWX|6DUST|7aRCR|8TBNT
21	33131 12546	   	278.30	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1VULN|2AELOIC|3DUST|4ERES|5CDMG|6DMG|7MLV|8aRCR|9AART
22	31121 42552	 * 	276.94	DCR|DCR|2VULN|2MLV	13VULN|2LIT|4LHND|5aMLV|68RCR|7MSLREG|9LWND
23	33342 45321	 * 	275.95	DCR|4VULN|2DMG|2MLV	148aVULN|2AELOIC|38DMG|5DUR|6ERES|78MLV|8BPWR|9RCR
24	11111 42562	   	275.60	DCR|DCR|3VULN	1LWND|2LIT|359VULN|4CGEN|68RCR|7MSLREG|aRPLT
25	13233 43562	   	275.60	DCR|DCR|3VULN	1LWND|239VULN|4LIT|5RMIN|68RCR|7SNIFST|aRPLT
26	13231 42515	   	274.98	DCR|DCR|2VULN|1MLV|1ASPD	1LWND|23VULN|4LIT|5MLV|68RCR|7MSLREG|9BEXP|aASPD
27	13231 42535	   	274.98	DCR|DCR|2VULN|1MLV|1ASPD	1LWND|23VULN|4LIT|5MLV|68RCR|7MSLREG|9FEWX|aASPD
28	31111 42515	   	274.88	DCR|DCR|2VULN|1MLV|1ASPD	13VULN|2LIT|4DUST|5MLV|68RCR|7MSLREG|9BEXP|aASPD
29	13231 42525	   	274.88	DCR|DCR|2VULN|1MLV|1ASPD	1LWND|23VULN|4LIT|5MLV|68RCR|7MSLREG|9DUST|aASPD
