0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13123 16543	7	 * 	279.54	橙5易伤1伤害1等级1时间	13457易伤25掉矿5序列升级6核8时间9等级a伤害
2	14113 35322	1	 * 	277.69	橙4易伤2伤害1等级1时间	1679易伤23伤害4时间5基地爆炸8核a等级
3	15333 56332	10	 * 	276.12	橙4易伤2伤害3攻速	157a易伤23基地爆炸4a伤害68a攻速9核a序列升级
4	14113 35321	1	 * 	276.02	橙4易伤2伤害2时间	1679易伤23伤害4a时间5基地爆炸8核
5	14131 43622	1	 * 	275.52	橙2易伤3伤害3时间2暴击	17易伤239伤害4额外掉落57a时间67暴击7序列升级8核
6	14131 33141	1	   	270.41	橙2易伤3伤害3时间2雷电	1a易伤236伤害4额外掉落568时间6a序列升级7a雷电9核
7	15426 24331	1	   	269.85	橙4易伤2伤害1等级	178a易伤2a低血量敌人3加一4雷电5等级6核9a伤害a序列升级
8	14113 35352	1	   	269.63	橙3易伤2伤害2时间1等级	167易伤23伤害49时间5基地爆炸8核a等级
9	12162 31113	4	 * 	269.19	橙3易伤3伤害2时间1卖塔	17a易伤2平台3卖塔457最后敌人67a伤害7a序列升级8a时间9核
10	12162 51113	6	 * 	269.19	橙3易伤3伤害2时间1卖塔	17a易伤2平台3卖塔467最后敌人57a伤害7a序列升级8a时间9核
11	12163 31113	5	 * 	269.19	橙3易伤3伤害2时间1卖塔	17a易伤2平台3卖塔457最后敌人67a伤害7a序列升级8a时间9核
12	54162 31113	4	 * 	269.19	橙3易伤3伤害2时间1卖塔	1平台27a易伤3卖塔457最后敌人67a伤害7a序列升级8a时间9核
13	54163 31113	5	 * 	269.19	橙3易伤3伤害2时间1卖塔	1平台27a易伤3卖塔457最后敌人67a伤害7a序列升级8a时间9核
14	13112 62365	10	   	268.27	橙4易伤2时间1等级1暴击	1368易伤2掉矿4暴击56时间6序列升级7额外掉落9等级a核
15	13122 65124	8	   	268.17	橙4易伤2时间1等级1暴击	1349易伤2掉矿57时间6等级8暴击a核
16	13123 43134	8	   	268.17	橙4易伤2时间1等级1暴击	1345易伤25掉矿5序列升级6等级79时间8暴击a核
17	16623 23128	1	   	268.09	橙3易伤2伤害2时间2雷电1卖塔	16a易伤2加一37时间4a雷电5卖塔8核9a伤害a序列升级
18	16634 42484	1	 * 	266.71	橙3易伤3时间2伤害	159易伤2加一349时间6策反7基地爆炸89伤害9序列升级a核
19	16634 44484	1	   	266.71	橙3易伤3时间2伤害	159易伤2加一349时间6策反7低血量敌人89伤害9序列升级a核
20	12244 82321	2	   	266.61	橙3易伤3时间2伤害	189易伤2平台39伤害4加一59a时间6核7赏金塔9序列升级
21	14113 35351	1	   	266.61	橙3易伤3时间2伤害	167易伤23伤害49a时间5基地爆炸8核
22	12364 82321	5	   	266.61	橙3易伤3时间2伤害	189易伤2平台39a时间49伤害5加一6核7赏金塔9序列升级
23	13123 16532	7	 * 	266.12	橙5易伤2时间	13457易伤25掉矿5序列升级6核8a时间9雷电
24	13112 62621	8	   	265.70	橙3易伤2时间1伤害1等级1暴击	136易伤2掉矿4暴击56时间6序列升级7额外掉落8伤害9核a等级
25	13612 62621	8	   	265.70	橙3易伤2时间1伤害1等级1暴击	146易伤2掉矿3暴击56时间6序列升级7额外掉落8伤害9核a等级
26	13233 35366	1	 * 	265.25	橙4易伤2伤害2等级	167a易伤2双倍矿3a等级4挖尘5基地爆炸8核9a伤害a序列升级
27	15233 33366	5	   	265.25	橙4易伤2伤害2等级	156a易伤2a基地爆炸3挖尘47等级8核9a伤害a序列升级
28	13121 24634	10	   	264.96	橙4易伤2攻速1伤害1等级	1348易伤28掉矿5等级6挖尘78攻速8序列升级9核a伤害
29	14126 31143	4	   	264.79	橙3易伤2伤害2时间1攻速	17a易伤247最后敌人3a基地爆炸5攻速67伤害7a序列升级8a时间9核
30	13123 12266	6	 * 	264.73	橙5易伤2伤害	1345a易伤25a掉矿5a序列升级6核7最后敌人8敌人爆炸9a伤害
31	13123 12477	6	   	264.73	橙5易伤2伤害	1345a易伤25掉矿5a序列升级6核7a最后敌人8加一9a伤害
32	13123 13266	6	   	264.73	橙5易伤2伤害	1345a易伤25a掉矿5a序列升级6核7基地爆炸8敌人爆炸9a伤害
33	13123 13477	6	   	264.73	橙5易伤2伤害	1345a易伤25掉矿5a序列升级6核7a基地爆炸8加一9a伤害
34	13123 14266	7	   	264.73	橙5易伤2伤害	1345a易伤25a掉矿5a序列升级6核7基地爆炸8敌人爆炸9a伤害
35	13123 15366	6	   	264.73	橙5易伤2伤害	1345a易伤25a掉矿5a序列升级6核7敌人爆炸8低血量敌人9a伤害
36	13124 13366	7	   	264.73	橙5易伤2伤害	1347a易伤2掉矿5a基地爆炸6挖青8核9a伤害a序列升级
37	13124 13366	8	   	264.73	橙5易伤2伤害	1347a易伤2掉矿5a基地爆炸6挖青8核9a伤害a序列升级
38	13123 16266	6	   	264.73	橙5易伤2伤害	13459易伤25a掉矿5a序列升级6核7a伤害8a低血量敌人
